timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1657895400,Jul 15 2022 - 2:30pm,complete,N/A,Fügen,Salzburg,N/A,N/A,0.00,0.00,0.00,2.50,0,3,3,1,0,1,"","19,76,83",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,20.75,9.93,1.01,1.01,1.01,1.18,1.40,4.00,1.22,N/A
1657899000,Jul 15 2022 - 3:30pm,complete,N/A,Donaufeld,Amstetten,N/A,N/A,0.00,0.00,0.00,1.50,0,4,4,1,0,1,"","14,58,68,85",2,5,-1,-1,-1,-1,-1,-1,-1,-1,7,19,6,10,1,9,-1,-1,40,60,0.00,0.00,1.60,2.50,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,15.00,10.00,1.03,1.02,1.25,1.57,2.23,2.10,1.67,Ertl Glas-Stadion
1657900800,Jul 15 2022 - 4:00pm,complete,N/A,Admira Dornbirn,Austria Klagenfurt,N/A,N/A,0.00,0.00,0.00,2.25,1,8,9,5,1,4,"20","2,18,22,25,53,81,84,86",2,15,2,0,1,0,2,0,0,1,3,38,2,17,1,21,-1,-1,30,70,0.00,0.00,0.46,4.33,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,51.00,23.00,1.01,1.03,1.04,1.36,1.67,2.63,1.44,Sportplatz KAC
1657902600,Jul 15 2022 - 4:30pm,complete,N/A,Treibach,Rapid Wien,N/A,N/A,0.00,0.00,0.00,2.50,0,1,1,0,0,0,"","90'4",0,19,1,0,1,0,1,0,0,1,6,30,2,9,4,21,9,8,20,80,0.00,0.00,0.72,3.71,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,51.00,34.00,1.01,1.03,1.05,1.29,1.87,3.25,1.33,Allianz Stadion
1657904400,Jul 15 2022 - 5:00pm,complete,N/A,Deutschlandsberger SC,Scheiblingkirchen,N/A,N/A,0.00,0.00,1.50,0.00,2,0,2,1,1,0,"4,67","",4,4,3,0,2,0,2,1,0,2,13,14,6,6,7,8,-1,-1,50,50,0.00,0.00,1.71,1.95,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.67,3.60,4.20,0.00,1.30,1.70,0.00,1.33,3.25,Koralmstadion
1657904400,Jul 15 2022 - 5:00pm,complete,N/A,Neusiedl,Wattens,N/A,N/A,0.00,0.00,0.00,2.00,1,3,4,0,0,0,"64","72,105'1,110",6,16,2,0,3,0,2,0,1,2,13,23,4,5,9,18,-1,-1,50,50,0.00,0.00,1.71,2.87,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,10.50,8.00,1.02,1.08,1.33,1.83,2.90,2.10,1.67,Gernot Langes Stadion
1657904400,Jul 15 2022 - 5:00pm,complete,N/A,Union Vöcklamarkt,Dornbirn,N/A,N/A,0.00,0.00,0.00,2.00,0,5,5,2,0,2,"","4,11,48,73,79",2,4,1,0,1,0,1,0,1,0,6,13,3,10,3,3,-1,-1,37,63,0.00,0.00,0.90,1.97,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.60,1.55,1.13,1.48,2.20,3.40,1.44,2.63,Stadion Birkenwiese
1657904400,Jul 15 2022 - 5:00pm,complete,N/A,Draßburg,Horn,N/A,N/A,0.00,0.00,0.00,2.00,0,3,3,2,0,2,"","17,36,88",4,4,1,0,5,0,0,1,0,5,7,13,3,10,4,3,-1,-1,50,50,0.00,0.00,0.98,2.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,6.25,5.25,1.08,1.10,1.40,1.87,2.95,1.67,2.10,Waldviertler Volksbank Arena
1657904400,Jul 15 2022 - 5:00pm,complete,N/A,Leoben,Hartberg,N/A,N/A,0.00,0.00,0.00,1.50,1,2,3,3,1,2,"26","32,34",4,6,3,0,3,0,3,0,0,3,15,10,5,6,10,4,-1,-1,47,53,0.00,0.00,1.70,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.75,4.50,1.25,1.08,1.29,1.65,2.70,1.36,3.00,PROfertil ARENA
1657904400,Jul 15 2022 - 5:00pm,complete,N/A,SAK Klagenfurt,Wiener SC,N/A,N/A,0.00,0.00,0.00,2.25,0,3,3,1,0,1,"","6,64,73",2,12,4,0,5,0,1,3,1,4,8,20,4,8,4,12,-1,-1,50,50,0.00,0.00,1.03,2.28,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.75,4.33,1.15,1.11,1.36,2.00,3.40,1.57,2.25,Sportplatz Welzenegg
1657906200,Jul 15 2022 - 5:30pm,complete,N/A,Gurten,St. Martin,N/A,N/A,0.00,0.00,1.50,0.00,3,2,5,2,1,1,"34,87,89","35,78",9,7,2,0,2,0,2,0,0,2,17,8,10,4,7,4,-1,-1,50,50,0.00,0.00,2.03,1.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.06,6.00,9.50,1.09,1.29,1.96,2.65,1.67,2.10,Park21-Arena Gurten
1657906200,Jul 15 2022 - 5:30pm,complete,N/A,Parndorf,Lafnitz,N/A,N/A,0.00,0.00,0.00,1.50,2,3,5,1,1,0,"8,67","77,80,90",5,7,3,0,3,0,1,2,0,3,9,26,7,12,2,14,-1,-1,29,71,0.00,0.00,1.34,3.06,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,11.00,10.00,1.01,1.06,1.29,1.67,2.60,2.38,1.53,Sportplatz Lafnitz
1657960200,Jul 16 2022 - 8:30am,complete,N/A,Röthis,Sturm Graz,N/A,N/A,0.00,0.00,0.00,2.67,0,6,6,4,0,4,"","4,16,32,45,62,90",5,9,3,0,0,0,1,2,0,0,13,31,6,19,7,12,19,8,37,63,0.00,0.00,1.70,4.12,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,41.00,21.00,1.03,1.03,1.04,1.30,1.75,3.15,1.34,Merkur Arena
1657983600,Jul 16 2022 - 3:00pm,complete,N/A,Stadlau,Ried,N/A,N/A,0.00,0.00,0.00,2.40,0,4,4,3,0,3,"","13,17,24,55",1,3,0,1,0,0,1,0,0,0,2,18,2,14,0,4,-1,-1,28,72,0.00,0.00,0.47,3.22,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,15.00,21.00,1.02,1.01,1.11,1.25,1.62,3.40,1.30,josko ARENA
1657983600,Jul 16 2022 - 3:00pm,complete,N/A,Mannsdorf,Austria Lustenau,N/A,N/A,0.00,0.00,0.00,1.50,2,3,5,1,1,0,"13,60","46,54,65",0,8,2,0,3,0,0,2,0,3,11,22,4,12,7,10,-1,-1,50,50,0.00,0.00,1.26,3.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.75,7.00,1.13,1.02,1.14,1.25,1.91,1.35,3.10,Planet Pure Stadion
