timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1657294200,Jul 08 2022 - 3:30pm,complete,N/A,Botev Plovdiv,Hebar 1918,Stanislav Todorov,1,0.00,0.00,1.22,1.11,0,1,1,0,0,0,"","78",7,2,2,0,2,0,1,1,1,1,20,10,6,6,14,4,11,8,66,34,0.00,0.00,2.40,1.32,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.23,5.50,9.00,1.21,1.68,2.65,4.60,2.47,1.51,Sporten kompleks Botev 1912 (Plovdiv)
1657303200,Jul 08 2022 - 6:00pm,complete,N/A,Septemvri Sofia,Ludogorets,Georgi Kabakov,1,0.00,0.00,1.00,2.47,0,3,3,1,0,1,"","11,55,79",3,5,1,1,1,0,2,0,0,1,5,21,3,10,2,11,13,13,38,62,0.00,0.00,0.78,2.64,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,10.00,5.50,1.20,1.19,1.65,2.75,4.90,2.50,1.50,Stadion Vasil Levski (Sofia)
1657380600,Jul 09 2022 - 3:30pm,complete,N/A,Lokomotiv Plovdiv,OFK Pirin,Dragomir Draganov,1,0.00,0.00,2.06,0.65,2,1,3,2,1,1,"42,61","10",3,2,1,0,2,0,1,0,1,1,11,4,4,3,7,1,6,15,52,48,0.00,0.00,1.42,0.90,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.55,4.00,5.50,1.30,1.90,3.34,6.25,1.94,1.79,Stadion Lokomotiv (Plovdiv)
1657389600,Jul 09 2022 - 6:00pm,complete,N/A,CSKA 1948 Sofia,Levski Sofia,Ivaylo Stoyanov,1,0.00,0.00,2.11,1.39,1,0,1,0,0,0,"52","",1,5,0,0,0,0,0,0,0,0,6,19,2,3,4,16,15,17,43,57,0.00,0.00,0.96,2.02,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.30,3.10,2.00,1.31,1.95,3.40,6.75,1.85,1.87,Stadion Vasil Levski (Sofia)
1657467000,Jul 10 2022 - 3:30pm,complete,N/A,Lokomotiv Sofia 1929,Cherno More,Dimitar Dimitrov,1,0.00,0.00,1.44,1.39,0,1,1,0,0,0,"","74",3,3,3,0,5,0,2,1,1,4,8,11,4,6,4,5,15,17,51,49,0.00,0.00,1.23,1.55,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.90,3.15,1.90,1.39,2.27,4.15,8.60,1.99,1.78,Stadion Lokomotiv (Sofia)
1657476000,Jul 10 2022 - 6:00pm,complete,N/A,CSKA Sofia,Arda,Radoslav Gidzhenov,1,0.00,0.00,2.39,1.26,3,0,3,1,1,0,"45'1,52,56","",5,2,1,0,3,1,1,0,2,2,12,3,7,2,5,1,10,10,64,36,0.00,0.00,1.75,0.54,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.48,4.20,6.20,1.24,1.79,3.15,5.75,1.95,1.79,Stadion Bâlgarska Armija (Sofia)
1657553400,Jul 11 2022 - 3:30pm,complete,N/A,Spartak Varna,Slavia Sofia,Vasimir El Hatib,1,0.00,0.00,1.12,1.28,0,1,1,0,0,0,"","90'3",3,5,0,0,0,0,0,0,0,0,7,13,2,5,5,8,14,11,44,56,0.00,0.00,0.97,1.71,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.10,3.00,2.30,1.40,2.18,4.00,7.50,1.91,1.80,Stadion Spartak (Varna)
1657561500,Jul 11 2022 - 5:45pm,complete,N/A,Beroe,Botev Vratsa,Ivelin Zanev,1,0.00,0.00,1.22,0.35,2,1,3,2,1,1,"21,77","9",4,5,0,0,0,0,0,0,0,0,12,9,3,5,9,4,6,25,61,39,0.00,0.00,1.45,1.23,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.85,3.50,4.00,1.36,2.05,3.79,7.50,1.95,1.80,Stadion Beroe (Stara Zagora)
1657899000,Jul 15 2022 - 3:30pm,complete,N/A,Botev Vratsa,Botev Plovdiv,Georgi Davidov,2,0.00,0.00,1.44,0.78,3,2,5,2,2,0,"35,38,84","50,54",3,3,1,0,4,1,1,0,2,3,14,11,6,3,8,8,13,20,45,55,0.00,0.00,1.65,1.36,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.40,3.10,2.00,1.32,2.05,3.56,6.75,1.85,1.91,Stadion Hristo Botev (Vratsa)
1657908000,Jul 15 2022 - 6:00pm,complete,N/A,Ludogorets,Lokomotiv Plovdiv,Nikola Popov,2,0.00,0.00,2.39,1.06,2,0,2,0,0,0,"50,87","",11,6,0,0,3,0,0,0,1,2,15,6,5,2,10,4,11,22,56,44,0.00,0.00,1.81,0.91,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.36,4.33,7.50,1.20,1.67,2.68,4.50,1.96,1.80,Huvepharma Arena (Razgrad)
