timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1658505600,Jul 22 2022 - 4:00pm,complete,N/A,Sokol Kateřinice,Vsetín,N/A,N/A,0.00,0.00,0.00,1.50,2,8,10,5,1,4,"12,88","9,28,30,32,57,65,77,89",1,7,-1,-1,-1,-1,-1,-1,-1,-1,3,23,3,14,0,9,-1,-1,50,50,0.00,0.00,0.59,2.76,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,16.50,12.00,1.07,0.00,0.00,1.70,0.00,0.00,0.00,N/A
1658588400,Jul 23 2022 - 3:00pm,complete,N/A,Dolany,Šternberk,N/A,N/A,0.00,0.00,2.00,0.00,2,1,3,3,2,1,"1,27","42",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1658588400,Jul 23 2022 - 3:00pm,complete,N/A,Nová Ves NMM,Žďár nad Sázavou,N/A,N/A,0.00,0.00,0.00,2.00,1,2,3,1,0,1,"79","24,53",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1659108600,Jul 29 2022 - 3:30pm,complete,N/A,Slavičín,Viktoria Otrokovice,N/A,N/A,0.00,0.00,0.00,2.00,1,5,6,3,0,3,"57","19,40,45,71,84",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,6.65,5.45,1.34,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1659108600,Jul 29 2022 - 3:30pm,complete,N/A,Nový Jičín,Nové Sady,N/A,N/A,0.00,0.00,1.50,0.00,5,0,5,1,1,0,"40,52,55,63,79","",7,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion TJ Nový Jičín
1659108600,Jul 29 2022 - 3:30pm,complete,N/A,Humpolec,Dálnice Speřice,N/A,N/A,0.00,0.00,0.00,1.50,1,3,4,1,1,0,"16","61,70,73",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1659110400,Jul 29 2022 - 4:00pm,complete,N/A,Slaný,Sokol Hostouň,N/A,N/A,0.00,0.00,0.00,1.50,0,1,1,1,0,1,"","25",1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1659110400,Jul 29 2022 - 4:00pm,complete,N/A,Havlíčkův Brod,Velké Meziříčí,N/A,N/A,0.00,0.00,0.00,1.50,2,3,5,3,1,2,"16,50","18,25,54",5,6,-1,-1,-1,-1,-1,-1,-1,-1,10,11,5,6,5,5,-1,-1,50,50,0.00,0.00,1.39,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.50,3.75,1.80,1.11,1.40,1.98,3.00,1.40,2.75,N/A
1659110400,Jul 29 2022 - 4:00pm,complete,N/A,Start Brno,Znojmo,N/A,N/A,0.00,0.00,1.33,1.00,1,1,2,0,0,0,"90","81",13,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1659110400,Jul 29 2022 - 4:00pm,complete,N/A,Rokycany,Komárov,N/A,N/A,0.00,0.00,2.00,0.00,1,0,1,0,0,0,"61","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion pod Husovými sady
