timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1666978200,Oct 28 2022 - 5:30pm,complete,N/A,Stade Poitevin,Châteauroux,N/A,N/A,0.00,0.00,0.00,2.00,0,1,1,1,0,1,"","9",-1,-1,1,1,1,0,0,2,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.90,3.30,2.15,1.35,2.06,4.20,9.00,1.94,1.80,Stade Michel-Amand (Buxerolles)
1666980000,Oct 28 2022 - 6:00pm,complete,N/A,Angoulême,Trélissac,Steven Llewellyn,N/A,0.00,0.00,1.00,0.50,1,1,2,2,1,1,"44","7",-1,-1,2,0,2,0,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.10,3.00,1.47,2.29,5.20,12.00,2.12,1.66,Stade Lebon (Angoulême)
1666980000,Oct 28 2022 - 6:00pm,complete,N/A,Le Puy F.43 Auvergne,Andrézieux,Louis Lungeri,N/A,0.00,0.00,2.50,0.00,2,0,2,1,1,0,"3,60","",3,5,2,0,3,0,1,1,1,2,7,10,4,4,3,6,-1,-1,50,50,0.00,0.00,1.14,1.37,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.01,3.20,3.40,1.46,2.40,4.60,9.80,2.10,1.67,Stade Charles Massot (Espaly-Saint-Marcel)
1667044800,Oct 29 2022 - 12:00pm,complete,N/A,Mérignac-Arlac,Niort,Robin Chapapria,N/A,0.00,0.00,0.00,1.75,0,1,1,1,0,1,"","10",4,9,1,0,1,0,0,1,1,0,8,14,2,7,6,7,12,6,46,54,0.00,0.00,0.82,1.63,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,9.00,5.00,1.25,0.00,1.80,0.00,0.00,2.38,1.53,Stade Robert Brettes 1 (Bordeaux)
1667044800,Oct 29 2022 - 12:00pm,complete,N/A,Olympique St Quentin,Hienghène Sport,N/A,N/A,0.00,0.00,2.00,0.00,2,1,3,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade Paul Debrésie (Saint-Quentin)
1667044800,Oct 29 2022 - 12:00pm,complete,N/A,Oissel CMS,Poissy,N/A,N/A,0.00,0.00,0.50,3.00,0,1,1,1,0,1,"","25",5,7,5,0,2,0,3,2,1,1,6,8,4,5,2,3,-1,-1,50,50,0.00,0.00,1.06,1.32,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.25,3.30,2.00,0.00,2.08,0.00,0.00,1.83,1.83,Stade Marcel-Billard (Oissel)
1667044800,Oct 29 2022 - 12:00pm,complete,N/A,Lucciana,Drancy JA,N/A,N/A,0.00,0.00,0.00,2.00,0,1,1,1,0,1,"","45",-1,-1,1,1,0,2,2,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade Charles Galletti (Lucciana)
1667044800,Oct 29 2022 - 12:00pm,complete,N/A,Velay,Mâcon,N/A,N/A,0.00,0.00,0.00,1.50,2,3,5,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade Guy Roux 1 (Saint-Paulien)
1667044800,Oct 29 2022 - 12:00pm,complete,N/A,Les Ulis,Paris,Arnaud Baert,N/A,0.00,0.00,0.00,2.60,1,3,4,1,0,1,"83","21,56,80",2,9,3,0,1,0,1,2,1,0,11,19,5,10,6,9,20,15,41,59,0.00,0.00,1.35,2.16,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,7.50,4.00,1.36,1.22,1.93,3.10,5.75,2.25,1.57,Stade Jean-Marc Salinier 1 (Les Ulis)
1667044800,Oct 29 2022 - 12:00pm,complete,N/A,Sochaux,Hombourg-Haut,N/A,N/A,0.00,0.00,2.00,0.00,3,0,3,0,0,0,"72,76,90","",-1,-1,0,0,2,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade Auguste-Bonal (Montbéliard)
