timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1659117600,Jul 29 2022 - 6:00pm,complete,N/A,Honvéd W,Zalaegerszegi TE,Gergő Bogár,1,0.00,0.00,1.06,0.94,0,1,1,0,0,0,"","47",7,8,3,0,3,0,0,3,0,3,13,16,5,6,8,10,12,18,50,50,0.00,0.00,1.53,1.92,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,3.60,3.65,1.25,1.70,3.10,5.50,1.70,2.05,Bozsik Aréna (Budapest)
1659195900,Jul 30 2022 - 3:45pm,complete,N/A,Kecskeméti TE,Vasas,Jozsef Erdos,1,0.00,0.00,1.94,0.81,0,0,0,0,0,0,"","",2,3,2,1,1,0,2,1,0,1,10,12,4,5,6,7,17,13,43,57,0.00,0.00,1.24,1.66,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.95,3.20,2.12,1.27,1.90,3.14,5.90,1.73,2.00,Széktói Stadion (Kecskemét)
1659204000,Jul 30 2022 - 6:00pm,complete,N/A,Újpest,Mezőkövesd-Zsóry,Csaba Pinter,1,0.00,0.00,1.71,0.88,1,1,2,1,1,0,"35","65",4,5,4,0,0,0,1,3,0,0,10,3,5,2,5,1,12,7,50,50,0.00,0.00,1.53,0.78,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.45,3.40,1.22,1.65,2.85,4.75,1.67,2.10,Szusza Ferenc Stadion (Budapest)
1659275100,Jul 31 2022 - 1:45pm,complete,N/A,Várda SE,Debrecen,Balazs Berke,1,0.00,0.00,1.47,1.44,2,2,4,0,0,0,"50,88","85,90'3",5,8,4,0,1,0,1,3,1,0,14,8,5,4,9,4,15,11,50,50,0.00,0.00,1.78,1.32,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.19,3.45,3.00,1.28,1.72,3.22,6.21,1.80,1.91,Várkerti Stadion (Kisvárda)
1659283200,Jul 31 2022 - 4:00pm,complete,N/A,Paksi SE,Videoton,Tamás Bognár,1,0.00,0.00,1.63,0.41,2,0,2,1,1,0,"41,51","",4,16,3,0,4,0,0,3,1,3,9,21,4,11,5,10,14,12,50,50,0.00,0.00,1.16,2.76,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.70,3.50,2.30,1.18,1.53,2.30,4.00,1.47,2.50,Paksi FC Stadion (Paks)
1659292200,Jul 31 2022 - 6:30pm,complete,N/A,Ferencváros,Puskás,Ferenc Karakó,1,0.00,0.00,2.13,1.35,1,0,1,0,0,0,"90'4","",4,4,1,0,3,0,0,1,1,2,9,12,3,5,6,7,11,17,50,50,0.00,0.00,1.35,1.49,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.67,3.75,4.75,1.24,1.78,3.10,5.70,1.83,1.83,Groupama Aréna (Budapest)
1659722400,Aug 05 2022 - 6:00pm,complete,N/A,Vasas,Paksi SE,Ádám Pillók,2,0.00,0.00,0.76,1.35,2,2,4,3,2,1,"37,45","8,48",5,5,2,0,4,0,1,1,1,3,5,5,4,3,1,2,13,9,50,50,0.00,0.00,1.14,0.94,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.40,3.40,2.64,1.19,1.68,2.65,5.00,1.51,2.39,Illovszky Rudolf Stadion (Budapest)
1659808800,Aug 06 2022 - 6:00pm,complete,N/A,Debrecen,Kecskeméti TE,N/A,2,0.00,0.00,1.82,1.50,1,1,2,0,0,0,"67","79",12,3,6,0,6,0,0,6,1,5,2,2,2,2,0,0,1,0,50,50,0.00,0.00,0.50,0.36,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.82,3.50,3.90,1.24,1.75,3.10,6.10,1.68,2.10,Nagyerdei Stadion (Debrecen)
1659879000,Aug 07 2022 - 1:30pm,complete,N/A,Várda SE,Mezőkövesd-Zsóry,Sandor Ando-Szabo,2,1.00,1.00,1.47,0.88,4,2,6,3,2,1,"6,37,49,56","45'3,79",1,8,0,0,2,1,0,0,3,0,14,7,8,3,6,4,9,7,50,50,1.78,0.78,1.96,1.11,3.00,100,100,50,50,0,0,50,50,100,10.00,4.00,1.85,3.50,3.90,1.34,1.87,3.57,6.85,1.86,1.84,Várkerti Stadion (Kisvárda)
1659887100,Aug 07 2022 - 3:45pm,complete,N/A,Puskás,Újpest,Tamás Bognár,2,0.00,0.00,1.88,0.75,2,0,2,1,1,0,"37,62","",3,6,6,1,5,0,3,4,2,3,11,7,4,4,7,3,-1,-1,50,50,0.00,0.00,1.24,1.26,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.92,3.58,3.76,1.30,1.92,3.27,6.20,1.77,1.94,Puskás Akadémia Pancho Aréna (Felcsút)
