timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1661007600,Aug 20 2022 - 3:00pm,complete,N/A,Hapoel Haifa,Hapoel Tel Aviv,N/A,1,0.00,0.00,1.29,1.12,2,0,2,1,1,0,"25,90'5","",0,0,-1,-1,-1,-1,-1,-1,-1,-1,8,7,4,3,4,4,-1,-1,32,68,0.00,0.00,0.97,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.70,3.25,2.40,1.30,2.10,3.70,7.50,1.80,1.91,Sammy Ofer Stadium
1661011200,Aug 20 2022 - 4:00pm,complete,N/A,Hapoel Katamon,Hapoel Hadera,N/A,1,0.00,0.00,0.94,1.25,1,1,2,1,1,0,"21","52",2,1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,4,3,1,2,-1,-1,61,39,0.00,0.00,0.96,0.75,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.45,2.90,2.75,1.33,2.25,3.65,7.25,1.83,1.83,Teddi Malcha Stadium
1661015700,Aug 20 2022 - 5:15pm,complete,N/A,Maccabi Netanya,Beitar Jerusalem,N/A,1,0.00,0.00,1.50,1.06,4,1,5,4,3,1,"28,36,45,69","39",11,7,0,0,0,0,0,0,0,0,27,9,16,6,11,3,11,9,66,34,0.00,0.00,3.46,1.34,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.67,3.50,4.75,1.28,1.91,3.50,7.00,2.00,1.73,Winner Stadium
1661102100,Aug 21 2022 - 5:15pm,complete,N/A,Maccabi Tel Aviv,Maccabi Bnei Raina,N/A,1,0.00,0.00,2.39,1.29,5,0,5,4,4,0,"5,17,37,45,80","",6,3,-1,-1,-1,-1,-1,-1,-1,-1,13,5,10,4,3,1,-1,-1,67,33,0.00,0.00,1.99,0.86,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.41,4.00,6.20,1.24,1.80,2.98,5.50,2.50,1.50,Winner Stadium
1661184000,Aug 22 2022 - 4:00pm,complete,N/A,Sektzia Nes Tziona,Ironi Kiryat Shmona,N/A,1,0.00,0.00,0.63,1.06,0,2,2,1,0,1,"","32,87",3,8,-1,-1,-1,-1,-1,-1,-1,-1,9,21,3,8,6,13,-1,-1,45,55,0.00,0.00,1.09,2.42,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.50,3.60,1.91,1.28,2.00,3.28,6.25,1.83,1.83,Nes Tziona Stadium
1661612400,Aug 27 2022 - 3:00pm,complete,N/A,Ironi Kiryat Shmona,Hapoel Katamon,N/A,2,0.00,0.00,0.81,1.56,1,1,2,1,1,0,"9","71",3,9,-1,-1,-1,-1,-1,-1,-1,-1,5,10,3,5,2,5,-1,-1,48,52,0.00,0.00,1.03,1.59,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,3.50,3.60,1.35,2.10,3.74,7.30,2.00,1.73,Kiryat-Shmona Municipal Stadium
1661616900,Aug 27 2022 - 4:15pm,complete,N/A,Hapoel Tel Aviv,Bnei Sakhnin,N/A,2,0.00,0.00,1.13,1.25,0,2,2,2,0,2,"","11,33",7,6,-1,-1,-1,-1,-1,-1,-1,-1,4,6,0,3,4,3,-1,-1,57,43,0.00,0.00,0.90,0.93,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.20,3.10,1.42,2.20,4.20,8.00,2.00,1.73,HaMoshava Stadium
1661619600,Aug 27 2022 - 5:00pm,complete,N/A,Maccabi Haifa,Maccabi Netanya,N/A,2,0.00,0.00,2.89,1.11,4,1,5,2,1,1,"45'5,78,88,90","22",8,3,-1,-1,-1,-1,-1,-1,-1,-1,15,5,8,5,7,0,-1,-1,58,42,0.00,0.00,2.03,1.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.65,3.80,4.33,1.28,1.70,3.10,5.50,1.67,2.10,Sammy Ofer Stadium
1661620500,Aug 27 2022 - 5:15pm,complete,N/A,Ashdod,Sektzia Nes Tziona,N/A,2,0.00,0.00,1.28,0.88,1,0,1,1,1,0,"45'1","",9,2,-1,-1,-1,-1,-1,-1,-1,-1,22,7,11,4,11,3,-1,-1,56,44,0.00,0.00,2.68,1.02,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.60,3.80,1.25,1.85,2.98,5.60,1.80,1.91,Yud-Alef Stadium
1661703300,Aug 28 2022 - 4:15pm,complete,N/A,Maccabi Bnei Raina,Hapoel Haifa,N/A,2,0.00,0.00,0.81,1.19,1,1,2,0,0,0,"78","62",2,3,0,0,0,0,0,0,0,0,11,12,6,7,5,5,11,8,55,45,0.00,0.00,1.67,1.64,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.00,3.20,2.20,1.34,2.15,3.64,7.30,1.91,1.80,Green Stadium
1661706900,Aug 28 2022 - 5:15pm,complete,N/A,Beitar Jerusalem,Hapoel Be'er Sheva,N/A,2,0.00,0.00,1.53,2.22,0,5,5,1,0,1,"","21,59,70,79,86",3,4,-1,-1,-1,-1,-1,-1,-1,-1,3,19,2,9,1,10,-1,-1,44,56,0.00,0.00,0.58,2.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.75,3.30,1.90,1.28,1.95,3.10,5.75,1.80,1.91,Teddi Malcha Stadium
1661793300,Aug 29 2022 - 5:15pm,complete,N/A,Hapoel Hadera,Maccabi Tel Aviv,N/A,2,0.00,0.00,0.82,1.67,0,6,6,4,0,4,"","17,18,20,25,82,90'3",4,7,-1,-1,-1,-1,-1,-1,-1,-1,7,18,0,8,7,10,-1,-1,30,70,0.00,0.00,0.68,2.24,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,10.00,5.75,1.20,1.23,1.60,2.84,5.25,2.25,1.57,Winner Stadium
1661879700,Aug 30 2022 - 5:15pm,complete,N/A,Bnei Sakhnin,Maccabi Haifa,N/A,1,0.00,0.00,1.00,1.78,0,1,1,0,0,0,"","67",4,9,-1,-1,-1,-1,-1,-1,-1,-1,10,12,6,8,4,4,-1,-1,47,53,0.00,0.00,1.43,1.86,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.75,4.33,1.44,1.28,1.73,3.60,7.50,1.91,1.80,Doha Stadium
1661964300,Aug 31 2022 - 4:45pm,complete,N/A,Hapoel Be'er Sheva,Ashdod,N/A,1,0.00,0.00,2.06,1.11,1,2,3,2,1,1,"43","17,85",3,5,-1,-1,-1,-1,-1,-1,-1,-1,14,13,10,10,4,3,-1,-1,60,40,0.00,0.00,2.11,1.85,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.44,4.20,6.50,1.19,1.73,2.64,4.75,1.83,1.83,Yaakov Turner Toto Stadium
1662217200,Sep 03 2022 - 3:00pm,complete,N/A,Maccabi Tel Aviv,Ironi Kiryat Shmona,N/A,3,3.00,3.00,2.39,1.06,3,1,4,1,1,0,"26,59,90'1","90'4",6,4,-1,-1,-1,-1,-1,-1,-1,-1,15,11,6,4,9,7,-1,-1,57,43,1.99,2.42,1.99,1.51,3.50,0,100,50,50,50,50,100,0,100,14.00,0.00,1.22,5.75,8.50,1.24,1.65,2.90,5.38,2.25,1.57,Winner Stadium
1662220800,Sep 03 2022 - 4:00pm,complete,N/A,Hapoel Katamon,Ashdod,N/A,3,1.00,3.00,0.94,1.11,3,0,3,1,1,0,"6,50,88","",3,3,-1,-1,-1,-1,-1,-1,-1,-1,13,14,8,5,5,9,-1,-1,42,58,0.96,1.85,1.70,1.70,2.50,100,100,50,0,0,50,100,0,100,7.00,0.00,2.40,3.25,2.70,1.29,1.95,3.33,6.45,1.73,2.00,Teddi Malcha Stadium
1662224400,Sep 03 2022 - 5:00pm,complete,N/A,Hapoel Haifa,Bnei Sakhnin,N/A,3,3.00,3.00,1.29,1.25,1,2,3,0,0,0,"74","63,90'5",2,5,-1,-1,-1,-1,-1,-1,-1,-1,6,15,3,6,3,9,-1,-1,35,65,0.97,0.93,0.84,1.80,2.00,0,100,0,0,0,50,100,0,50,6.00,0.00,2.10,3.10,3.10,1.39,2.15,3.92,7.50,1.91,1.80,Sammy Ofer Stadium
1662225300,Sep 03 2022 - 5:15pm,complete,N/A,Hapoel Be'er Sheva,Maccabi Haifa,N/A,3,0.00,3.00,2.06,1.78,1,2,3,2,1,1,"2","40,90'2",5,5,-1,-1,-1,-1,-1,-1,-1,-1,7,11,3,5,4,6,-1,-1,42,58,2.11,1.86,0.88,1.56,2.00,50,50,50,0,0,50,50,0,100,12.00,0.00,3.80,3.50,1.80,1.27,1.85,3.02,5.66,1.73,2.00,Yaakov Turner Toto Stadium
1662307200,Sep 04 2022 - 4:00pm,complete,N/A,Maccabi Bnei Raina,Hapoel Hadera,N/A,3,1.00,1.00,0.81,1.25,1,2,3,2,1,1,"27","23,73",8,1,-1,-1,-1,-1,-1,-1,-1,-1,10,6,6,3,4,3,-1,-1,60,40,1.67,0.75,1.64,0.91,2.00,100,100,0,0,0,0,50,50,100,3.00,0.00,2.40,3.00,2.70,1.39,2.30,3.90,8.00,1.91,1.80,Green Stadium
1662311700,Sep 04 2022 - 5:15pm,complete,N/A,Sektzia Nes Tziona,Beitar Jerusalem,N/A,3,0.00,0.00,0.63,1.06,0,3,3,0,0,0,"","53,60,86",6,2,-1,-1,-1,-1,-1,-1,-1,-1,9,8,0,4,9,4,-1,-1,47,53,1.09,1.34,1.03,1.30,3.50,50,100,50,50,50,50,100,0,100,10.00,0.00,2.90,3.25,2.15,1.30,2.00,3.32,6.10,1.80,1.91,Nes Tziona Stadium
1662398100,Sep 05 2022 - 5:15pm,complete,N/A,Maccabi Netanya,Hapoel Tel Aviv,N/A,3,3.00,0.00,1.50,1.12,0,2,2,1,0,1,"","39,48",3,2,-1,-1,-1,-1,-1,-1,-1,-1,10,12,5,6,5,6,-1,-1,56,44,3.46,1.15,1.64,1.65,3.50,50,100,50,50,50,50,100,0,100,11.00,0.00,1.85,3.50,4.20,1.27,1.95,3.20,6.05,1.80,1.91,Winner Stadium
1662822000,Sep 10 2022 - 3:00pm,complete,N/A,Maccabi Haifa,Sektzia Nes Tziona,N/A,4,3.00,0.00,2.89,0.88,3,1,4,2,1,1,"21,53,77","25",4,3,-1,-1,-1,-1,-1,-1,-1,-1,20,6,8,3,12,3,-1,-1,58,42,2.03,1.02,2.41,1.00,3.00,50,50,50,50,50,50,100,50,50,10.00,0.00,1.14,7.00,15.00,1.14,1.36,2.23,3.94,2.00,1.73,Sammy Ofer Stadium
1662827400,Sep 10 2022 - 4:30pm,complete,N/A,Hapoel Hadera,Hapoel Haifa,N/A,4,0.00,1.00,0.82,1.19,1,1,2,0,0,0,"56","77",0,2,-1,-1,-1,-1,-1,-1,-1,-1,4,5,2,5,2,0,-1,-1,39,61,0.68,1.64,0.70,0.99,4.00,50,100,50,50,50,50,50,100,100,7.00,0.00,2.75,3.10,2.45,1.34,2.15,3.65,7.30,1.83,1.83,Winner Stadium
1662827400,Sep 10 2022 - 4:30pm,complete,N/A,Bnei Sakhnin,Maccabi Netanya,N/A,4,0.00,0.00,1.00,1.11,0,0,0,0,0,0,"","",3,8,0,0,0,0,0,0,0,0,12,10,3,6,9,4,17,12,39,61,1.43,1.01,1.34,1.81,3.00,50,50,50,50,50,50,50,50,100,7.00,0.00,2.50,3.25,2.60,1.31,2.08,3.48,6.75,1.83,1.83,Doha Stadium
1662830100,Sep 10 2022 - 5:15pm,complete,N/A,Ashdod,Maccabi Tel Aviv,N/A,4,3.00,3.00,1.28,1.67,0,0,0,0,0,0,"","",6,4,-1,-1,-1,-1,-1,-1,-1,-1,9,7,0,2,9,5,-1,-1,34,66,2.68,2.24,0.93,1.44,3.50,0,50,50,50,50,50,100,50,50,16.00,0.00,7.50,4.75,1.33,1.20,1.50,2.67,4.80,1.73,2.00,Yud-Alef Stadium
