timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1659196800,Jul 30 2022 - 4:00pm,complete,N/A,Südtirol,FeralpiSalò,Luca Zufferli,N/A,0.00,0.00,0.00,1.50,1,3,4,1,0,1,"56","34,49,52",4,6,2,0,1,0,2,0,0,1,12,9,6,6,6,3,14,8,60,40,0.00,0.00,1.49,1.16,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.82,3.35,4.60,1.44,2.42,4.44,8.60,2.13,1.67,Stadio Marco Druso (Bolzano (Bozen))
1659292200,Jul 31 2022 - 6:30pm,complete,N/A,Modena,Catanzaro,Daniele Perenzoni,N/A,0.00,0.00,2.00,0.00,3,1,4,2,2,0,"1,45'2,74","59",3,6,2,0,1,0,1,1,0,1,15,13,7,5,8,8,21,14,50,50,0.00,0.00,1.72,1.37,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.75,3.55,4.75,1.35,2.17,4.10,9.00,2.01,1.75,Stadio Alberto Braglia (Modena)
1659294000,Jul 31 2022 - 7:00pm,complete,N/A,Palermo,Reggiana,Daniele Rutella,N/A,0.00,0.00,1.50,0.00,3,2,5,2,2,0,"3,37,80","57,87",3,1,1,0,4,0,0,1,2,2,7,5,4,4,3,1,18,17,50,50,0.00,0.00,1.16,0.92,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.88,3.50,4.00,1.32,2.05,3.62,6.85,1.88,1.85,Stadio Renzo Barbera (Palermo)
1659294000,Jul 31 2022 - 7:00pm,complete,N/A,Bari 1908,Calcio Padova,Federico Dionisi,N/A,0.00,0.00,2.00,0.00,3,0,3,2,2,0,"8,16,90'2","",3,5,1,0,1,0,1,0,0,1,14,10,7,5,7,5,19,11,50,50,0.00,0.00,1.92,1.52,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.40,4.50,1.39,2.30,4.44,8.60,2.08,1.68,Stadio Arechi (Salerno)
1659714300,Aug 05 2022 - 3:45pm,complete,N/A,Cagliari,Perugia,Matteo Gualtieri,N/A,0.00,0.00,1.50,0.00,3,2,5,2,1,1,"2,80,89","32,67",7,2,0,0,3,0,0,0,1,2,14,11,5,4,9,7,9,24,65,35,0.00,0.00,1.60,1.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.97,3.45,4.30,1.36,2.10,4.00,8.74,1.90,1.83,Unipol Domus (Cagliari)
1659715200,Aug 05 2022 - 4:00pm,complete,N/A,Udinese,FeralpiSalò,Francesco Cosso,N/A,0.00,3.00,1.50,1.50,2,1,3,1,1,0,"12,64","67",8,2,1,0,2,0,0,1,0,2,7,6,3,3,4,3,15,16,62,38,0.00,1.16,1.33,0.86,2.00,50,50,50,50,0,0,50,50,50,6.00,1.00,1.25,6.05,10.75,1.17,1.60,2.38,4.00,1.98,1.83,Dacia Arena (Udine)
1659726000,Aug 05 2022 - 7:00pm,complete,N/A,Lecce,Cittadella,Gianpiero Miele,N/A,0.00,0.00,0.00,1.50,2,3,5,0,0,0,"61,105'1","73,93,100",3,7,1,0,3,0,0,1,2,1,14,14,3,6,11,8,20,23,61,39,0.00,0.00,1.50,1.85,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.67,4.09,5.38,1.28,1.90,3.30,6.66,1.83,1.90,Stadio Comunale Via del Mare (Lecce)
1659726900,Aug 05 2022 - 7:15pm,complete,N/A,Sampdoria,Reggina,N/A,N/A,0.00,0.00,1.33,0.00,1,0,1,0,0,0,"66","",3,7,0,0,5,0,0,0,1,4,11,9,4,3,7,6,16,12,51,49,0.00,0.00,1.19,1.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.48,4.42,7.73,1.25,1.83,3.20,6.54,2.05,1.72,Stadio Comunale Luigi Ferraris (Genova)
1659800700,Aug 06 2022 - 3:45pm,complete,N/A,Pisa,Brescia,Matteo Gariglio,N/A,0.00,0.00,0.00,1.50,1,4,5,2,1,1,"20","25,61,72,90'4",8,0,0,0,2,0,0,0,1,1,14,17,5,10,9,7,7,15,53,47,0.00,0.00,1.68,2.24,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.58,3.32,2.86,1.41,2.35,4.48,9.26,1.98,1.83,Arena Garibaldi - Stadio Romeo Anconetani (Pisa)
1659801600,Aug 06 2022 - 4:00pm,complete,N/A,Spezia,Como,Francesco Meraviglia,N/A,0.00,0.00,2.00,0.00,5,1,6,1,1,0,"43,60,71,76,89","55",11,2,1,0,2,0,0,1,1,1,16,11,10,6,6,5,12,9,56,44,0.00,0.00,1.90,1.34,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.63,3.99,5.68,1.24,1.83,2.93,5.30,1.83,1.93,Stadio Alberto Picco (La Spezia)
1659812400,Aug 06 2022 - 7:00pm,complete,N/A,Empoli,SPAL,Manuel Volpi,N/A,0.00,0.00,0.00,1.50,1,2,3,0,0,0,"80","82,120'1",12,4,3,0,5,0,2,1,1,4,24,12,6,5,18,7,17,21,54,46,0.00,0.00,2.71,1.69,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.59,3.77,6.09,1.21,1.73,2.69,4.74,1.79,1.98,Stadio Carlo Castellani (Empoli)
1659813300,Aug 06 2022 - 7:15pm,complete,N/A,Torino,Palermo,Davide Ghersini,N/A,0.00,3.00,2.25,1.50,3,0,3,0,0,0,"54,73,79","",7,2,1,0,0,0,0,1,0,0,15,8,7,6,8,2,6,7,68,32,0.00,1.16,1.98,1.16,2.50,50,50,50,50,50,50,50,50,50,3.00,1.00,1.52,4.50,6.50,1.25,1.75,2.85,5.25,2.00,1.73,Stadio Olimpico Grande Torino (Torino)
1659887100,Aug 07 2022 - 3:45pm,complete,N/A,Venezia,Ascoli,Daniele Paterna,N/A,0.00,0.00,0.00,2.00,2,3,5,1,0,1,"88,89","36,70,90'1",2,6,3,0,1,0,1,2,1,0,10,15,5,6,5,9,18,9,45,55,0.00,0.00,1.16,1.63,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.42,3.45,2.09,1.30,1.91,3.25,6.00,1.73,2.00,Stadio Pierluigi Penzo (Venezia)
1659888000,Aug 07 2022 - 4:00pm,complete,N/A,Hellas Verona,Bari 1908,Niccolò Baroni,N/A,0.00,3.00,0.00,2.00,1,4,5,3,1,2,"16","30,44,53,78",4,2,2,1,2,0,0,3,1,1,7,11,6,9,1,2,11,5,53,47,0.00,1.92,1.24,1.52,1.50,0,50,50,0,0,50,50,0,50,3.00,1.00,1.44,3.90,6.25,1.29,1.85,3.00,5.50,2.00,1.73,Stadio Marc'Antonio Bentegodi (Verona)
1659898800,Aug 07 2022 - 7:00pm,complete,N/A,Salernitana,Parma,Ivano Pezzuto,N/A,0.00,0.00,0.00,2.00,0,2,2,0,0,0,"","59,74",2,3,1,0,1,0,0,1,0,1,21,18,6,8,15,10,10,17,52,48,0.00,0.00,1.99,1.83,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.42,3.40,2.83,1.29,1.91,3.25,5.50,1.67,2.13,Stadio Arechi (Salerno)
1659899700,Aug 07 2022 - 7:15pm,complete,N/A,Monza,Frosinone,Marco Serra,N/A,0.00,0.00,2.00,0.00,3,2,5,2,2,0,"25,43,83","52,56",3,8,3,0,2,0,0,3,1,1,12,16,6,4,6,12,13,16,66,34,0.00,0.00,1.46,1.55,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.68,3.83,4.92,1.36,2.10,3.75,6.50,2.00,1.73,U-Power Stadium (Monza)
1659973500,Aug 08 2022 - 3:45pm,complete,N/A,Genoa,Benevento,Andrea Colombo,N/A,0.00,0.00,2.00,0.00,3,2,5,3,2,1,"35,45,64","45'3,90'5",9,2,4,0,4,0,1,3,0,4,13,5,8,4,5,1,19,13,55,45,0.00,0.00,1.78,0.81,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.85,3.60,4.00,1.25,1.83,3.10,5.50,1.73,1.98,Stadio Comunale Luigi Ferraris (Genova)
