timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1659722400,Aug 05 2022 - 6:00pm,complete,N/A,Heerenveen,Sparta Rotterdam,Pol van Boekel,1,0.00,0.00,1.17,1.58,0,0,0,0,0,0,"","",3,6,1,0,1,0,1,0,0,1,15,15,3,2,8,11,5,8,49,51,0.00,0.00,1.20,1.34,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.40,3.80,1.33,1.81,3.59,7.29,1.80,1.95,Abe Lenstra Stadion (Heerenveen)
1659796200,Aug 06 2022 - 2:30pm,complete,N/A,Fortuna Sittard,Ajax,Serdar Gözübüyük,1,0.00,0.00,1.12,2.00,2,3,5,1,1,0,"6,87","48,51,62",3,10,3,0,0,0,1,2,0,0,16,20,3,6,11,13,15,12,29,71,0.00,0.00,1.25,2.20,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,14.75,7.85,1.16,1.08,1.30,1.72,2.85,1.80,1.95,Fortuna Sittard Stadion (Sittard)
1659804300,Aug 06 2022 - 4:45pm,complete,9671,Cambuur,Excelsior,Edwin van de Graaf,1,0.00,0.00,0.53,0.35,0,2,2,2,0,2,"","10,44",10,2,1,0,2,0,0,1,0,2,37,8,9,4,21,3,9,5,72,28,0.00,0.00,3.19,0.81,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.78,3.40,1.18,1.58,2.38,4.45,1.57,2.25,Cambuur Stadion (Leeuwarden)
1659808800,Aug 06 2022 - 6:00pm,complete,N/A,PSV,Emmen,Martin van den Kerkhof,1,0.00,0.00,2.59,0.59,4,1,5,3,3,0,"18,26,38,54","62",3,6,0,0,1,0,0,0,1,0,16,7,8,3,5,4,6,12,62,38,0.00,0.00,1.82,0.85,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.20,7.00,11.93,1.11,1.41,1.93,3.35,2.00,1.75,Philips Stadion (Eindhoven)
1659812400,Aug 06 2022 - 7:00pm,complete,N/A,RKC Waalwijk,Utrecht,Rob Dieperink,1,0.00,0.00,1.76,1.56,2,2,4,2,2,0,"15,45","52,85",3,7,1,0,0,0,0,1,0,0,15,14,5,3,7,9,8,10,38,62,0.00,0.00,1.33,1.42,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.66,3.55,1.98,1.26,1.78,3.04,5.78,1.75,2.00,Mandemakers Stadion (Waalwijk)
1659867300,Aug 07 2022 - 10:15am,complete,N/A,Groningen,Volendam,Joey Kooij,1,0.00,0.00,0.71,0.47,2,2,4,3,2,1,"2,34","38,68",7,4,0,0,1,0,0,0,0,1,22,16,3,5,15,8,7,11,59,41,0.00,0.00,1.81,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.60,4.10,1.24,1.91,2.92,5.45,1.70,2.05,Euroborg (Groningen)
1659875400,Aug 07 2022 - 12:30pm,complete,N/A,Vitesse,Feyenoord,Jochem Kamphuis,1,0.00,0.00,1.24,2.47,2,5,7,3,1,2,"19,56","31,41,61,66,69",5,6,2,0,1,0,2,0,1,0,13,18,4,10,8,7,9,12,49,51,0.00,0.00,1.23,2.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.40,3.70,1.95,1.21,1.64,2.60,4.68,1.57,2.25,GelreDome (Arnhem)
1659875400,Aug 07 2022 - 12:30pm,complete,N/A,NEC,Twente,Danny Makkelie,1,0.00,0.00,1.06,1.32,0,1,1,0,0,0,"","90'1",6,9,1,0,1,0,0,1,0,1,12,17,3,3,7,10,9,9,41,59,0.00,0.00,1.17,1.44,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.00,3.40,2.20,1.28,1.81,3.06,5.92,1.67,2.10,Goffertstadion (Nijmegen)
1659883500,Aug 07 2022 - 2:45pm,complete,N/A,AZ,Go Ahead Eagles,Allard Lindhout,1,0.00,0.00,1.88,0.76,2,0,2,0,0,0,"70,86","",7,3,1,0,1,0,0,1,0,1,23,10,10,3,11,5,8,11,65,35,0.00,0.00,2.43,0.93,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.36,4.80,8.00,1.22,1.65,2.17,4.79,1.91,1.91,AFAS Stadion (Alkmaar)
1660327200,Aug 12 2022 - 6:00pm,complete,N/A,Excelsior,Vitesse,Alex Bos,2,0.00,0.00,1.53,1.12,3,1,4,3,2,1,"14,20,76","29",1,8,0,0,0,1,0,0,0,1,12,24,8,6,4,15,10,18,40,60,0.00,0.00,1.54,2.23,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.32,3.37,1.99,1.21,1.77,2.75,4.87,1.63,2.15,Van Donge & De Roo Stadion (Rotterdam)
1660409100,Aug 13 2022 - 4:45pm,complete,N/A,Go Ahead Eagles,PSV,Danny Makkelie,2,0.00,0.00,1.59,1.82,2,5,7,4,1,3,"14,80","3,45'3,45'10,76,89",6,6,1,1,0,0,1,1,0,0,13,30,5,12,7,12,13,8,30,70,0.00,0.00,1.30,2.88,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,7.28,5.05,1.38,1.18,1.59,2.23,4.45,1.75,1.95,De Adelaarshorst (Deventer)
1660413600,Aug 13 2022 - 6:00pm,complete,7829,Emmen,RKC Waalwijk,Dennis Higler,2,0.00,0.00,1.06,0.65,1,1,2,0,0,0,"58","89",3,4,3,0,1,0,1,2,1,0,13,16,5,3,7,10,15,15,53,47,0.00,0.00,1.48,1.32,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.92,3.70,3.72,1.26,1.77,3.04,5.78,1.63,2.15,De Oude Meerdijk (Emmen)
1660413600,Aug 13 2022 - 6:00pm,complete,N/A,Utrecht,Cambuur,Erwin Blank,2,0.00,0.00,1.61,0.59,0,0,0,0,0,0,"","",7,4,3,0,1,0,1,2,1,0,18,23,7,11,8,10,11,14,47,53,0.00,0.00,1.79,2.47,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.48,4.70,5.83,1.14,1.50,2.23,3.67,1.65,2.10,Stadion Galgenwaard (Utrecht)
1660417200,Aug 13 2022 - 7:00pm,complete,N/A,Feyenoord,Heerenveen,Serdar Gözübüyük,2,0.00,0.00,2.35,1.39,0,0,0,0,0,0,"","",7,2,1,0,2,0,0,1,1,1,22,9,11,4,9,5,8,6,68,32,0.00,0.00,2.62,0.99,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.30,5.70,8.67,1.12,1.46,1.86,3.67,1.80,1.90,Stadion Feijenoord (Rotterdam)
1660472100,Aug 14 2022 - 10:15am,complete,N/A,Volendam,NEC,Ingmar Oostrom,2,0.00,0.00,1.65,1.24,1,4,5,3,1,2,"11","17,19,76,90",6,6,2,0,0,0,1,1,0,0,22,15,7,9,12,6,15,13,50,50,0.00,0.00,2.03,1.84,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.53,3.90,2.51,1.19,1.57,2.62,4.65,1.55,2.30,Kras Stadion (Volendam)
1660480200,Aug 14 2022 - 12:30pm,complete,N/A,Ajax,Groningen,Bas Nijhuis,2,0.00,0.00,2.06,0.35,6,1,7,4,3,1,"4,28,45,57,66,88","10",7,3,1,0,0,0,1,0,0,0,32,7,14,3,12,3,4,6,69,31,0.00,0.00,3.33,0.77,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.14,8.80,16.50,1.08,1.33,1.88,2.76,1.88,1.82,Johan Cruijff Arena (Amsterdam)
1660480200,Aug 14 2022 - 12:30pm,complete,N/A,Twente,Fortuna Sittard,Martin van den Kerkhof,2,0.00,0.00,2.58,1.00,3,0,3,2,2,0,"22,44,53","",10,1,1,0,3,0,0,1,0,3,22,8,9,2,11,4,13,12,56,44,0.00,0.00,2.34,0.70,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.47,4.50,6.60,1.19,1.60,2.56,4.65,1.77,1.93,De Grolsch Veste (Enschede)
1660488300,Aug 14 2022 - 2:45pm,complete,N/A,Sparta Rotterdam,AZ,Jannick van der Laan,2,0.00,0.00,1.74,2.06,2,3,5,2,1,1,"1,59","45'1,57,65",2,6,2,0,2,0,2,0,2,0,10,36,4,7,5,20,12,7,38,62,0.00,0.00,1.06,2.77,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.05,3.65,1.89,1.32,2.02,3.67,7.29,1.85,1.85,Sparta-Stadion Het Kasteel (Rotterdam)
1661005800,Aug 20 2022 - 2:30pm,complete,N/A,Vitesse,Heerenveen,Joey Kooij,3,0.00,1.00,1.24,1.39,0,4,4,2,0,2,"","5,45'3,72,77",3,4,3,0,2,0,2,1,1,1,6,20,3,5,2,9,11,8,52,48,1.23,0.99,0.82,1.51,3.50,50,50,50,50,50,50,50,50,50,7.00,4.00,1.92,3.75,3.80,1.24,1.76,2.88,5.38,1.66,2.10,GelreDome (Arnhem)
1661013900,Aug 20 2022 - 4:45pm,complete,N/A,Fortuna Sittard,Cambuur,Bas Nijhuis,3,0.00,1.00,1.12,0.59,1,4,5,1,1,0,"10","47,79,87,90'2",6,5,3,0,1,0,0,3,1,0,21,24,8,10,9,9,11,4,43,57,1.25,2.47,2.05,2.14,2.50,50,50,50,50,50,0,50,50,50,7.00,4.00,2.28,3.75,2.88,1.19,1.60,2.62,4.65,1.52,2.35,Fortuna Sittard Stadion (Sittard)
1661022000,Aug 20 2022 - 7:00pm,complete,N/A,Emmen,Utrecht,Jochem Kamphuis,3,1.00,1.00,1.06,1.56,3,2,5,3,1,2,"27,59,79","10,34",6,6,0,0,0,0,0,0,0,0,15,10,7,5,6,5,8,6,56,44,1.48,1.42,1.68,1.29,3.00,100,100,50,50,0,50,50,100,100,10.00,3.00,3.50,3.50,2.05,1.21,1.73,2.55,4.50,1.62,2.15,De Oude Meerdijk (Emmen)
1661076900,Aug 21 2022 - 10:15am,complete,18575,Groningen,Go Ahead Eagles,Pol van Boekel,3,1.00,0.00,0.71,0.76,1,0,1,1,1,0,"3","",5,4,2,0,2,0,1,1,0,2,10,13,5,4,5,7,11,15,52,48,1.81,0.93,1.25,1.37,3.00,50,100,50,50,0,50,50,50,100,10.00,1.00,1.90,3.35,4.10,1.26,1.74,3.14,5.87,1.71,2.00,Euroborg (Groningen)
1661085000,Aug 21 2022 - 12:30pm,complete,N/A,Sparta Rotterdam,Ajax,Jeroen Manschot,3,0.00,3.00,1.74,2.00,0,1,1,1,0,1,"","37",2,7,1,0,1,0,1,0,1,0,10,21,5,5,4,12,10,9,34,66,1.06,2.20,1.18,2.01,5.00,100,100,100,100,100,50,100,100,100,12.00,2.00,11.00,6.00,1.22,1.10,1.35,2.16,3.14,1.80,1.90,Sparta-Stadion Het Kasteel (Rotterdam)
1661093100,Aug 21 2022 - 2:45pm,complete,N/A,RKC Waalwijk,Feyenoord,Edwin van de Graaf,3,1.00,3.00,1.76,2.47,0,1,1,0,0,0,"","68",6,8,2,0,0,0,1,1,0,0,13,23,4,8,6,11,13,5,40,60,1.33,2.14,1.27,2.21,5.50,100,100,100,100,50,100,100,100,100,9.00,2.00,6.00,4.75,1.40,1.14,1.43,2.14,3.50,1.66,2.10,Mandemakers Stadion (Waalwijk)
1661536800,Aug 26 2022 - 6:00pm,complete,N/A,NEC,Groningen,Allard Lindhout,4,0.00,0.00,1.06,0.35,1,1,2,0,0,0,"88","75",7,6,2,0,2,0,0,2,0,2,20,18,8,8,8,9,11,9,56,44,1.17,0.77,2.08,2.12,4.00,50,50,50,50,50,50,50,50,100,9.00,1.00,2.15,3.40,2.83,1.25,1.85,2.29,4.75,1.62,2.15,Goffertstadion (Nijmegen)
1661610600,Aug 27 2022 - 2:30pm,complete,N/A,Go Ahead Eagles,Sparta Rotterdam,Jochem Kamphuis,4,0.00,1.00,1.59,1.58,0,1,1,1,0,1,"","18",5,7,1,1,2,0,0,2,0,2,15,20,5,9,7,7,13,3,45,55,1.30,1.34,1.60,1.97,3.50,50,50,50,50,50,50,50,50,50,12.00,4.00,2.34,3.57,2.84,1.26,1.72,2.95,5.50,1.70,2.05,De Adelaarshorst (Deventer)
1661618700,Aug 27 2022 - 4:45pm,complete,N/A,Vitesse,RKC Waalwijk,Pol van Boekel,4,0.00,1.00,1.24,0.65,2,2,4,1,0,1,"61,71","35,50",10,4,1,0,1,0,0,1,1,0,36,13,8,7,18,5,12,7,58,42,1.02,1.32,2.61,1.73,3.75,75,100,50,50,25,50,50,100,100,8.00,3.50,1.75,3.95,4.25,1.22,1.57,2.29,4.50,1.68,2.05,GelreDome (Arnhem)
1661623200,Aug 27 2022 - 6:00pm,complete,N/A,Feyenoord,Emmen,Bas Nijhuis,4,1.00,0.00,2.35,0.59,4,0,4,0,0,0,"60,85,88,90'2","",11,2,0,0,0,0,0,0,0,0,27,9,6,2,16,5,7,9,61,39,2.62,0.85,2.37,0.70,2.50,50,50,50,50,50,50,50,50,50,13.00,2.00,1.30,5.50,9.20,1.15,1.49,2.33,3.75,1.90,1.80,Stadion Feijenoord (Rotterdam)
1661626800,Aug 27 2022 - 7:00pm,complete,18020,Heerenveen,Fortuna Sittard,Dennis Higler,4,1.00,0.00,1.17,1.00,2,1,3,2,2,0,"22,44","84",8,6,1,0,1,0,0,1,0,1,27,10,10,4,12,5,8,9,58,42,1.20,0.70,2.51,1.12,1.50,0,50,50,0,0,50,50,0,50,4.00,4.00,1.81,3.78,4.10,1.20,1.72,2.50,4.33,1.65,2.10,Abe Lenstra Stadion (Heerenveen)
1661681700,Aug 28 2022 - 10:15am,complete,N/A,Utrecht,Ajax,Danny Makkelie,4,1.00,3.00,1.61,2.00,0,2,2,2,0,2,"","10,45'1",3,4,2,0,3,0,0,2,2,1,7,13,2,5,4,5,9,10,44,56,1.79,2.10,0.83,1.47,1.50,25,25,25,25,25,0,50,25,25,15.50,3.50,6.60,4.80,1.39,1.12,1.48,2.30,3.52,1.61,2.20,Stadion Galgenwaard (Utrecht)
1661689800,Aug 28 2022 - 12:30pm,complete,N/A,Excelsior,PSV,Jeroen Manschot,4,3.00,3.00,1.53,1.82,1,6,7,3,0,3,"74","2,29,45,55,59,84",3,9,0,0,1,0,0,0,0,1,10,31,5,14,4,13,7,7,44,56,1.54,2.88,1.18,3.06,5.50,100,100,100,100,50,100,100,50,100,7.00,0.00,8.75,6.50,1.27,1.07,1.34,1.88,2.72,1.58,2.20,Van Donge & De Roo Stadion (Rotterdam)
1661689800,Aug 28 2022 - 12:30pm,complete,N/A,Volendam,Twente,Alex Bos,4,0.00,3.00,1.65,1.32,1,0,1,0,0,0,"83","",4,10,2,0,0,0,1,1,0,0,13,22,7,6,6,13,12,9,36,64,2.03,1.44,1.58,2.09,3.00,50,50,50,50,50,50,50,50,100,15.00,3.00,4.10,3.95,1.75,1.16,1.68,2.38,4.08,1.55,2.30,Kras Stadion (Volendam)
1661697900,Aug 28 2022 - 2:45pm,complete,N/A,Cambuur,AZ,Rob Dieperink,4,0.00,3.00,0.53,2.06,0,1,1,0,0,0,"","90",5,5,1,1,1,0,1,1,1,0,12,24,4,4,6,13,7,11,35,65,3.19,2.77,1.11,2.03,3.50,50,100,50,50,50,100,100,50,50,16.00,3.00,4.30,3.85,1.73,1.21,1.68,2.66,4.87,1.66,2.10,Cambuur Stadion (Leeuwarden)
1661964300,Aug 31 2022 - 4:45pm,complete,N/A,PSV,Volendam,Sander van der Eijk,3,3.00,1.00,2.59,0.47,7,1,8,4,3,1,"1,25,39,47,51,67,79","40",10,3,0,0,3,0,0,0,1,2,29,13,16,6,12,4,2,8,65,35,1.82,1.43,3.29,1.26,4.50,100,100,100,100,50,100,100,50,100,7.00,1.00,1.10,11.50,20.00,1.06,1.28,1.74,2.05,1.95,1.80,Philips Stadion (Eindhoven)
1661972400,Aug 31 2022 - 7:00pm,complete,N/A,Twente,Excelsior,Marc Nagtegaal,3,3.00,3.00,2.58,0.35,4,0,4,2,2,0,"1,8,62,90'3","",1,4,0,0,0,0,0,0,0,0,13,14,7,4,5,7,7,8,54,46,2.34,0.81,1.55,1.24,2.50,0,100,50,0,0,100,100,0,50,12.00,3.00,1.26,6.20,10.00,1.12,1.47,2.12,3.40,1.62,2.20,De Grolsch Veste (Enschede)
1662055200,Sep 01 2022 - 6:00pm,complete,N/A,AZ,NEC,Dennis Higler,3,3.00,3.00,1.88,1.24,1,1,2,0,0,0,"57","54",8,3,1,0,2,0,1,0,0,2,39,5,14,2,17,3,7,10,63,37,2.43,1.84,3.54,0.53,3.50,50,100,50,50,50,50,50,100,100,13.00,1.00,1.47,4.33,6.00,1.19,1.61,2.59,4.65,1.77,1.95,AFAS Stadion (Alkmaar)
1662141600,Sep 02 2022 - 6:00pm,complete,8763,Fortuna Sittard,Utrecht,Allard Lindhout,5,0.00,0.50,1.12,1.56,3,4,7,0,0,0,"67,82,90'7","64,70,77,86",6,8,1,0,2,0,0,1,0,2,19,33,8,12,9,16,8,6,44,56,1.65,1.35,1.94,3.08,4.75,100,100,100,100,75,50,100,100,100,11.00,3.00,3.60,3.70,1.95,1.18,1.53,2.29,4.10,1.53,2.38,Fortuna Sittard Stadion (Sittard)
1662215400,Sep 03 2022 - 2:30pm,complete,N/A,Ajax,Cambuur,Joey Kooij,5,3.00,2.00,2.06,0.59,4,0,4,2,2,0,"35,40,53,64","",9,1,1,0,2,0,1,0,2,0,25,5,7,4,15,1,7,7,75,25,3.33,2.30,2.74,0.75,4.75,75,75,75,75,75,50,75,75,75,11.50,2.00,1.11,10.00,21.00,1.05,1.30,1.87,2.25,1.95,1.80,Johan Cruijff Arena (Amsterdam)
1662223500,Sep 03 2022 - 4:45pm,complete,N/A,Twente,PSV,Danny Makkelie,5,3.00,3.00,2.58,1.82,2,1,3,2,2,0,"17,24","55",4,6,1,0,2,0,1,0,0,2,24,12,6,6,14,6,8,17,44,56,1.94,2.97,1.98,1.52,5.25,50,100,100,75,50,100,100,75,100,13.00,1.00,4.20,4.25,1.74,1.16,1.50,2.35,3.89,1.53,2.38,De Grolsch Veste (Enschede)
