timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1660402800,Aug 13 2022 - 3:00pm,complete,N/A,USV Hercules,Ter Leede,N/A,N/A,0.00,0.00,2.00,0.00,5,1,6,3,2,1,"16,45'3,63,71,76","23",-1,-1,3,0,1,1,2,1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.50,4.20,4.75,1.14,1.44,2.06,3.30,1.58,2.32,N/A
1660402800,Aug 13 2022 - 3:00pm,complete,N/A,Staphorst,TOGB W,N/A,N/A,0.00,0.00,1.33,0.00,3,0,3,1,1,0,"7,47,89","",2,3,2,0,1,0,0,2,1,0,12,7,7,4,5,3,-1,-1,50,50,0.00,0.00,1.53,1.26,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.75,2.90,1.15,1.57,2.34,4.00,1.50,2.50,Sportpark Het Noorderslag
1660402800,Aug 13 2022 - 3:00pm,complete,N/A,Groene Ster,Barendrecht,N/A,N/A,0.00,0.00,1.50,0.00,2,0,2,0,0,0,"54,78","",9,7,1,0,1,0,1,0,1,0,7,6,4,3,3,3,-1,-1,50,50,0.00,0.00,1.02,1.04,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.40,3.60,2.40,1.14,1.53,2.25,3.90,1.44,2.63,Sportpark Pronsenbroek
1660402800,Aug 13 2022 - 3:00pm,complete,N/A,OJC Rosmalen,Sportlust '46,N/A,N/A,0.00,0.00,0.00,2.00,1,2,3,1,0,1,"72","11,48",6,4,1,0,2,0,0,1,1,1,12,23,4,13,8,10,-1,-1,50,50,0.00,0.00,1.49,2.84,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.00,4.00,1.62,1.14,1.53,2.25,3.90,1.57,2.25,Complex Groote Wielen
1660402800,Aug 13 2022 - 3:00pm,complete,N/A,JOS Watergraafsmeer,HSV Hoek,N/A,N/A,0.00,0.00,0.00,1.33,1,3,4,2,0,2,"72","10,21,90'4",6,3,2,0,4,0,0,2,3,1,16,9,7,5,9,4,-1,-1,50,50,0.00,0.00,1.93,1.21,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.63,3.60,2.20,1.14,1.53,2.25,3.90,1.50,2.50,N/A
1660410000,Aug 13 2022 - 5:00pm,complete,N/A,ADO '20,VVOG,N/A,N/A,0.00,0.00,2.00,0.00,4,3,7,2,1,1,"8,49,90'8,106","24,85,90'3",6,3,0,0,0,1,0,0,0,1,22,15,13,6,9,9,-1,-1,52,48,0.00,0.00,2.86,1.83,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.53,4.20,4.50,1.11,1.40,2.12,3.10,1.50,2.50,Sportpark De Vlotter
1663696800,Sep 20 2022 - 6:00pm,complete,N/A,DOVO,Spakenburg,N/A,N/A,0.00,0.00,0.00,2.17,0,1,1,1,0,1,"","30",5,4,2,0,1,0,1,1,0,1,7,12,3,6,4,6,-1,-1,50,50,0.00,0.00,1.06,1.48,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.80,4.20,1.80,1.12,1.44,2.10,3.42,1.44,2.63,N/A
1663696800,Sep 20 2022 - 6:00pm,complete,N/A,IJsselmeervogels,HSV Hoek,N/A,N/A,0.00,3.00,1.00,1.33,0,0,0,0,0,0,"","",12,6,4,0,5,0,2,2,0,5,32,9,11,2,21,7,-1,-1,50,50,0.00,1.21,3.48,1.00,2.00,50,50,50,50,0,50,50,50,50,3.00,4.00,1.57,4.50,5.00,1.14,1.53,2.25,3.94,1.62,2.20,N/A
1663696800,Sep 20 2022 - 6:00pm,complete,N/A,Lisse,DVS '33,N/A,N/A,0.00,0.00,0.00,1.50,0,3,3,1,0,1,"","7,79,81",5,5,1,0,1,0,0,1,0,1,8,15,3,7,5,8,-1,-1,48,52,0.00,0.00,0.97,1.70,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.73,4.33,4.00,1.15,1.48,2.20,3.65,1.50,2.50,Sportpark Ter Specke
1663696800,Sep 20 2022 - 6:00pm,complete,N/A,Quick Boys,Sportlust '46,N/A,N/A,0.00,3.00,0.00,2.00,1,2,3,1,1,0,"26","58,90'4",7,3,2,0,2,0,1,1,1,1,22,14,7,6,15,8,-1,-1,58,42,0.00,2.84,2.27,1.63,1.50,50,50,50,0,0,0,50,50,50,4.00,2.00,1.57,4.50,5.00,1.13,1.48,2.15,3.25,1.53,2.38,Sportpark Nieuw Hanenburg
1663696800,Sep 20 2022 - 6:00pm,complete,N/A,Rijnvogels,ACV,N/A,N/A,0.00,0.00,1.50,0.00,1,0,1,1,1,0,"44","",4,8,3,0,1,0,1,2,0,1,17,13,9,5,8,8,-1,-1,50,50,0.00,0.00,1.94,1.55,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.80,2.50,1.18,1.67,2.55,4.60,1.57,2.25,Sportpark De Kooltuin
1663696800,Sep 20 2022 - 6:00pm,complete,N/A,Scheveningen,Harkemase Boys,N/A,N/A,0.00,0.00,1.00,0.50,1,1,2,2,1,1,"19","5",4,3,3,0,3,0,1,2,1,2,8,17,4,6,4,11,-1,-1,61,39,0.00,0.00,1.13,1.86,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.44,4.75,6.50,1.12,1.40,1.93,3.08,1.57,2.25,Sportpark Houtrust
1663696800,Sep 20 2022 - 6:00pm,complete,N/A,ASWH,Kozakken Boys,N/A,N/A,0.00,0.00,0.00,1.33,1,2,3,1,0,1,"49","17,67",3,4,1,0,0,0,1,0,0,0,12,11,5,4,7,7,-1,-1,42,58,0.00,0.00,1.42,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.60,4.20,1.85,1.15,1.53,2.30,3.74,1.50,2.50,Sportpark Schildman (ASWH)
1663696800,Sep 20 2022 - 6:00pm,complete,N/A,De Treffers,Noordwijk,N/A,N/A,0.00,0.00,2.25,0.00,3,1,4,2,2,0,"9,30,54","70",2,5,3,0,3,0,0,3,1,2,14,16,8,5,6,11,-1,-1,50,50,0.00,0.00,1.82,2.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.85,3.80,4.00,1.14,1.57,2.30,4.00,1.53,2.38,Sportpark Zuid
1663783200,Sep 21 2022 - 6:00pm,complete,N/A,GVV Unitas,DEM,N/A,N/A,0.00,0.00,1.00,0.50,0,0,0,0,0,0,"","",3,6,3,0,2,0,1,2,1,1,8,9,3,5,5,4,-1,-1,58,42,0.00,0.00,1.12,1.31,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.80,3.10,1.18,1.65,2.50,4.40,1.57,2.25,N/A
1663783200,Sep 21 2022 - 6:00pm,complete,N/A,HSC '21,RKAV Volendam,N/A,N/A,0.00,0.00,1.00,0.50,2,2,4,2,1,1,"20,58","16,50",9,4,2,0,0,0,1,1,0,0,36,10,18,5,18,5,-1,-1,59,41,0.00,0.00,3.96,1.23,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.91,4.33,3.40,0.00,1.48,0.00,0.00,1.50,2.50,Sportpark Groot Scholtenhagen
1663783200,Sep 21 2022 - 6:00pm,complete,N/A,Groene Ster,HV & CV Quick,N/A,N/A,3.00,0.00,1.50,2.00,1,3,4,2,1,1,"14","18,52,79",16,7,2,0,0,0,0,2,0,0,13,12,6,10,7,2,-1,-1,50,50,1.02,0.00,1.66,1.89,1.00,0,50,0,0,0,0,0,50,50,9.00,1.00,2.10,4.00,3.10,1.17,1.60,2.47,4.40,1.53,2.38,Sportpark Pronsenbroek
1663783200,Sep 21 2022 - 6:00pm,complete,N/A,OSS '20,Excelsior '31,N/A,N/A,0.00,0.00,0.00,1.50,1,2,3,0,0,0,"90","56,72",2,5,2,0,3,0,1,1,2,1,12,12,6,7,6,5,-1,-1,50,50,0.00,0.00,1.62,1.87,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.90,3.00,1.16,1.60,2.42,4.20,1.53,2.38,Sportpark De Rusheuvel
1663783200,Sep 21 2022 - 6:00pm,complete,N/A,Gemert,Urk,N/A,N/A,0.00,0.00,0.00,2.00,1,2,3,2,1,1,"1","25,92",12,6,0,0,5,0,0,0,0,5,19,19,9,6,10,13,-1,-1,50,50,0.00,0.00,2.27,2.09,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,3.90,3.25,1.17,1.57,2.38,4.00,1.50,2.50,Sportpark Molenbroek
1663783200,Sep 21 2022 - 6:00pm,complete,N/A,SteDoCo,VV Dongen,N/A,N/A,0.00,0.00,0.00,1.50,1,2,3,2,0,2,"48","13,30",7,5,3,1,2,0,2,2,0,2,15,10,5,4,10,6,-1,-1,62,38,0.00,0.00,1.60,1.13,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.62,4.50,4.75,1.11,1.40,1.95,3.00,1.44,2.63,N/A
