timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1668717000,Nov 17 2022 - 8:30pm,canceled,N/A,FC Penafiel,Moreirense FC,David Rafael Oliveira Silva,1,0.00,0.00,0.50,2.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.06,2.96,2.22,1.43,2.38,4.00,8.00,2.00,1.73,Estádio Municipal 25 de Abril (Penafiel)
1668794400,Nov 18 2022 - 6:00pm,complete,N/A,FC Arouca,CD Feirense,Vitor Jorge Fernandes Ferreira,1,0.00,0.00,2.00,2.00,1,1,2,1,1,0,"34","48",6,3,3,0,2,0,2,1,1,1,14,10,6,3,8,7,18,10,59,41,0.00,0.00,1.78,1.20,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,3.50,4.30,1.36,2.16,3.75,7.00,2.00,1.73,Estádio Municipal de Arouca (Arouca)
1668803400,Nov 18 2022 - 8:30pm,complete,N/A,Belenenses,Boavista FC,João António Ferreira Gonçalves,1,0.00,0.00,0.67,2.33,2,3,5,3,2,1,"20,25","37,50,58",2,3,5,0,1,0,0,5,1,0,8,15,4,6,4,9,12,18,38,62,0.00,0.00,1.00,1.76,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.34,3.30,2.02,1.31,2.10,3.55,7.25,1.91,1.80,Estádio Nacional (Jamor- Oeiras)
1668855600,Nov 19 2022 - 11:00am,complete,N/A,Leixões,UD Oliveirense,Iancu Ioan Vasilica,1,0.00,0.00,1.75,0.50,2,1,3,1,1,0,"14,88","52",4,5,5,0,2,0,2,3,0,2,9,8,6,2,3,6,14,14,44,56,0.00,0.00,1.23,1.04,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.94,3.45,3.40,1.27,1.91,3.55,7.00,2.00,1.73,Estádio do Mar (Matosinhos)
1668871800,Nov 19 2022 - 3:30pm,complete,N/A,CD Nacional,Portimonense,Manuel Antonio Rodrigues Oliveira,1,0.00,0.00,2.00,1.00,2,0,2,0,0,0,"51,53","",5,6,2,0,6,1,0,2,3,4,13,4,4,0,9,4,11,21,46,54,0.00,0.00,1.56,0.73,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.20,3.20,1.80,1.36,2.10,3.60,6.50,1.91,1.80,Estádio da Madeira (Funchal (Ilha da Madeira))
1668880800,Nov 19 2022 - 6:00pm,complete,N/A,CD Tondela,GD Estoril Praia,Hélder Miguel Azevedo Malheiro,1,0.00,0.00,0.75,0.50,0,0,0,0,0,0,"","",4,8,1,0,3,0,0,1,2,1,8,13,3,5,5,8,14,21,44,56,0.00,0.00,1.07,1.68,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.20,3.00,2.38,1.38,2.20,3.80,7.00,1.91,1.80,Estádio João Cardoso (Tondela)
1668889800,Nov 19 2022 - 8:30pm,complete,N/A,Vilafranquense,Vitória Guimarães,André Filipe Domingues Narciso,1,0.00,0.00,0.67,1.00,0,0,0,0,0,0,"","",1,3,1,0,3,0,1,0,2,1,7,10,2,7,5,3,24,17,46,54,0.00,0.00,0.83,1.47,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.74,3.35,1.82,1.40,2.30,3.80,7.50,2.00,1.72,Estádio Municipal de Rio Maior (Rio Maior)
1668942000,Nov 20 2022 - 11:00am,complete,N/A,Torreense,Academico Viseu,Bruno Vieira,1,0.00,0.00,1.50,2.00,1,1,2,1,0,1,"46","15",5,10,2,1,2,0,0,3,2,0,12,19,5,6,7,13,12,20,38,62,0.00,0.00,1.48,2.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.65,3.13,2.68,1.37,2.18,3.82,7.40,1.83,1.83,Campo Manuel Marques (Torres Vedras)
1668967200,Nov 20 2022 - 6:00pm,complete,N/A,Sporting Covilhã,Gil Vicente,N/A,1,0.00,0.00,0.33,2.33,2,2,4,1,0,1,"65,68","17,90'4",5,3,2,0,2,0,1,1,0,2,10,9,5,5,5,4,9,15,46,54,0.00,0.00,1.44,1.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.00,3.75,1.65,1.29,1.80,3.26,6.05,2.00,1.73,Estádio Municipal José Santos Pinto (Covilhã)
1668970800,Nov 20 2022 - 7:00pm,complete,N/A,Estrela Amadora,Benfica,Miguel Bertolo Nogueira,1,0.00,0.00,0.33,2.33,2,3,5,3,1,2,"22,90'5","13,29,90",4,7,3,0,3,0,2,1,3,0,11,17,5,10,6,7,15,14,38,62,0.00,0.00,1.33,2.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,13.00,6.50,1.17,1.11,1.37,1.94,3.05,1.95,1.76,Estádio Dr. Magalhães Pessoa (Leiria)
1668975300,Nov 20 2022 - 8:15pm,complete,N/A,Paços de Ferreira,Casa Pia,Cláudio Filipe Ruivo Pereira,1,0.00,0.00,0.67,1.33,1,1,2,1,1,0,"40","47",4,5,2,0,0,0,1,1,0,0,14,10,9,3,5,7,18,14,55,45,0.00,0.00,2.06,1.33,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.10,3.10,2.20,1.35,2.30,3.90,6.50,2.00,1.73,Estádio da Capital do Móvel (Paços de Ferreira)
1669149900,Nov 22 2022 - 8:45pm,complete,N/A,FC Vizela,GD Chaves,Carlos André Fernandes Macedo,1,0.00,0.00,0.67,0.33,2,2,4,2,1,1,"35,75","33,90'3",4,7,3,0,2,1,2,1,0,3,18,16,9,6,9,10,19,9,52,48,0.00,0.00,2.17,1.85,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.19,2.93,3.65,1.40,2.30,4.00,8.00,2.00,1.73,Estádio Do Vizela (Caldas de Vizela)
1669236300,Nov 23 2022 - 8:45pm,complete,N/A,Leixões,Santa Clara,António Emanuel Carvalho Nobre,2,3.00,0.00,1.75,0.25,2,1,3,1,0,1,"51,60","18",5,7,4,0,2,1,1,3,2,1,14,7,6,3,8,4,19,10,57,43,1.23,0.00,1.74,1.07,1.50,50,50,50,0,0,0,50,50,50,4.00,5.00,3.10,3.10,2.35,1.35,2.20,4.00,7.25,1.96,1.85,Estádio do Mar (Matosinhos)
1669322700,Nov 24 2022 - 8:45pm,complete,N/A,CD Tondela,Torreense,Flávio Dinis Lima,2,1.00,1.00,0.75,1.50,1,1,2,1,1,0,"26","67",2,6,3,0,2,0,0,3,2,0,10,3,4,3,6,0,14,12,52,48,1.07,0.00,1.28,0.88,1.00,50,50,0,0,0,0,50,0,50,9.00,4.00,2.04,3.05,3.30,1.33,2.03,3.74,7.50,1.85,1.91,Estádio João Cardoso (Tondela)
1669409100,Nov 25 2022 - 8:45pm,complete,N/A,Porto,CD Mafra,Miguel Bertolo Nogueira,1,0.00,0.00,2.33,1.67,2,2,4,2,0,2,"48,70","16,42",12,5,2,0,7,1,1,1,2,6,16,4,9,3,7,1,12,10,66,34,0.00,0.00,2.66,0.76,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.05,8.90,17.00,1.12,1.33,1.95,3.25,2.40,1.54,Estádio Do Dragão (Porto)
1669460400,Nov 26 2022 - 11:00am,complete,N/A,UD Oliveirense,CD Feirense,João Pedro Silva Pinheiro,2,0.00,1.00,0.50,2.00,0,0,0,0,0,0,"","",3,7,5,0,3,0,3,2,1,2,9,10,3,0,6,10,19,13,54,46,0.00,1.20,1.15,0.92,2.50,100,100,50,0,0,0,100,50,100,8.00,4.00,2.43,3.26,2.84,1.35,2.05,3.68,6.00,1.83,1.83,Estádio Carlos Osório (Oliveira de Azeméis)
1669474800,Nov 26 2022 - 3:00pm,complete,N/A,Famalicão,Academico Viseu,Manuel Antonio Rodrigues Oliveira,2,0.00,1.00,1.25,2.00,1,1,2,1,0,1,"61","18",7,3,1,0,5,0,1,0,1,4,19,15,7,4,12,11,15,19,62,38,0.00,2.15,2.26,1.51,1.00,50,50,0,0,0,0,50,0,50,10.00,2.00,1.74,3.48,3.97,1.33,2.07,3.50,7.50,2.00,1.77,Estádio Municipal 22 de Junho (Vila Nova de Famalicão)
1669488300,Nov 26 2022 - 6:45pm,complete,N/A,Sporting Braga,CD Trofense,Ricardo Baixinho,1,0.00,0.00,3.00,0.33,3,0,3,2,2,0,"16,42,90'4","",9,1,2,0,1,0,1,1,1,0,23,8,9,3,14,5,7,9,68,32,0.00,0.00,2.67,0.91,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.05,9.50,16.00,1.12,1.35,1.95,3.25,2.34,1.57,Estádio Municipal de Braga (Braga)
1669495500,Nov 26 2022 - 8:45pm,complete,N/A,Benfica,FC Penafiel,André Filipe Domingues Narciso,2,3.00,0.00,2.33,0.50,2,0,2,0,0,0,"55,57","",9,6,1,0,2,0,0,1,1,1,18,7,8,3,10,4,13,9,77,23,0.00,0.00,2.39,0.88,2.50,50,50,50,50,50,50,50,50,50,7.00,3.00,1.05,9.50,16.00,1.11,1.33,2.02,3.00,2.40,1.54,Estádio do Sport Lisboa e Benfica (da Luz) (Lisboa)
1669546800,Nov 27 2022 - 11:00am,complete,N/A,Portimonense,Sporting Covilhã,João António Ferreira Gonçalves,2,0.00,1.00,1.00,0.33,2,0,2,1,1,0,"8,77","",6,1,2,0,1,0,1,1,1,0,12,6,5,2,7,4,19,10,56,44,0.00,0.00,1.51,0.82,3.00,50,100,50,50,0,0,50,100,100,11.00,10.00,1.30,4.80,10.50,1.25,1.92,3.10,5.50,2.40,1.54,Estádio Municipal de Portimão (Portimão)
1669561200,Nov 27 2022 - 3:00pm,complete,N/A,Gil Vicente,CD Nacional,Rui Manuel Gomes Costa,2,1.00,3.00,2.33,2.00,2,0,2,2,2,0,"4,16","",7,5,2,0,3,0,1,1,1,2,15,13,7,3,8,10,18,10,45,55,0.00,0.00,1.71,1.36,3.00,50,100,50,50,0,0,50,100,100,8.00,4.00,1.71,3.25,4.40,1.36,1.89,3.75,7.00,2.05,1.73,Estádio Cidade de Barcelos (Barcelos)
1669568400,Nov 27 2022 - 5:00pm,complete,N/A,Moreirense FC,Estrela Amadora,Anzhony Francisco Gonçalves Rodrigues,2,0.00,0.00,2.00,0.33,4,2,6,3,2,1,"32,45,69,83","27,49",3,2,3,1,2,1,1,3,0,3,16,9,8,4,8,5,12,17,46,54,0.00,0.00,1.85,1.25,2.50,50,50,50,50,50,50,50,50,50,4.00,3.00,1.60,3.50,5.50,1.30,1.96,3.50,6.50,2.02,1.76,Parque Desportivo Comendador Joaquim de Almeida Freitas (Moreira de Cónegos)
1669581900,Nov 27 2022 - 8:45pm,complete,N/A,Boavista FC,Vilafranquense,Manuel Mota,2,3.00,1.00,2.33,0.67,1,0,1,0,0,0,"79","",5,3,3,0,4,0,2,1,3,1,14,8,5,3,9,5,11,13,58,42,0.00,0.00,1.75,1.06,2.50,50,50,50,50,50,50,50,50,50,4.00,2.00,1.75,3.35,3.90,1.38,2.10,4.00,7.00,2.04,1.74,Estádio do Bessa Século XXI (Porto)
1669754700,Nov 29 2022 - 8:45pm,complete,N/A,Santa Clara,UD Oliveirense,N/A,3,0.00,0.50,0.25,0.50,1,1,2,0,0,0,"90","62",5,6,2,0,1,0,0,2,0,1,10,5,4,3,6,2,10,15,57,43,0.00,1.04,1.47,0.86,2.25,75,75,75,0,0,0,75,75,75,11.00,7.50,1.60,3.80,5.25,0.00,2.10,0.00,0.00,2.10,1.67,Estádio de São Miguel (Ponta Delgada- Ilha de São Miguel- Açores)
1669841100,Nov 30 2022 - 8:45pm,complete,N/A,Sporting CP,Farense,Nuno Miguel Serrano Almeida,1,0.00,0.00,3.00,1.00,6,0,6,3,3,0,"20,22,39,48,75,85","",5,2,2,0,1,0,1,1,0,1,20,5,8,0,12,5,16,9,56,44,0.00,0.00,2.20,0.55,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.14,7.40,17.00,1.15,1.44,2.15,3.50,2.30,1.57,Estádio José Alvalade (Lisboa)
1669898700,Dec 01 2022 - 12:45pm,complete,N/A,Academico Viseu,GD Estoril Praia,Ricardo Baixinho,3,1.00,1.00,2.00,0.50,3,2,5,3,1,2,"31,69,76","8,42",12,8,5,0,2,1,3,2,0,3,17,7,9,3,8,4,5,13,49,51,0.00,1.68,2.10,0.98,1.00,50,50,0,0,0,0,50,0,50,14.50,6.50,2.72,3.22,2.56,1.38,2.19,3.80,7.00,1.88,1.83,Estádio Municipal do Fontelo (Viseu)
1669914000,Dec 01 2022 - 5:00pm,complete,N/A,CS Marítimo,Rio Ave FC,Carlos André Fernandes Macedo,1,0.00,0.00,0.00,2.00,0,1,1,0,0,0,"","90",3,4,3,1,3,0,1,3,1,2,5,18,0,5,5,13,15,18,41,59,0.00,0.00,0.60,1.94,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.80,3.10,2.50,1.38,2.12,3.80,7.00,2.02,1.76,Estádio dos Barreiros (Funchal (Ilha da Madeira))
1669927500,Dec 01 2022 - 8:45pm,complete,N/A,Vitória Guimarães,Belenenses,Vitor Jorge Fernandes Ferreira,2,1.00,0.00,1.00,0.67,2,2,4,4,2,2,"14,36","29,45",5,4,2,0,7,0,1,1,1,6,26,12,11,9,15,3,14,19,62,38,0.00,0.00,3.08,1.73,2.50,50,50,50,50,50,50,50,50,50,5.00,8.00,1.39,4.60,7.50,1.25,1.80,2.90,5.25,2.25,1.61,Estádio Dom Afonso Henriques (Guimarães)
1670013900,Dec 02 2022 - 8:45pm,complete,N/A,Torreense,Famalicão,Luis Miguel Branco Godinho,3,1.00,1.00,1.50,1.25,1,0,1,0,0,0,"50","",2,2,5,0,3,1,1,4,1,3,12,6,5,0,7,6,20,22,46,54,1.48,0.00,1.53,0.83,2.00,100,100,0,0,0,0,100,0,100,12.50,3.50,3.65,3.35,1.84,1.31,1.98,3.60,7.25,1.94,1.83,Campo Manuel Marques (Torres Vedras)
1670086800,Dec 03 2022 - 5:00pm,complete,N/A,Casa Pia,Sporting Braga,Fábio José Costa Veríssimo,2,1.00,3.00,1.33,3.00,0,1,1,1,0,1,"","22",4,3,2,0,3,1,1,1,0,4,14,13,4,6,10,7,11,9,56,44,0.00,0.00,1.70,1.69,2.50,50,100,50,0,0,50,100,0,100,14.00,2.00,4.10,3.72,1.63,1.22,1.67,2.85,4.75,1.70,2.10,Estádio Nacional (Jamor- Oeiras)
1670100300,Dec 03 2022 - 8:45pm,complete,N/A,CD Trofense,Paços de Ferreira,Gustavo Fernandes Correia,2,0.00,1.00,0.33,0.67,1,1,2,1,1,0,"27","57",1,2,1,0,2,1,0,1,1,2,9,9,7,4,2,5,18,17,47,53,0.00,0.00,1.32,1.28,2.50,50,100,50,0,0,50,100,0,100,5.00,3.00,2.85,3.48,2.34,1.25,1.75,3.00,5.00,1.66,2.15,Estádio do Clube Desportivo Trofense (Trofa)
1670173200,Dec 04 2022 - 5:00pm,complete,N/A,FC Arouca,Leixões,Tiago Bruno Lopes Martins,3,1.00,3.00,2.00,1.75,1,1,2,1,1,0,"8","76",2,4,3,1,2,0,2,2,1,1,9,9,5,3,4,6,16,9,42,58,1.78,0.00,1.23,1.20,2.50,100,100,50,0,0,0,100,50,100,10.50,7.50,1.91,3.10,4.00,1.40,2.25,4.00,7.50,2.06,1.74,Estádio Municipal de Arouca (Arouca)
1670273100,Dec 05 2022 - 8:45pm,complete,N/A,CD Mafra,FC Vizela,João António Ferreira Gonçalves,2,1.00,1.00,1.67,0.67,1,1,2,1,1,0,"9","70",5,7,4,1,2,1,2,3,2,1,6,14,3,6,3,8,15,19,43,57,0.00,0.00,1.00,1.82,4.00,100,100,100,100,0,100,100,100,100,9.00,11.00,2.80,3.10,2.30,1.27,2.14,3.10,6.50,1.85,1.90,Estádio Municipal de Mafra (Mafra)
1670359500,Dec 06 2022 - 8:45pm,complete,N/A,GD Estoril Praia,Torreense,N/A,4,0.50,1.67,0.50,1.50,2,2,4,3,1,2,"34,86","6,24",5,1,3,0,2,0,1,2,0,2,6,12,4,7,2,5,18,13,60,40,0.00,0.88,0.00,0.00,2.09,59,59,25,25,25,25,59,25,75,12.33,6.83,1.64,3.48,4.59,1.36,1.95,3.75,7.00,2.00,1.75,Estádio António Coimbra da Mota (Estoril)
1670437800,Dec 07 2022 - 6:30pm,complete,N/A,Farense,CS Marítimo,Hélder Miguel Azevedo Malheiro,2,0.00,0.00,1.00,0.00,2,0,2,1,1,0,"24,85","",1,12,1,0,4,0,0,1,2,2,4,19,4,8,0,11,15,18,46,54,0.00,0.00,0.72,2.28,3.50,0,50,50,50,50,50,50,50,100,5.00,6.00,2.35,3.30,2.85,1.36,2.14,3.75,7.30,1.84,1.86,Estádio de São Lúis (Faro)
1670445000,Dec 07 2022 - 8:30pm,complete,N/A,Rio Ave FC,Sporting CP,Miguel Bertolo Nogueira,2,3.00,3.00,2.00,3.00,0,2,2,0,0,0,"","62,73",4,5,2,0,3,0,1,1,0,3,4,18,2,11,2,7,17,17,46,54,0.00,0.00,0.85,2.51,3.50,0,50,50,50,50,50,50,50,100,9.00,5.00,4.50,3.80,1.70,1.26,1.83,3.00,5.55,1.81,1.89,Estádio do Rio Ave Futebol Clube (Vila do Conde)
1670517000,Dec 08 2022 - 4:30pm,complete,N/A,CD Feirense,Santa Clara,Carlos André Fernandes Macedo,4,1.00,0.50,2.00,0.25,4,3,7,3,1,2,"7,55,58,88","19,45'1,80",3,4,1,0,5,1,0,1,1,5,9,8,5,4,4,4,11,15,42,58,0.00,1.07,1.17,1.17,1.75,75,75,25,0,0,0,50,50,75,11.00,5.50,2.80,3.00,2.45,1.36,2.35,3.75,7.00,1.87,1.87,Estádio Marcolino de Castro (Santa Maria da Feira)
1670526000,Dec 08 2022 - 7:00pm,complete,N/A,GD Chaves,Porto,Cláudio Filipe Ruivo Pereira,2,1.00,1.00,0.33,2.33,0,2,2,0,0,0,"","55,59",5,11,5,0,0,0,0,5,0,0,14,16,5,10,9,6,12,16,40,60,0.00,0.00,1.57,2.41,4.00,100,100,100,100,0,100,100,100,100,19.00,6.00,8.00,4.75,1.36,1.22,1.65,2.90,4.50,2.05,1.72,Estádio Municipal Eng. Manuel Branco Teixeira (Chaves)
