timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1660665600,Aug 16 2022 - 4:00pm,complete,N/A,Amkal,Zorkiy,N/A,N/A,0.00,0.00,1.67,1.00,1,1,2,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sportivnyj gorodok Luzhniki (Moskva)
1660735800,Aug 17 2022 - 11:30am,complete,N/A,Temp Barnaul,Dinamo Barnaul,N/A,N/A,0.00,0.00,1.50,0.00,2,1,3,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Dinamo (Barnaul)
1660737600,Aug 17 2022 - 12:00pm,complete,N/A,Kolomna,Saturn Ramenskoye,N/A,N/A,0.00,0.00,1.50,0.00,1,0,1,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Trud (Kolomna)
1660744800,Aug 17 2022 - 2:00pm,complete,N/A,Essentuki,StavAgrosoyuz,N/A,N/A,0.00,0.00,0.00,1.75,0,3,3,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Yessentuki Arena (Yessentuki)
1660748400,Aug 17 2022 - 3:00pm,complete,N/A,Dinamo Stavropol,Armavir,N/A,N/A,0.00,0.00,2.00,0.00,3,0,3,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Dinamo (Stavropol')
1660750200,Aug 17 2022 - 3:30pm,complete,N/A,2Drots,Chertanovo,N/A,N/A,0.00,0.00,2.00,0.00,3,0,3,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Arena Khimki (Khimki)
1660752000,Aug 17 2022 - 4:00pm,complete,N/A,Nefis Kazan,Khimik Vurnary,N/A,N/A,0.00,0.00,0.00,2.00,0,1,1,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Central'nyj stadion Kazan' (Kazan')
1660752000,Aug 17 2022 - 4:00pm,complete,N/A,Elektron VN,SSh 7 Petrozavodsk,N/A,N/A,0.00,0.00,1.50,0.00,2,0,2,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Elektron (Novosibirsk)
1660753800,Aug 17 2022 - 4:30pm,complete,N/A,Sakhalinets,Balashikha,N/A,N/A,0.00,0.00,1.50,0.00,1,0,1,0,0,0,"","",5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Futbol'noe pole 4 Akademiya Spartak im. F. Cherenkova (Moskva)
1660806000,Aug 18 2022 - 7:00am,complete,N/A,Okean,Dinamo Vladivostok,N/A,N/A,0.00,0.00,0.00,2.20,0,2,2,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Vodnik (Nakhodka)
1660827600,Aug 18 2022 - 1:00pm,complete,N/A,FShM Torpedo,Khimik Dzerzhinsk,N/A,N/A,0.00,0.00,0.00,1.50,2,3,5,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sportivnyj gorodok Luzhniki (Moskva)
1660834800,Aug 18 2022 - 3:00pm,complete,N/A,Peresvet Trekhgorka,Kosmos Dolgoprudny,N/A,N/A,0.00,0.00,1.00,2.00,1,1,2,0,0,0,"","",2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Avangard (Domodedovo)
1661864400,Aug 30 2022 - 1:00pm,complete,N/A,FC Tekstilshchik Ivanovo,2Drots,N/A,N/A,0.00,3.00,1.67,2.00,1,1,2,0,0,0,"","",10,3,0,0,0,0,0,0,0,0,16,8,6,5,10,3,17,9,50,50,0.00,0.00,1.88,1.04,1.50,0,50,50,0,0,0,0,0,0,0.00,-1.00,1.55,4.65,4.20,1.12,1.50,2.19,3.65,1.58,2.17,Stadion Tekstilshchik (Ivanovo)
1661868000,Aug 30 2022 - 2:00pm,complete,N/A,Spartak Nal'chik,Mashuk-KMV,N/A,N/A,0.00,0.00,2.00,0.00,1,0,1,0,0,0,"","",6,9,0,0,0,0,0,0,0,0,7,5,3,4,4,1,13,17,50,50,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.21,3.21,1.23,1.75,2.88,4.80,1.66,2.16,Stadion Spartak (Nal'chik)
1661875200,Aug 30 2022 - 4:00pm,complete,N/A,Spartak Moskva,Krylya Sovetov,Sergey Ivanov,N/A,0.00,0.00,1.82,1.64,1,0,1,0,0,0,"46","",3,4,3,0,1,0,1,2,1,0,11,11,5,2,4,5,5,8,56,44,0.00,0.00,1.34,0.84,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.74,3.77,5.26,1.19,1.62,2.59,4.50,1.75,2.03,Otkritie Bank Arena (Moskva)
1661940000,Aug 31 2022 - 10:00am,complete,N/A,Tver,Amkal,N/A,N/A,0.00,1.00,0.00,1.67,0,1,1,0,0,0,"","",4,4,0,0,0,0,0,0,0,0,12,7,10,6,2,1,13,17,50,50,0.00,0.00,1.74,1.18,1.00,50,50,0,0,0,0,0,0,0,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Zorkij (Krasnogorsk)
1661940000,Aug 31 2022 - 10:00am,complete,N/A,Strogino,Kaluga,N/A,N/A,0.00,0.00,1.50,0.00,3,2,5,0,0,0,"","",6,8,0,0,0,0,0,0,0,0,11,8,5,3,6,5,23,19,50,50,0.00,0.00,1.43,0.96,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.95,3.80,1.58,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Yantar' (Moskva)
1661940000,Aug 31 2022 - 10:00am,complete,N/A,Dinamo Vladivostok,Novosibirsk,N/A,N/A,3.00,0.00,2.20,1.00,1,1,2,0,0,0,"","",2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,1.00,0,50,0,0,0,0,0,0,0,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Dinamo (Vladivostok)
1661943600,Aug 31 2022 - 11:00am,complete,N/A,Zvezda St. Petersburg,Yadro St. Petersburg,N/A,N/A,0.00,0.00,2.17,0.00,2,1,3,0,0,0,"","",9,4,0,0,0,0,0,0,0,0,6,7,3,5,3,2,11,15,50,50,0.00,0.00,0.95,1.16,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.34,4.55,7.50,1.21,1.75,2.78,4.20,1.98,1.70,Stadion Nova Arena (Sankt-Peterburg (St. Petersburg))
1661943600,Aug 31 2022 - 11:00am,complete,N/A,Leningradets,Elektron VN,N/A,N/A,0.00,3.00,2.00,1.50,3,0,3,0,0,0,"","",7,3,0,0,0,0,0,0,0,0,11,10,6,3,5,7,9,5,50,50,0.00,0.00,1.35,0.99,1.00,0,50,0,0,0,0,0,0,0,0.00,-1.00,1.26,5.40,7.24,0.00,0.00,0.00,0.00,0.00,0.00,Roshchino Arena (Roshchino)
1661943600,Aug 31 2022 - 11:00am,complete,N/A,Zhasmin Mikhaylovsk,Chelyabinsk,N/A,N/A,0.00,0.00,0.00,1.50,0,4,4,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sport Baza Bazhoviya (Sysert)
1661947200,Aug 31 2022 - 12:00pm,complete,5122,Ural,FK Sochi,Evgeny Turbin,N/A,0.00,0.00,1.69,0.17,2,0,2,1,1,0,"7,58","",3,3,2,0,2,0,1,1,0,2,6,7,2,5,4,2,7,10,50,50,0.00,0.00,0.88,1.11,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.30,3.40,1.75,1.33,1.75,3.62,6.80,1.93,1.83,Ekaterinburg Arena (Ekaterinburg)
1661947200,Aug 31 2022 - 12:00pm,complete,N/A,Khimik Vurnary,Torpedo Miass,N/A,N/A,3.00,0.00,2.00,0.00,2,0,2,0,0,0,"","",4,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.50,0,0,0,0,0,0,0,0,0,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Khimik (Vurnary)
1661950800,Aug 31 2022 - 1:00pm,complete,N/A,Zenit Penza,Sokol Saratov,N/A,N/A,0.00,0.00,0.50,1.00,2,2,4,0,0,0,"","",2,5,0,0,0,0,0,0,0,0,9,14,3,7,6,7,16,11,50,50,0.00,0.00,1.08,1.69,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,9.00,5.60,1.16,1.10,1.38,2.03,3.18,1.81,1.85,Stadion Soyuz (Penza)
1661950800,Aug 31 2022 - 1:00pm,complete,N/A,Irtysh,Temp Barnaul,N/A,N/A,0.00,3.00,1.50,1.50,4,0,4,0,0,0,"","",6,5,0,0,0,0,0,0,0,0,16,7,7,4,9,3,10,8,50,50,0.00,0.00,0.00,0.00,1.50,50,50,50,0,0,0,0,0,0,0.00,-1.00,1.18,5.90,11.75,1.15,1.58,2.38,4.10,2.16,1.59,Krytyj futbolnyj Manesh MU SK Krasnaya zvezda (Omsk)
1661950800,Aug 31 2022 - 1:00pm,complete,N/A,Biolog,Dinamo Stavropol,N/A,N/A,0.00,3.00,0.00,2.00,2,3,5,0,0,0,"","",5,3,0,0,0,0,0,0,0,0,9,10,6,2,3,8,12,13,50,50,0.00,0.00,0.00,0.00,1.50,0,50,50,0,0,0,0,0,0,0.00,-1.00,1.66,3.82,4.25,1.19,1.68,2.60,4.70,1.64,2.07,Stadion Biolog (Progress)
1661952600,Aug 31 2022 - 1:30pm,complete,N/A,Khimki,Krasnodar,Anton Frolov,N/A,0.00,0.00,0.33,1.86,0,2,2,2,0,2,"","27,40",4,6,1,1,1,0,1,1,0,1,5,5,0,2,5,3,9,8,50,50,0.00,0.00,0.58,1.03,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.94,3.10,2.20,1.24,2.02,2.94,5.30,1.77,2.01,Arena Khimki (Khimki)
1661952600,Aug 31 2022 - 1:30pm,complete,N/A,Amkar Perm,Zenit Izhevsk,N/A,N/A,0.00,0.00,0.00,2.00,0,1,1,0,0,0,"","",7,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.68,3.98,3.96,1.14,1.44,2.18,3.48,1.47,2.42,Stadion Zvezda (Perm')
1661954400,Aug 31 2022 - 2:00pm,complete,N/A,Torpedo Moskva,CSKA Moskva,Roman Galimov,N/A,0.00,0.00,1.00,1.92,0,2,2,1,0,1,"","14,68",5,3,2,0,2,0,1,1,1,1,8,12,5,8,3,4,18,11,50,50,0.00,0.00,1.06,1.74,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.05,3.60,1.68,1.24,1.81,2.92,5.25,1.81,1.95,VTB Arena (Moskva)
1661954400,Aug 31 2022 - 2:00pm,complete,N/A,Forte Taganrog,SKA Rostov,N/A,N/A,0.00,0.00,0.00,1.50,1,2,3,0,0,0,"","",5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,3.14,2.82,1.39,2.11,3.84,8.10,1.84,1.82,Forte Arena Taganrog (Taganrog)
1661954400,Aug 31 2022 - 2:00pm,complete,N/A,Khimik Dzerzhinsk,Murom,N/A,N/A,3.00,0.00,1.50,2.00,1,2,3,0,0,0,"","",3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,2.50,50,50,50,50,50,0,0,0,0,0.00,-1.00,4.00,3.82,1.70,1.17,1.63,2.48,4.33,1.58,2.17,Stadion Khimik (Dzerzhinsk)
1661954400,Aug 31 2022 - 2:00pm,complete,N/A,Kosmos Dolgoprudny,Sakhalin,N/A,N/A,1.00,0.00,2.00,0.00,3,0,3,0,0,0,"","",8,1,0,0,0,0,0,0,0,0,17,2,6,0,11,2,9,8,50,50,0.00,0.00,1.84,0.31,1.00,50,50,0,0,0,0,0,0,0,7.00,-1.00,1.46,4.34,5.65,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Salyut (Dolgoprudnyj (Dolgoprudny))
1661954400,Aug 31 2022 - 2:00pm,complete,N/A,Kvant,Dinamo Bryansk,N/A,N/A,0.00,0.00,0.00,1.75,0,3,3,0,0,0,"","",2,10,0,0,0,0,0,0,0,0,5,12,3,4,2,8,19,14,50,50,0.00,0.00,0.84,1.50,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.60,3.95,1.47,1.16,1.55,2.37,4.10,1.70,2.10,Stadion Trud (Obninsk)
1661954400,Aug 31 2022 - 2:00pm,complete,N/A,Tyumen,FC Nosta Novotroitsk,N/A,N/A,0.00,0.00,2.00,0.00,3,1,4,0,0,0,"","",6,1,0,0,0,0,0,0,0,0,18,4,9,2,9,2,23,22,50,50,0.00,0.00,2.22,0.61,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.27,4.65,6.60,1.15,1.57,2.34,4.05,2.19,1.57,Stadion Geolog (Tyumen')
1661954400,Aug 31 2022 - 2:00pm,complete,N/A,StavAgrosoyuz,Legion Dynamo,N/A,N/A,3.00,0.00,1.75,0.00,4,3,7,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,1.50,0,50,50,0,0,0,0,0,0,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Dinamo (Stavropol')
1661956200,Aug 31 2022 - 2:30pm,complete,N/A,Luki-Energiya,Dinamo St. Petersburg,N/A,N/A,0.00,0.00,1.00,0.67,1,1,2,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.72,3.30,2.33,1.26,1.88,3.08,6.00,1.67,2.03,Stadion Ekspress (Velikiye Luki)
1661958000,Aug 31 2022 - 3:00pm,complete,N/A,Torpedo Vladimir,Znamya Truda,N/A,N/A,0.00,0.00,1.33,0.00,2,0,2,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Torpedo (Vladimir)
1661958000,Aug 31 2022 - 3:00pm,complete,N/A,Akademiya Tambov,Salyut-Belgorod,N/A,N/A,0.00,0.00,1.50,0.00,3,1,4,0,0,0,"","",4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Spartak (Tambov)
