timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1657303200,Jul 08 2022 - 6:00pm,complete,N/A,Voždovac,Novi Pazar,Novak Simović,1,0.00,0.00,1.44,1.11,1,0,1,1,1,0,"43","",2,3,1,0,0,0,0,1,0,0,9,16,4,7,5,9,13,12,52,48,0.00,0.00,1.25,1.88,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.69,3.80,4.90,1.36,2.03,3.73,7.20,2.05,1.70,Stadion Event Place (Beograd)
1657389600,Jul 09 2022 - 6:00pm,complete,N/A,Mladost Lučani,Spartak Subotica,N/A,1,0.00,0.00,1.28,0.79,1,1,2,1,0,1,"70","40",4,5,0,0,0,0,0,0,0,0,3,5,3,2,0,3,8,8,43,57,0.00,0.00,0.95,0.97,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.10,3.00,0.00,2.00,0.00,0.00,0.00,0.00,Mladost Stadium Lučani (Lučani)
1657389600,Jul 09 2022 - 6:00pm,complete,N/A,Čukarički,Bačka Topola,Aleksandar Živković,1,0.00,0.00,2.47,2.22,1,4,5,1,0,1,"53","35,56,61,90'1",5,5,2,1,5,0,0,3,2,3,13,9,6,8,7,1,8,8,57,43,0.00,0.00,1.81,1.45,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.85,3.20,3.80,1.33,2.05,3.50,6.75,1.85,1.85,Stadion na Banovom brdu (Beograd)
1657389600,Jul 09 2022 - 6:00pm,complete,N/A,Javor Ivanjica,Partizan,Miloš Milanović,1,0.00,0.00,1.05,1.94,0,4,4,1,0,1,"","21,68,77,90'3",1,3,0,0,0,0,0,0,0,0,7,17,3,10,4,7,17,10,42,58,0.00,0.00,1.00,2.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,10.00,5.00,1.25,1.21,1.60,2.61,4.62,2.10,1.65,Stadion Ivanjica (Ivanjica)
1657476000,Jul 10 2022 - 6:00pm,complete,N/A,Red Star Belgrade,Radnički Niš,Milan Mitić,1,0.00,0.00,2.68,0.89,4,0,4,3,3,0,"3,25,31,47","",5,4,2,0,1,0,2,0,1,0,17,11,9,5,8,6,12,11,58,42,0.00,0.00,2.22,1.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.16,6.20,12.00,1.16,1.40,2.35,3.85,2.38,1.53,Stadion Rajko Mitić (Beograd)
1657476000,Jul 10 2022 - 6:00pm,complete,N/A,Radnik Surdulica,Mladost Novi Sad,Marko Ivković,1,0.00,0.00,1.33,0.84,1,2,3,1,0,1,"81","16,55",5,6,1,1,1,0,1,1,0,1,9,15,2,4,7,11,14,13,50,50,0.00,0.00,0.99,1.52,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.94,3.30,3.55,1.36,2.10,3.73,7.20,1.88,1.82,Stadion Surdulica (Surdulica)
1657476000,Jul 10 2022 - 6:00pm,complete,N/A,Vojvodina,Napredak,Stanko Ostraćanin,1,0.00,0.00,2.22,0.83,1,0,1,0,0,0,"55","",7,2,1,0,1,0,1,0,1,0,16,8,9,3,7,5,10,16,60,40,0.00,0.00,2.29,1.10,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.77,3.25,4.40,1.39,2.15,3.97,7.75,2.00,1.72,Stadion Karađorđe (Novi Sad)
1657562400,Jul 11 2022 - 6:00pm,complete,N/A,Kolubara,Radnički Kragujevac,Nenad Minaković,1,0.00,0.00,1.63,1.00,1,1,2,2,1,1,"17","25",2,5,1,0,3,0,0,1,0,3,11,6,7,4,4,2,17,20,52,48,0.00,0.00,1.68,1.04,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,3.10,3.00,1.32,2.00,3.45,6.70,1.75,1.95,SRC Kolubara (Lazarevac)
1657908000,Jul 15 2022 - 6:00pm,complete,N/A,Radnički Niš,Partizan,Dejan Trifković,2,0.00,3.00,1.00,1.94,3,3,6,2,1,1,"2,50,54","13,71,90'7",6,8,5,0,6,0,1,4,1,5,10,16,6,7,4,9,19,13,50,50,0.00,2.27,1.51,1.93,2.00,0,50,50,50,0,0,50,50,50,3.00,0.00,13.00,5.20,1.22,1.17,1.67,2.75,5.50,2.40,1.52,Gradski Stadion Čair (Niš)
1657908000,Jul 15 2022 - 6:00pm,complete,N/A,Novi Pazar,Čukarički,N/A,2,0.00,0.00,1.67,1.56,1,2,3,2,1,1,"42","30,88",5,5,3,0,1,1,1,2,0,2,13,9,6,7,7,2,12,10,50,50,0.00,0.00,1.59,1.54,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.80,3.10,1.87,1.22,2.05,3.00,6.50,1.80,1.96,Gradski Stadion (Novi Pazar)
1657908000,Jul 15 2022 - 6:00pm,complete,N/A,Spartak Subotica,Radnik Surdulica,Andrija Stojanović,2,0.00,0.00,1.33,0.58,2,0,2,1,1,0,"20,49","",3,6,1,0,2,0,0,1,1,1,17,12,8,6,9,6,15,12,50,50,0.00,0.00,2.10,1.78,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.25,3.00,2.87,1.29,2.05,3.60,7.50,1.78,1.90,Gradski Stadion (Subotica)
1657994400,Jul 16 2022 - 6:00pm,complete,N/A,Bačka Topola,Javor Ivanjica,Marko Sreckovic,2,0.00,0.00,1.84,0.94,0,0,0,0,0,0,"","",5,0,0,0,0,0,0,0,0,0,15,7,4,4,11,3,10,16,69,31,0.00,0.00,1.75,0.95,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.36,4.33,6.50,1.20,1.70,2.88,5.50,1.95,1.75,TSC Arena (Bačka Topola)
1657994400,Jul 16 2022 - 6:00pm,complete,N/A,Mladost Novi Sad,Vojvodina,Lazar Lukić,2,0.00,0.00,0.78,1.21,0,4,4,1,0,1,"","42,47,59,86",1,3,0,0,0,0,0,0,0,0,5,9,0,7,5,2,20,18,50,50,0.00,0.00,0.74,1.49,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.80,3.30,1.60,1.33,1.96,3.40,7.00,1.83,1.87,Stadion Karađorđe (Novi Sad)
1657994400,Jul 16 2022 - 6:00pm,complete,N/A,Red Star Belgrade,Kolubara,Nikola Radaković,2,3.00,0.00,2.68,0.56,5,0,5,5,5,0,"9,15,21,25,45","",12,2,0,0,2,0,0,0,1,1,19,5,13,2,6,3,11,13,50,50,2.22,0.00,3.02,0.80,2.00,0,50,50,50,0,50,50,0,50,5.00,2.00,1.04,11.00,26.00,1.04,1.20,1.46,2.04,2.75,1.40,Stadion Rajko Mitić (Beograd)
1658071800,Jul 17 2022 - 3:30pm,complete,N/A,Radnički Kragujevac,Mladost Lučani,Milan Stefanović,2,0.00,0.00,1.28,0.79,1,0,1,0,0,0,"82","",6,3,2,0,1,0,0,2,0,1,15,8,5,4,10,4,11,14,65,35,0.00,0.00,1.94,1.13,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.60,3.10,2.45,0.00,1.95,0.00,0.00,0.00,0.00,Stadion Čika Dača (Kragujevac)
1658080800,Jul 17 2022 - 6:00pm,complete,N/A,Napredak,Voždovac,Nenad Minaković,2,0.00,0.00,1.26,1.05,0,0,0,0,0,0,"","",8,2,4,0,1,0,0,4,0,1,7,11,2,5,5,6,22,10,50,50,0.00,0.00,1.06,1.49,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,3.00,2.80,1.30,2.10,3.80,8.00,1.80,1.96,Stadion Mladost (Kruševac)
1658512800,Jul 22 2022 - 6:00pm,complete,N/A,Javor Ivanjica,Novi Pazar,Lazar Lukić,3,0.00,0.00,1.05,1.11,2,1,3,3,2,1,"11,15","27",2,3,5,0,3,0,1,4,1,2,6,11,3,3,3,8,15,10,42,58,1.00,1.88,0.97,1.37,2.50,0,50,50,50,0,0,100,50,50,4.00,0.00,2.13,3.00,3.15,1.33,2.18,4.00,8.00,1.85,1.91,Stadion Ivanjica (Ivanjica)
