timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1666200600,Oct 19 2022 - 5:30pm,complete,N/A,Amigó,Fuentes,N/A,N/A,0.00,0.00,0.00,1.50,0,3,3,2,0,2,"","21,33,65",3,3,3,1,2,0,1,3,0,2,8,12,4,6,4,6,-1,-1,47,53,0.00,0.00,1.13,1.61,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.10,4.10,1.65,0.00,1.40,1.95,0.00,0.00,0.00,Estadio Mutilnova (Mutilva Baja)
1666200600,Oct 19 2022 - 5:30pm,complete,N/A,Ceuta 6 de Junio,Alcora,N/A,N/A,0.00,0.00,0.00,1.50,0,3,3,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio José Martínez Pirri (Ceuta)
1666202400,Oct 19 2022 - 6:00pm,complete,N/A,Velarde,Turégano,N/A,N/A,0.00,0.00,1.50,0.00,1,0,1,0,0,0,"85","",4,3,2,0,1,0,1,1,0,1,14,10,9,4,5,6,-1,-1,48,52,0.00,0.00,1.72,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.76,3.60,4.10,0.00,1.70,0.00,0.00,0.00,0.00,Estadio Municipal de La Maruca (Muriedas)
1666202400,Oct 19 2022 - 6:00pm,complete,N/A,Autol,Dinamo San Juan,N/A,N/A,0.00,0.00,0.50,1.00,1,1,2,0,0,0,"","",3,3,-1,-1,-1,-1,-1,-1,-1,-1,4,12,2,4,2,8,-1,-1,51,49,0.00,0.00,0.81,1.75,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.04,4.10,2.80,0.00,1.45,2.15,0.00,0.00,0.00,Estadio La Manzanera (Autol)
1666202400,Oct 19 2022 - 6:00pm,complete,N/A,CD Algar,Melilla CD,N/A,N/A,0.00,0.00,1.50,0.00,4,1,5,3,2,1,"7,44,49,54","16",6,2,3,0,2,0,1,2,1,1,11,5,6,4,5,1,-1,-1,54,46,0.00,0.00,1.67,0.93,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.04,4.10,2.80,1.20,1.57,2.50,4.32,2.10,1.65,Estadio Sánchez Luengo (El Algar)
1666202400,Oct 19 2022 - 6:00pm,complete,N/A,Santa Amalia,Universitario FC,N/A,N/A,0.00,0.00,1.50,0.00,2,1,3,1,1,0,"25,9001","73",8,6,2,0,2,0,1,1,0,2,15,6,6,3,9,3,-1,-1,52,48,0.00,0.00,2.18,1.21,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.47,5.15,7.10,0.00,1.52,0.00,0.00,0.00,0.00,Estadio Municipal de Santa Amalia (Santa Amalia)
1666204200,Oct 19 2022 - 6:30pm,complete,N/A,Barbadás,Atlético Lugones,N/A,N/A,0.00,0.00,1.50,0.00,2,1,3,1,1,0,"40,67","74",10,3,2,0,3,1,0,2,1,3,16,8,8,4,8,4,-1,-1,51,49,0.00,0.00,2.00,0.97,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.80,3.35,2.29,0.00,1.85,0.00,0.00,0.00,0.00,Estadio Os Carrís (Barbadás)
1666204200,Oct 19 2022 - 6:30pm,complete,N/A,Mollerussa,Cardassar,N/A,N/A,0.00,0.00,1.50,0.00,4,2,6,3,2,1,"13,35,102,12002","25,53",11,2,4,0,3,0,0,4,1,2,22,8,9,6,13,2,-1,-1,64,36,0.00,0.00,2.64,1.20,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.47,4.70,5.20,1.20,1.57,2.55,4.52,1.95,1.81,Camp Municipal d'Esports (Mollerussa)
1666204200,Oct 19 2022 - 6:30pm,complete,N/A,Montilla,Rincón,N/A,N/A,0.00,0.00,1.00,0.50,0,0,0,0,0,0,"","",2,4,-1,-1,-1,-1,-1,-1,-1,-1,8,7,5,4,3,3,-1,-1,53,47,0.00,0.00,1.42,1.31,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.85,3.40,2.24,0.00,1.85,0.00,0.00,0.00,0.00,Estadio Municipal (Montilla)
1666204200,Oct 19 2022 - 6:30pm,complete,N/A,Cazalegas,Los Yébenes SB,N/A,N/A,0.00,0.00,1.50,0.00,2,1,3,0,0,0,"","",13,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.52,4.60,4.60,0.00,1.40,1.95,0.00,0.00,0.00,Ciudad Deportiva Ebora Formación (Cazalegas)
