timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1660928400,Aug 19 2022 - 5:00pm,complete,N/A,FC Bulle,Thun,N/A,N/A,0.00,0.00,0.00,1.75,0,4,4,1,0,1,"","36,66,79,82",4,8,-1,-1,-1,-1,-1,-1,-1,-1,8,22,4,15,4,7,-1,-1,50,50,0.00,0.00,1.02,2.88,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,6.00,4.75,1.40,1.18,1.44,2.08,3.80,1.62,2.20,N/A
1660930200,Aug 19 2022 - 5:30pm,complete,N/A,Stade Nyonnais,Servette,N/A,N/A,0.00,0.00,0.00,2.60,1,4,5,2,0,2,"87","21,25,54,74",6,10,-1,-1,-1,-1,-1,-1,-1,-1,15,19,7,11,8,8,-1,-1,41,59,0.00,0.00,1.65,2.28,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,6.50,5.00,1.33,1.17,1.50,2.33,3.97,1.80,1.91,Centre sportif de Colovray
1660932000,Aug 19 2022 - 6:00pm,complete,N/A,La Chaux-de-Fonds,Solothurn,N/A,N/A,0.00,0.00,1.50,0.00,1,0,1,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade de la Charrière
1661002200,Aug 20 2022 - 1:30pm,complete,N/A,Schötz,Luzern,N/A,N/A,0.00,0.00,0.00,2.33,0,4,4,3,0,3,"","6,27,40,85",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Fussballanlage Wissenhusen
1661004000,Aug 20 2022 - 2:00pm,complete,N/A,Bavois,Yverdon Sport,N/A,N/A,0.00,0.00,0.00,1.50,1,3,4,1,1,0,"18","49,75,77",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade des Peupliers
1661004000,Aug 20 2022 - 2:00pm,complete,N/A,Rotkreuz,Chiasso,N/A,N/A,0.00,0.00,2.25,0.00,3,0,3,2,2,0,"14,33,81","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1661004000,Aug 20 2022 - 2:00pm,complete,N/A,Wohlen,Kreuzlingen,N/A,N/A,0.00,0.00,1.33,1.00,4,4,8,2,1,1,"1,51,57,90","17,60,72,90'4",7,3,-1,-1,-1,-1,-1,-1,-1,-1,17,21,6,14,11,7,-1,-1,44,56,0.00,0.00,1.91,2.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.62,4.25,4.60,0.00,1.43,2.06,0.00,1.44,2.63,Stadion Niedermatten
1661004000,Aug 20 2022 - 2:00pm,complete,N/A,Affoltern am Albis,Sarmenstorf,N/A,N/A,0.00,0.00,0.00,1.50,1,2,3,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1661007600,Aug 20 2022 - 3:00pm,complete,N/A,Wettswil-Bonstetten,Grasshopper,N/A,N/A,0.00,0.00,0.00,2.00,0,4,4,2,0,2,"","25,45,71,87",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sportplatz Moos
1661007600,Aug 20 2022 - 3:00pm,complete,N/A,Wittenbach,Arbedo-Castione,N/A,N/A,0.00,0.00,0.00,2.00,1,2,3,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1661007600,Aug 20 2022 - 3:00pm,complete,N/A,Sternenberg,Goldstern,N/A,N/A,0.00,0.00,0.00,1.50,2,4,6,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1661008500,Aug 20 2022 - 3:15pm,complete,N/A,Bischofszell,Aarau,N/A,N/A,0.00,0.00,0.00,1.50,0,8,8,5,0,5,"","11,25,26,33,38,78,83,89",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1661009400,Aug 20 2022 - 3:30pm,complete,N/A,Portalban / Gletterens,Grand-Saconnex,N/A,N/A,0.00,0.00,1.50,0.00,1,0,1,1,1,0,"18","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1661009400,Aug 20 2022 - 3:30pm,complete,N/A,Chênois,Sion,N/A,N/A,0.00,0.00,0.00,2.25,1,3,4,1,0,1,"68","36,95,114",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade des Trois-Chênes
1661011200,Aug 20 2022 - 4:00pm,complete,N/A,Littau,Wil,N/A,N/A,0.00,0.00,0.00,2.00,0,6,6,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
