timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1661248800,Aug 23 2022 - 10:00am,complete,N/A,Shakhtar Donetsk,Metalist 1925 Kharkiv,Oleksandr Shandor,1,0.00,0.00,2.60,1.00,0,0,0,0,0,0,"","",12,4,1,0,1,0,0,1,0,1,25,10,11,5,14,5,-1,-1,50,50,0.00,0.00,3.09,1.19,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.29,5.25,8.50,1.21,1.61,2.38,4.80,1.97,1.78,NSK Olimpijs'kyj (Kyiv (Kiev))
1661256000,Aug 23 2022 - 12:00pm,complete,N/A,Chornomorets,Veres Rivne,Mykola Balakin,1,0.00,0.00,0.67,1.20,0,1,1,1,0,1,"","22",1,3,1,0,4,0,0,1,1,3,4,7,0,3,4,4,-1,-1,52,48,0.00,0.00,0.46,1.04,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.25,3.00,3.10,0.00,2.08,0.00,0.00,0.00,0.00,Stadion NTK im. B. M. Bannikova (Kyjiv (Kiev))
1661256000,Aug 23 2022 - 12:00pm,complete,N/A,Zorya,Vorskla,Kateryna Monzul,1,0.00,0.00,2.40,1.20,3,1,4,2,2,0,"7,30,53","73",3,7,0,0,2,0,0,0,1,1,14,10,9,4,5,6,-1,-1,50,50,0.00,0.00,1.99,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.20,2.70,1.29,2.00,3.24,6.10,1.73,2.03,Stadion Avanhard (Uzhhorod)
1661263200,Aug 23 2022 - 2:00pm,complete,N/A,Kolos Kovalivka,Hirnyk,Yury Ivanov,1,0.00,0.00,1.33,1.00,1,0,1,1,1,0,"36","",2,1,6,0,3,0,0,6,0,3,0,2,0,0,0,2,-1,-1,50,50,0.00,0.00,0.04,0.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.40,3.10,2.60,1.30,2.00,3.34,6.40,1.78,1.97,Stadion Kovalivka (Kovalivka)
1661342400,Aug 24 2022 - 12:00pm,complete,N/A,Rukh Vynnyky,Metal Kharkiv,Denys Shurman,1,0.00,0.00,1.27,0.73,1,2,3,2,1,1,"41","37,66",12,1,4,0,4,0,1,3,1,3,12,7,5,4,7,3,-1,-1,50,50,0.00,0.00,1.69,1.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.21,3.05,2.93,1.33,2.03,3.50,6.50,1.84,1.90,Stadion Ukrajina (L'viv)
1661421600,Aug 25 2022 - 10:00am,complete,N/A,Inhulets,Oleksandria,Dmytro Kryvushkin,7,0.00,0.00,1.13,1.33,1,2,3,1,0,1,"61","22,49",8,10,1,0,4,0,0,1,2,2,9,7,3,4,6,3,-1,-1,50,50,0.00,0.00,1.20,1.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.30,3.25,2.05,1.44,2.30,4.30,8.50,2.02,1.74,Stadion Inhulets (Petrovo (Petrove))
1661594400,Aug 27 2022 - 10:00am,complete,N/A,Vorskla,Veres Rivne,Viktor Kopievskiy,2,0.00,3.00,1.80,1.20,1,2,3,1,1,0,"21","80,90'6",9,5,5,0,1,0,1,4,1,0,10,12,3,6,7,6,-1,-1,49,51,0.00,1.04,1.28,1.52,0.50,0,0,0,0,0,0,50,0,0,3.00,4.00,1.70,3.30,4.50,0.00,1.90,0.00,0.00,0.00,0.00,Stadion Avanhard (Uzhhorod)
1661594400,Aug 27 2022 - 10:00am,complete,N/A,Lviv,Zorya,Oleksandr Solovyan,2,0.00,0.00,0.53,2.07,2,3,5,2,1,1,"12,49","8,58,90",-1,-1,3,0,3,0,0,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.30,3.90,1.65,1.26,1.88,2.98,5.40,1.80,1.90,Stadion SKIF (L'viv)
1661601600,Aug 27 2022 - 12:00pm,complete,N/A,Metalist 1925 Kharkiv,Chornomorets,Evgen Aranovskiy,2,0.00,0.00,1.13,1.67,0,0,0,0,0,0,"","",4,8,0,0,1,0,0,0,0,1,3,11,0,5,3,6,-1,-1,50,50,0.00,0.00,0.44,1.52,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,3.00,3.30,1.33,2.18,4.00,8.00,1.85,1.85,NSK Olimpijs'kyj (Kyiv (Kiev))
1661680800,Aug 28 2022 - 10:00am,complete,N/A,Kolos Kovalivka,Rukh Vynnyky,Oleksandr Omelchenko,2,3.00,0.00,1.33,0.87,2,0,2,1,1,0,"5,83","",3,7,4,0,3,0,1,3,1,2,6,5,4,2,2,3,-1,-1,50,50,0.04,0.00,1.04,1.20,0.50,0,0,0,0,0,0,50,0,0,2.00,6.00,2.15,3.35,3.05,1.29,1.89,3.20,5.80,1.77,2.00,Stadion Kovalivka (Kovalivka)
1661688000,Aug 28 2022 - 12:00pm,complete,N/A,Shakhtar Donetsk,Hirnyk,Kateryna Monzul,2,1.00,0.00,2.60,1.00,1,0,1,0,0,0,"76","",6,4,1,0,1,1,0,1,0,2,6,8,5,2,1,6,-1,-1,50,50,3.09,0.17,1.20,1.02,0.50,0,0,0,0,0,0,50,0,0,13.00,4.00,1.36,4.20,7.00,1.21,1.61,2.63,4.58,1.92,1.84,NSK Olimpijs'kyj (Kyiv (Kiev))
1661695200,Aug 28 2022 - 2:00pm,complete,N/A,Dynamo Kyiv,Dnipro-1,Andriy Kovalenko,2,0.00,0.00,1.67,2.13,0,3,3,1,0,1,"","43,55,90'1",3,3,4,0,3,0,3,1,2,1,7,10,4,8,3,2,-1,-1,50,50,0.00,0.00,1.30,1.57,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.36,4.60,6.75,1.11,1.65,1.98,3.15,1.61,2.25,Arena L'viv (L'viv)
1661767200,Aug 29 2022 - 10:00am,complete,N/A,Metal Kharkiv,Inhulets,Vitaliy Romanov,2,0.00,0.00,0.73,0.93,1,1,2,1,1,0,"7","60",9,5,2,0,4,0,1,1,3,1,8,16,3,5,5,11,-1,-1,50,50,0.00,0.00,1.29,1.87,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.25,3.10,2.95,1.33,2.00,3.60,7.00,1.98,1.78,Stadion Avanhard (Uzhhorod)
