timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1690569000,Jul 28 2023 - 6:30pm,complete,N/A,LASK Linz,Rapid Wien,Chiristian-Petru Ciochirca,1,0.00,0.00,1.94,1.63,1,1,2,1,0,1,"90'5","23",5,9,3,0,4,0,3,0,0,4,13,22,6,10,2,7,11,17,55,45,0.00,0.00,1.19,2.10,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.01,3.75,3.15,1.20,1.73,2.70,4.75,1.57,2.25,Raiffeisen Arena (Linz)
1690642800,Jul 29 2023 - 3:00pm,complete,N/A,Wolfsberger AC,Blau-Weiß Linz,Markus Hameter,1,0.00,0.00,1.29,0.75,2,1,3,1,1,0,"3,50","90",9,5,2,0,4,0,0,2,4,0,12,13,6,3,4,5,11,11,49,51,0.00,0.00,1.31,1.05,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.81,3.55,3.75,1.23,1.68,3.05,6.00,1.62,2.20,Lavanttal Arena (Wolfsberg)
1690642800,Jul 29 2023 - 3:00pm,complete,N/A,Hartberg,Austria Lustenau,Daniel Pfister,1,0.00,0.00,1.29,0.75,2,2,4,1,1,0,"21,48","54,70",5,2,4,1,3,0,0,5,1,2,19,6,7,5,6,0,7,13,58,42,0.00,0.00,1.57,0.88,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.90,3.70,3.50,1.21,1.79,2.95,5.60,1.67,2.10,PROfertil ARENA (Hartberg)
1690642800,Jul 29 2023 - 3:00pm,complete,N/A,Wattens,Austria Klagenfurt,Harald Lechner,1,0.00,0.00,0.94,1.25,1,3,4,1,0,1,"77","10,53,90'7",6,4,1,0,1,0,0,1,0,1,12,15,4,10,6,5,14,13,47,53,0.00,0.00,1.19,2.04,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.75,3.20,1.22,1.68,2.95,5.60,1.57,2.25,Tivoli Stadion Tirol (Innsbruck)
1690651800,Jul 29 2023 - 5:30pm,complete,N/A,Rheindorf Altach,Salzburg,Walter Altmann,1,0.00,0.00,1.00,1.94,0,2,2,1,0,1,"","34,48",2,8,1,0,1,0,0,1,0,1,10,23,4,8,5,7,10,13,33,67,0.00,0.00,1.02,1.90,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,8.25,5.50,1.25,1.16,1.50,2.30,4.00,1.95,1.80,CASHPOINT Arena (Altach)
1690729200,Jul 30 2023 - 3:00pm,complete,N/A,Austria Wien,Sturm Graz,Stefan Ebner,1,0.00,0.00,1.71,2.06,0,3,3,2,0,2,"","9,38,60",4,8,1,1,4,0,1,1,1,3,7,21,4,4,0,14,18,11,47,53,0.00,0.00,0.86,1.85,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.34,3.43,1.86,1.22,1.70,2.75,5.00,1.57,2.25,Generali Arena (Wien)
1691247600,Aug 05 2023 - 3:00pm,complete,N/A,Rapid Wien,Rheindorf Altach,Alexander Harkam,2,0.00,0.00,1.19,0.94,4,0,4,2,2,0,"29,34,59,69","",12,1,0,0,3,0,0,0,1,2,30,10,15,0,8,5,16,13,64,36,0.00,0.00,2.76,0.58,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.50,4.30,5.75,1.20,1.58,2.60,4.50,1.72,2.10,Allianz Stadion (Wien)
1691256600,Aug 05 2023 - 5:30pm,complete,N/A,Sturm Graz,LASK Linz,Sebastian Gishamer,2,0.00,0.00,2.13,1.31,2,0,2,1,1,0,"27,77","",9,1,1,0,3,0,1,0,1,2,17,7,7,2,6,3,10,14,49,51,0.00,0.00,1.73,0.71,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.70,4.00,4.60,1.20,1.56,2.60,4.50,1.63,2.25,Merkur Arena (Graz)
1691334000,Aug 06 2023 - 3:00pm,complete,N/A,Austria Lustenau,Austria Wien,Alan Kijas,2,0.00,0.00,0.56,1.44,0,2,2,1,0,1,"","28,72",0,12,0,0,4,0,0,0,2,2,12,26,7,9,1,9,9,11,44,56,0.00,0.00,1.23,2.23,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.05,3.90,1.75,1.18,1.55,2.45,4.33,1.57,2.35,Planet Pure Stadion (Lustenau)
1691334000,Aug 06 2023 - 3:00pm,complete,N/A,Salzburg,Wattens,Josef Spurny,2,0.00,0.00,2.25,0.69,3,0,3,0,0,0,"57,87,90'3","",7,1,0,0,4,0,0,0,3,1,23,5,9,2,9,3,7,15,72,28,0.00,0.00,2.14,0.61,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.15,7.50,14.00,1.05,1.20,1.58,2.35,1.75,2.00,Red Bull Arena (Wals-Siezenheim)
1691334000,Aug 06 2023 - 3:00pm,complete,N/A,Blau-Weiß Linz,Hartberg,Julian Weinberger,2,0.00,0.00,1.25,1.35,3,3,6,3,1,2,"4,84,86","30,35,75",2,8,4,0,2,0,1,3,1,1,7,16,5,9,1,3,14,7,41,59,0.00,0.00,0.98,1.65,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.45,3.40,2.70,1.22,1.68,2.85,5.00,1.57,2.25,Hofmann Personal Stadion (Linz)
1691605800,Aug 09 2023 - 6:30pm,complete,N/A,Austria Klagenfurt,Wolfsberger AC,Gerhard Grobelnik,2,0.00,0.00,1.19,1.50,2,2,4,1,1,0,"37,81","66,75",4,0,4,0,0,0,3,1,0,0,15,7,4,3,11,3,14,16,54,46,0.00,0.00,1.78,0.92,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.53,3.20,2.53,1.18,1.77,2.29,4.50,1.53,2.40,28 Black Arena (Klagenfurt am Wörthersee)
1691852400,Aug 12 2023 - 3:00pm,complete,N/A,Sturm Graz,Austria Klagenfurt,Markus Hameter,3,3.00,3.00,2.13,1.25,0,0,0,0,0,0,"","",5,8,1,1,2,0,1,1,1,1,12,11,2,4,6,6,9,12,41,59,1.73,2.04,0.96,1.29,3.00,50,100,50,50,0,0,100,50,100,13.00,2.00,1.36,4.40,8.25,1.16,1.50,2.20,4.00,1.78,2.00,Merkur Arena (Graz)
1691852400,Aug 12 2023 - 3:00pm,complete,N/A,Wolfsberger AC,Austria Lustenau,Sebastian Gishamer,3,3.00,1.00,1.29,0.75,1,1,2,0,0,0,"90'5","46",9,2,1,0,3,0,1,0,2,1,18,7,6,3,7,1,9,8,65,35,1.31,0.88,1.66,0.59,3.50,100,100,100,50,0,0,100,100,100,11.00,5.00,1.99,3.45,3.50,1.22,1.70,2.95,5.50,1.66,2.20,Lavanttal Arena (Wolfsberg)
1691861400,Aug 12 2023 - 5:30pm,complete,N/A,LASK Linz,Blau-Weiß Linz,Alexander Harkam,3,1.00,0.00,1.94,0.75,2,0,2,1,1,0,"12,49","",2,1,2,0,1,0,1,1,1,0,17,8,6,4,6,3,12,7,61,39,1.19,1.05,1.52,1.01,2.50,100,100,50,0,0,0,100,50,100,10.00,7.00,1.50,4.50,6.00,1.20,1.65,2.60,4.75,1.75,2.05,Raiffeisen Arena (Linz)
1691938800,Aug 13 2023 - 3:00pm,complete,N/A,Salzburg,Austria Wien,Chiristian-Petru Ciochirca,3,3.00,3.00,2.25,1.44,2,0,2,0,0,0,"55,90'8","",8,2,2,0,3,0,0,2,1,2,18,3,7,0,9,0,7,13,57,43,2.14,2.23,1.82,0.19,2.50,0,100,50,0,0,0,50,50,100,19.00,4.00,1.40,5.00,6.00,1.11,1.47,2.20,3.48,1.67,2.17,Red Bull Arena (Wals-Siezenheim)
1691938800,Aug 13 2023 - 3:00pm,complete,N/A,Rapid Wien,Hartberg,Christopher Jäger,3,3.00,1.00,1.19,1.35,0,1,1,0,0,0,"","68",6,6,3,0,3,0,0,3,1,2,14,11,5,4,3,3,11,13,58,42,2.76,1.65,1.30,1.02,5.00,50,100,100,100,50,100,100,100,100,20.00,2.00,1.59,4.10,4.85,1.20,1.57,2.56,4.55,1.67,2.10,Allianz Stadion (Wien)
1691938800,Aug 13 2023 - 3:00pm,complete,N/A,Rheindorf Altach,Wattens,Julian Weinberger,3,0.00,0.00,1.00,0.69,1,0,1,0,0,0,"90'8","",6,1,2,0,1,0,1,1,0,1,22,7,9,0,7,4,13,11,47,53,1.02,0.61,2.04,0.51,2.50,0,100,50,0,0,0,50,50,100,3.00,5.00,2.70,3.40,2.40,1.22,1.81,2.70,4.75,1.57,2.25,CASHPOINT Arena (Altach)
1692457200,Aug 19 2023 - 3:00pm,complete,N/A,Wattens,LASK Linz,Gerhard Grobelnik,4,0.00,0.00,0.94,1.31,1,1,2,1,1,0,"16","70",3,9,1,0,1,0,0,1,1,0,13,17,6,6,4,6,15,13,36,64,1.19,0.71,1.27,1.69,3.00,50,100,50,50,0,0,100,50,100,7.00,4.00,4.41,4.00,1.73,1.17,1.50,2.23,4.00,1.53,2.38,Tivoli Stadion Tirol (Innsbruck)
1692457200,Aug 19 2023 - 3:00pm,complete,N/A,Austria Lustenau,Sturm Graz,Josef Spurny,4,0.00,3.00,0.56,2.06,0,1,1,1,0,1,"","33",5,6,1,0,3,0,0,1,3,0,7,16,2,6,4,9,7,8,47,53,1.23,1.85,0.75,1.66,2.50,0,100,50,0,0,50,100,0,100,8.00,4.00,6.02,4.50,1.50,1.13,1.51,2.30,4.00,1.60,2.25,Planet Pure Stadion (Lustenau)
1692466200,Aug 19 2023 - 5:30pm,complete,N/A,Austria Klagenfurt,Rheindorf Altach,Daniel Pfister,4,1.00,0.00,1.19,0.94,1,1,2,0,0,0,"52","84",5,5,1,0,3,0,0,1,0,3,11,10,6,3,3,2,9,15,59,41,1.78,0.58,1.39,0.76,4.00,50,100,100,100,0,50,100,100,100,5.00,7.00,1.78,3.80,4.35,1.22,1.66,2.62,4.50,1.67,2.10,28 Black Arena (Klagenfurt am Wörthersee)
1692543600,Aug 20 2023 - 3:00pm,complete,N/A,Austria Wien,Wolfsberger AC,Christopher Jäger,4,0.00,1.00,1.71,1.50,0,0,0,0,0,0,"","",8,3,1,0,2,0,0,1,0,2,19,10,6,2,10,5,10,11,62,38,0.86,0.92,1.83,0.80,3.50,50,100,100,50,0,50,100,50,100,4.00,3.00,1.79,3.41,3.59,1.22,1.67,2.62,4.50,1.62,2.20,Generali Arena (Wien)
1692543600,Aug 20 2023 - 3:00pm,complete,N/A,Blau-Weiß Linz,Rapid Wien,Walter Altmann,4,1.00,1.00,1.25,1.63,0,5,5,2,0,2,"","12,22,64,79,90'2",3,3,2,0,0,0,0,2,0,0,10,16,6,9,2,4,15,13,38,62,0.98,2.10,1.15,1.73,4.00,100,100,50,50,50,50,100,50,100,11.00,8.00,4.08,3.59,1.65,1.18,1.67,2.57,4.45,1.62,2.20,Hofmann Personal Stadion (Linz)
1692543600,Aug 20 2023 - 3:00pm,complete,N/A,Hartberg,Salzburg,Harald Lechner,4,1.00,3.00,1.29,1.94,1,5,6,2,1,1,"45'1","16,47,50,64,76",4,5,4,0,0,0,1,3,0,0,9,17,4,6,3,4,7,14,49,51,1.57,1.90,0.87,1.37,3.00,50,100,50,50,0,0,100,50,100,13.00,7.00,8.64,4.42,1.27,1.14,1.35,1.86,3.50,1.53,2.38,PROfertil ARENA (Hartberg)
1693062000,Aug 26 2023 - 3:00pm,complete,N/A,Sturm Graz,Blau-Weiß Linz,Harald Lechner,5,2.00,0.00,2.13,0.75,4,1,5,2,2,0,"1,7,61,76","54",5,7,1,0,0,0,1,0,0,0,13,12,6,3,5,5,7,16,63,37,1.34,1.03,1.39,0.87,1.75,25,75,25,0,0,0,75,25,75,10.00,4.50,1.27,6.25,9.50,1.14,1.45,2.20,3.60,1.87,1.90,Merkur Arena (Graz)
1693062000,Aug 26 2023 - 3:00pm,complete,N/A,Wolfsberger AC,Salzburg,Stefan Ebner,5,2.00,3.00,1.29,1.94,1,2,3,1,1,0,"41","60,73",4,9,6,1,3,0,1,6,2,1,9,13,4,6,1,3,26,15,36,64,1.48,1.64,0.83,1.40,3.25,75,100,50,25,25,25,75,75,100,15.50,2.00,6.00,4.50,1.50,1.16,1.60,1.88,4.00,1.65,2.20,Lavanttal Arena (Wolfsberg)
1693071000,Aug 26 2023 - 5:30pm,complete,N/A,Austria Lustenau,Rheindorf Altach,Chiristian-Petru Ciochirca,5,0.00,0.50,0.56,0.94,0,3,3,2,0,2,"","2,25,56",6,9,4,0,2,0,2,2,2,0,11,24,3,12,6,9,10,14,57,43,0.99,0.67,1.03,2.48,2.25,25,75,25,25,0,25,75,50,75,5.50,3.50,2.35,3.55,2.90,1.22,1.67,2.95,5.50,1.62,2.25,Planet Pure Stadion (Lustenau)
1693148400,Aug 27 2023 - 3:00pm,complete,N/A,LASK Linz,Austria Wien,Walter Altmann,5,2.00,1.50,1.94,1.44,2,0,2,1,1,0,"32,58","",6,7,2,0,2,0,1,1,1,1,10,11,6,3,2,3,15,9,46,54,1.36,1.21,1.32,0.87,2.00,25,100,0,0,0,0,75,25,100,10.50,6.00,2.04,3.70,3.40,1.18,1.65,2.38,4.33,1.53,2.38,Raiffeisen Arena (Linz)
1693148400,Aug 27 2023 - 3:00pm,complete,N/A,Rapid Wien,Wattens,Sebastian Gishamer,5,1.50,0.00,1.19,0.69,1,1,2,1,0,1,"60","8",8,1,2,0,4,0,0,2,1,3,29,7,10,4,12,2,21,14,57,43,2.03,0.56,2.57,0.93,2.25,0,50,50,25,0,25,25,50,100,10.00,4.00,1.73,4.10,4.33,1.20,1.57,2.25,4.49,1.67,2.10,Allianz Stadion (Wien)
1693148400,Aug 27 2023 - 3:00pm,complete,N/A,Hartberg,Austria Klagenfurt,Alan Kijas,5,0.50,2.00,1.29,1.25,0,3,3,1,0,1,"","44,62,90'4",5,5,2,0,2,0,1,1,1,1,10,14,2,7,4,5,6,12,68,32,1.22,1.66,0.93,1.40,3.50,75,75,75,75,25,25,75,75,75,10.50,6.50,2.43,3.64,2.69,1.20,1.49,2.29,4.75,1.53,2.38,PROfertil ARENA (Hartberg)
1693666800,Sep 02 2023 - 3:00pm,complete,N/A,Wolfsberger AC,Hartberg,Daniel Pfister,6,1.33,2.00,1.29,1.35,0,3,3,1,0,1,"","7,62,66",9,7,1,0,1,0,0,1,0,1,13,19,4,8,5,6,12,12,56,44,1.27,1.34,1.36,1.66,3.09,75,75,59,25,25,25,59,75,100,14.33,5.83,2.10,3.50,3.30,1.20,1.75,2.80,5.30,1.62,2.20,Lavanttal Arena (Wolfsberg)
