timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1689962400,Jul 21 2023 - 6:00pm,complete,N/A,Dinamo Zagreb,Hajduk Split,Igor Pajač,1,0.00,0.00,2.33,1.94,1,2,3,1,1,0,"35","74,90'3",4,4,1,0,4,0,0,1,1,3,12,12,4,6,5,3,7,12,67,33,0.00,0.00,1.29,1.36,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.66,3.74,4.75,1.30,1.84,3.25,5.50,1.85,1.85,Stadion Maksimir (Zagreb)
1690044300,Jul 22 2023 - 4:45pm,complete,N/A,Rijeka,Rudeš,N/A,1,0.00,0.00,2.44,0.11,4,0,4,1,1,0,"40,68,80,89","",10,3,1,0,1,0,1,0,1,0,18,9,8,2,6,5,13,14,50,50,0.00,0.00,2.17,0.82,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.44,4.20,6.00,1.25,1.75,2.90,5.25,1.95,1.75,Stadion HNK Rijeka (Rijeka)
1690052400,Jul 22 2023 - 7:00pm,complete,N/A,Osijek,Slaven Koprivnica,Jakov  Titlić ,1,0.00,0.00,1.78,0.83,6,1,7,4,3,1,"4,18,35,63,71,83","29",6,2,0,0,4,0,0,0,3,1,21,10,11,2,8,6,7,10,50,50,0.00,0.00,2.38,1.05,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.55,3.65,5.25,1.30,2.00,3.70,5.70,2.10,1.65,Opus Arena (Osijek)
1690130700,Jul 23 2023 - 4:45pm,complete,N/A,Gorica,Varaždin,Duje Strukan,1,0.00,0.00,1.50,1.17,1,1,2,1,1,0,"28","80",5,5,2,0,2,0,0,2,1,1,24,16,8,5,9,7,14,10,42,58,0.00,0.00,2.02,1.56,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,3.40,3.10,1.29,1.85,3.00,5.50,1.70,2.05,ŠRC Velika Gorica (Velika Gorica)
1690138800,Jul 23 2023 - 7:00pm,complete,N/A,Lokomotiva Zagreb,Istra 1961,N/A,1,0.00,0.00,1.39,0.94,1,1,2,1,0,1,"69","12",9,3,2,0,0,0,0,2,0,0,18,8,7,4,8,4,11,13,60,40,0.00,0.00,1.99,1.04,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.01,3.55,3.70,1.35,2.07,3.63,6.70,1.90,1.80,Stadion Kranjčevićeva (Zagreb)
1690567200,Jul 28 2023 - 6:00pm,complete,N/A,Varaždin,Slaven Koprivnica,N/A,2,0.00,0.00,1.17,0.83,2,2,4,2,2,0,"5,28","81,86",5,5,2,0,1,0,1,1,0,1,14,15,7,6,5,6,10,12,59,41,0.00,1.05,1.69,1.62,3.50,50,50,50,50,50,50,50,50,50,2.00,4.00,2.03,3.42,3.68,1.34,2.14,3.70,7.20,1.90,1.84,Stadion Anđelko Herjavec (Varaždin)
1690649100,Jul 29 2023 - 4:45pm,complete,N/A,Gorica,Lokomotiva Zagreb,Dario Bel,2,1.00,0.00,1.50,1.44,1,0,1,0,0,0,"90'1","",5,1,1,0,1,0,0,1,0,1,13,11,6,2,4,6,11,12,52,48,2.02,0.00,1.45,1.12,1.00,50,50,0,0,0,0,50,0,50,5.00,2.00,2.17,3.54,3.18,1.25,1.87,2.97,5.55,1.69,2.09,ŠRC Velika Gorica (Velika Gorica)
1690657200,Jul 29 2023 - 7:00pm,complete,N/A,Istra 1961,Dinamo Zagreb,Duje Strukan,2,0.00,0.00,1.33,2.22,0,3,3,1,0,1,"","6,57,69",2,4,1,0,0,0,0,1,0,0,7,10,4,5,1,3,11,11,42,58,0.00,0.00,0.82,1.42,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.75,3.92,1.59,1.31,2.03,3.40,6.50,2.02,1.74,Stadion Aldo Drosina (Pula)
1690735500,Jul 30 2023 - 4:45pm,complete,N/A,Rudeš,Osijek,Mario Zebec,2,0.00,0.00,0.39,1.39,3,4,7,4,3,1,"23,34,39","43,76,83,88",2,8,2,0,3,0,0,2,2,1,13,13,7,7,4,5,11,12,42,58,0.00,0.00,1.48,1.76,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.30,3.25,2.05,1.36,2.01,3.75,6.50,1.83,1.83,Stadion Kranjčevićeva (Zagreb)
1690743900,Jul 30 2023 - 7:05pm,complete,N/A,Hajduk Split,Rijeka,N/A,2,0.00,0.00,1.83,1.67,1,0,1,0,0,0,"50","",2,1,1,0,4,0,0,1,1,3,16,9,7,0,7,6,11,13,62,38,0.00,0.00,1.98,0.62,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.90,3.60,3.75,1.25,1.83,3.10,5.50,1.74,2.02,Stadion Poljud (Split)
