timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1698249600,Oct 25 2023 - 4:00pm,complete,N/A,APOEL,Peyia,N/A,N/A,0.00,0.00,3.00,0.00,2,0,2,2,2,0,"28,35","",10,1,-1,-1,-1,-1,-1,-1,-1,-1,31,5,14,3,17,2,-1,-1,68,32,0.00,0.00,3.91,0.71,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.04,13.00,41.00,1.13,1.30,1.57,3.50,4.33,1.20,Neo GSP
1698249600,Oct 25 2023 - 4:00pm,complete,N/A,Olympiakos,Karmiotissa,N/A,N/A,0.00,0.00,1.50,0.00,4,1,5,3,2,1,"18,39,78,88","37",5,5,-1,-1,-1,-1,-1,-1,-1,-1,11,12,7,3,4,9,-1,-1,48,52,0.00,0.00,1.56,1.45,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.75,3.25,1.83,1.26,1.80,3.08,6.50,1.73,2.00,Neo GSP
1698850800,Nov 01 2023 - 3:00pm,complete,N/A,AEK Larnaca,Ahironas / Onisilos,N/A,N/A,0.00,0.00,2.00,0.00,3,2,5,2,2,0,"7,44,57","53,90'2",8,4,-1,-1,-1,-1,-1,-1,-1,-1,14,9,5,6,9,3,-1,-1,59,41,0.00,0.00,1.76,1.25,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.05,13.00,34.00,1.02,1.20,1.62,2.01,2.50,1.50,AEK Arena - George Karapatakis
1699462800,Nov 08 2023 - 5:00pm,complete,N/A,Nea Salamis,Enosis,N/A,N/A,0.00,0.00,1.50,0.00,6,0,6,2,2,0,"11,36,60,70,75,88","",5,1,-1,-1,-1,-1,-1,-1,-1,-1,13,5,10,0,3,5,-1,-1,55,45,0.00,0.00,1.90,0.53,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.45,4.33,4.97,1.13,1.42,2.13,3.50,1.83,1.83,N/A
1699462800,Nov 08 2023 - 5:00pm,complete,N/A,Akritas,AE Zakakiou,N/A,N/A,0.00,0.00,0.00,2.00,3,4,7,1,1,0,"44,50,66","73,80,90'1,120",2,13,-1,-1,-1,-1,-1,-1,-1,-1,18,26,13,12,5,14,-1,-1,45,55,0.00,0.00,2.54,3.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.00,3.78,1.65,1.22,1.30,2.15,3.75,1.44,2.63,Koinotiko Stadio Chlorakas
1699462800,Nov 08 2023 - 5:00pm,complete,N/A,Doxa,Omonia 29is Maiou,N/A,N/A,0.00,0.00,0.00,1.50,0,1,1,0,0,0,"","77",5,4,-1,-1,-1,-1,-1,-1,-1,-1,6,9,2,5,4,4,-1,-1,56,44,0.00,0.00,0.99,1.48,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.70,3.55,4.20,1.12,1.47,2.15,3.42,1.50,2.50,Makareio Stadio
1701882000,Dec 06 2023 - 5:00pm,complete,N/A,Omonia Aradippou,Ethnikos Achna,N/A,N/A,0.00,0.00,0.00,1.50,0,2,2,0,0,0,"","79,90'1",0,7,-1,-1,-1,-1,-1,-1,-1,-1,5,24,2,10,3,14,-1,-1,36,64,0.00,0.00,0.73,2.89,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.75,4.00,1.46,1.27,1.80,3.00,5.70,1.98,1.73,N/A
1702479600,Dec 13 2023 - 3:00pm,complete,N/A,Ayia Napa,Apollon,N/A,N/A,0.00,0.00,0.00,2.00,0,6,6,2,0,2,"","2,30,52,67,77,86",2,11,-1,-1,-1,-1,-1,-1,-1,-1,10,24,3,14,7,10,-1,-1,31,69,0.00,0.00,1.03,3.09,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,41.00,13.00,1.04,1.08,1.25,1.87,3.50,3.25,1.33,Dimotiko Stadio Ayia Napa
1702486800,Dec 13 2023 - 5:00pm,complete,N/A,Othellos,Digenis Morphou,N/A,N/A,0.00,0.00,1.50,0.00,4,1,5,3,2,1,"4,41,52,63","22",5,8,-1,-1,-1,-1,-1,-1,-1,-1,13,14,10,5,3,9,-1,-1,48,52,0.00,0.00,1.88,1.54,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.30,4.80,9.00,1.17,1.53,2.20,3.20,2.20,1.62,Stadio Antonis Papadopoulos
1702486800,Dec 13 2023 - 5:00pm,complete,N/A,Anorthosis,ENAD,N/A,N/A,0.00,0.00,2.00,0.00,3,1,4,2,2,0,"6,36,59","81",8,2,-1,-1,-1,-1,-1,-1,-1,-1,19,6,11,5,8,1,-1,-1,62,38,0.00,0.00,2.58,0.96,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.02,17.38,23.15,1.03,1.18,1.63,1.91,2.75,1.40,Stadio Antonis Papadopoulos
1705424400,Jan 16 2024 - 5:00pm,suspended,N/A,Nea Salamis,APOEL,N/A,N/A,3.00,3.00,1.50,3.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.90,3.91,0.00,0.00,4.00,0,100,50,50,50,100,100,50,50,15.00,-2.00,4.00,3.60,1.67,1.26,1.95,3.08,5.80,1.91,1.80,Stadyen Belita-Vitex
1705424400,Jan 16 2024 - 5:00pm,complete,N/A,Omonia 29is Maiou,Anorthosis,N/A,N/A,3.00,3.00,1.50,2.00,0,2,2,2,0,2,"","17,21",3,6,7,0,2,1,3,4,1,2,7,6,2,4,5,2,-1,-1,44,56,1.48,2.58,0.99,1.07,2.50,50,50,50,50,0,50,50,50,100,12.00,-2.00,9.00,4.75,1.25,1.24,1.70,2.98,5.50,2.25,1.57,N/A
1705510800,Jan 17 2024 - 5:00pm,complete,N/A,AEK Larnaca,Othellos,N/A,N/A,3.00,3.00,2.00,1.50,4,2,6,2,2,0,"10,16,48,57","52,71",6,4,1,0,2,0,1,0,1,1,15,9,9,6,6,3,-1,-1,55,45,1.76,1.88,1.97,1.31,5.00,100,100,100,100,100,100,100,100,100,13.00,-2.00,1.22,5.50,11.00,1.14,1.50,2.23,3.88,2.00,1.73,AEK Arena - George Karapatakis
1705597200,Jan 18 2024 - 5:00pm,complete,N/A,Olympiakos,Paphos,N/A,N/A,3.00,0.00,1.50,2.60,0,1,1,1,0,1,"","43",5,6,1,0,1,0,0,1,1,0,5,19,2,10,3,9,-1,-1,37,63,1.56,0.00,0.79,2.54,2.50,50,50,50,50,50,50,50,50,50,5.00,-1.00,5.75,4.75,1.36,1.12,1.50,2.27,3.65,1.80,1.91,Makareio Stadio
1705597200,Jan 18 2024 - 5:00pm,complete,N/A,Omonia Nicosia,Digenis Ypsonas,N/A,N/A,0.00,0.00,2.00,0.00,3,0,3,2,2,0,"23,26,48","",14,0,0,0,2,0,0,0,1,1,22,4,12,0,10,4,-1,-1,63,37,0.00,0.00,2.97,0.41,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.14,7.00,17.00,1.08,1.33,1.85,3.04,1.91,1.85,Neo GSP
