timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1692378000,Aug 18 2023 - 5:00pm,complete,N/A,Paphos,Karmiotissa,N/A,1,0.00,0.00,1.89,1.00,3,0,3,1,1,0,"36,60,87","",9,2,2,0,2,0,1,1,1,1,20,8,7,3,9,4,24,6,53,47,0.00,0.00,2.05,0.95,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.36,4.75,9.50,1.22,1.73,2.85,4.75,2.10,1.67,Stadio Stelios Kyriakides
1692464400,Aug 19 2023 - 5:00pm,complete,N/A,Apollon,Othellos,N/A,1,0.00,0.00,1.35,0.75,1,1,2,2,1,1,"18","35",12,5,2,0,4,0,0,2,1,3,22,12,7,5,11,4,8,15,68,32,0.00,0.00,2.33,1.19,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.40,4.75,8.00,1.22,1.67,2.90,4.50,2.00,1.73,Tsirion Athlítiko Kentro
1692464400,Aug 19 2023 - 5:00pm,complete,N/A,Anorthosis,Ethnikos Achna,N/A,1,0.00,0.00,1.33,0.80,3,1,4,0,0,0,"62,65,85","89",6,3,0,0,0,0,0,0,0,0,14,9,8,6,5,1,9,16,64,36,0.00,0.00,1.89,1.34,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.57,3.60,5.00,1.26,1.89,3.08,5.80,1.80,1.95,Stadio Antonis Papadopoulos
1692550800,Aug 20 2023 - 5:00pm,complete,N/A,AE Zakakiou,APOEL,N/A,1,0.00,0.00,0.40,1.72,0,2,2,0,0,0,"","50,90'8",4,2,3,0,2,0,1,2,1,1,11,13,4,7,6,5,25,14,42,58,0.00,0.00,1.39,1.78,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,11.00,5.00,1.33,1.22,1.73,2.95,4.75,2.10,1.67,Stadyen Belita-Vitex
1692637200,Aug 21 2023 - 5:00pm,complete,N/A,Aris,AEK Larnaca,N/A,1,0.00,0.00,2.17,2.00,2,0,2,1,1,0,"30,88","",4,7,2,0,1,0,1,1,1,0,11,14,5,5,4,5,16,15,50,50,0.00,0.00,1.39,1.36,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,3.30,3.50,1.36,2.00,3.74,7.40,1.80,1.91,Tsirion Athlítiko Kentro
1692637200,Aug 21 2023 - 5:00pm,complete,N/A,Doxa,AEL,N/A,1,0.00,0.00,0.85,0.84,0,1,1,1,0,1,"","8",5,7,4,0,4,1,2,2,2,3,6,12,2,8,3,3,11,19,53,47,0.00,0.00,0.98,1.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.25,3.10,3.40,1.33,2.15,3.75,6.50,1.83,1.83,Makareio Stadio
1692637200,Aug 21 2023 - 5:00pm,complete,N/A,Omonia Nicosia,Nea Salamis,N/A,1,0.00,0.00,2.22,1.40,4,0,4,1,1,0,"19,73,78,80","",9,2,1,0,3,1,0,1,2,2,18,5,10,0,8,5,10,15,68,32,0.00,0.00,2.30,0.55,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.67,3.75,5.25,1.30,1.95,3.40,6.50,1.91,1.80,Neo GSP
1693069200,Aug 26 2023 - 5:00pm,complete,N/A,Othellos,Anorthosis,N/A,2,0.00,0.00,0.95,1.61,0,2,2,1,0,1,"","19,89",5,12,1,0,2,0,0,1,0,2,19,20,9,10,6,4,10,17,46,54,0.00,0.00,2.11,2.09,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.20,3.60,1.85,1.30,1.85,3.25,5.50,1.80,1.91,Stadyen Belita-Vitex
1693069200,Aug 26 2023 - 5:00pm,complete,N/A,Karmiotissa,Omonia Nicosia,N/A,2,0.00,0.00,1.00,1.61,3,3,6,2,1,1,"45'2,75,90'3","2,58,69",8,4,5,0,1,0,2,3,0,1,19,16,10,7,4,7,10,12,46,54,0.00,0.00,1.99,1.83,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.75,4.00,1.57,1.31,1.95,3.41,6.77,2.00,1.73,Dimotiko Stadio Pano Polemidias
1693155600,Aug 27 2023 - 5:00pm,complete,N/A,Nea Salamis,Apollon,N/A,2,0.00,0.00,1.15,1.95,1,1,2,1,0,1,"68","45'4",6,8,2,0,4,0,0,2,2,2,9,10,6,5,3,5,6,19,45,55,0.00,0.00,1.30,1.38,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.75,4.00,1.70,1.27,1.80,3.10,5.60,1.80,1.91,Stadyen Belita-Vitex
