timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1690030800,Jul 22 2023 - 1:00pm,complete,N/A,Pardubice,Bohemians 1905,Tomáš Batík,1,0.00,0.00,1.11,1.06,0,1,1,1,0,1,"","5",9,4,1,1,2,0,0,2,1,1,13,11,7,6,6,5,13,15,55,45,0.00,0.00,1.83,1.62,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.19,3.57,3.08,1.22,1.62,2.80,5.40,1.53,2.38,CFIG Arena (Pardubice)
1690030800,Jul 22 2023 - 1:00pm,complete,N/A,Karviná,Zlín,N/A,1,0.00,0.00,1.12,0.44,4,1,5,3,3,0,"6,27,34,53","48",3,5,0,0,3,0,0,0,0,3,15,9,9,4,5,2,6,16,46,54,0.00,0.00,2.09,1.37,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.81,3.34,2.47,1.28,1.88,3.20,6.00,1.75,2.00,Městský Stadión (Karviná)
1690030800,Jul 22 2023 - 1:00pm,complete,N/A,Teplice,Viktoria Plzeň,N/A,1,0.00,0.00,1.47,1.82,1,0,1,1,1,0,"28","",2,14,2,0,4,0,1,1,3,1,8,9,3,3,3,5,21,16,39,61,0.00,0.00,0.80,1.21,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.05,3.82,1.80,1.20,1.65,2.70,4.85,1.75,2.00,AGC Aréna Na Stínadlech (Teplice)
1690041600,Jul 22 2023 - 4:00pm,complete,N/A,Slavia Praha,Hradec Králové,N/A,1,0.00,0.00,2.61,1.00,2,0,2,1,1,0,"4,70","",8,2,0,0,3,0,0,0,1,2,13,6,6,3,6,2,8,14,61,39,0.00,0.00,1.72,0.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.15,7.60,14.00,1.11,1.33,1.94,2.90,2.05,1.70,Fortuna Arena (Praha)
1690117200,Jul 23 2023 - 1:00pm,complete,N/A,Mladá Boleslav,Jablonec,Pavel Orel,1,0.00,0.00,1.61,0.76,3,1,4,1,1,0,"8,47,57","75",6,7,1,0,1,0,0,1,0,1,12,11,6,3,2,4,19,16,46,54,0.00,0.00,1.39,1.29,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,3.60,3.65,1.20,1.57,2.70,4.50,1.57,2.25,Lokotrans Aréna (Mladá Boleslav)
1690117200,Jul 23 2023 - 1:00pm,complete,N/A,Slovan Liberec,Baník Ostrava,Jan Petřík,1,0.00,0.00,1.88,1.44,3,1,4,2,2,0,"19,41,64","47",6,4,3,0,3,0,0,3,2,1,14,13,7,5,7,6,9,13,38,62,0.00,0.00,1.87,1.59,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.14,3.35,3.00,1.22,1.57,2.80,4.85,1.62,2.20,Stadion u Nisy (Liberec)
1690117200,Jul 23 2023 - 1:00pm,complete,N/A,Slovácko,České Budějovice,N/A,1,0.00,0.00,1.29,0.28,4,1,5,2,2,0,"36,39,76,80","54",4,14,1,0,1,0,1,0,1,0,8,10,5,2,1,5,15,9,40,60,0.00,0.00,1.12,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.52,4.10,5.20,1.20,1.60,2.65,4.75,1.75,2.00,Městský fotbalový stadion Miroslava Valenty (Uherské Hradiště)
1690128000,Jul 23 2023 - 4:00pm,complete,N/A,Sparta Praha,Sigma Olomouc,N/A,1,0.00,0.00,2.56,0.94,2,0,2,1,1,0,"16,55","",8,3,0,0,2,0,0,0,2,0,24,9,12,2,3,6,5,9,58,42,0.00,0.00,2.28,0.87,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.32,5.20,7.40,1.16,1.49,2.43,4.00,1.91,1.91,epet ARENA (Praha)
1690635600,Jul 29 2023 - 1:00pm,complete,N/A,Sigma Olomouc,Karviná,N/A,2,0.00,0.00,1.38,0.72,3,1,4,3,2,1,"15,33,66","44",5,4,0,0,2,0,0,0,0,2,12,7,7,4,4,2,9,8,57,43,0.00,0.00,1.82,1.09,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.64,4.15,4.94,1.23,1.65,2.80,5.15,1.72,2.00,Andrův stadion (Olomouc)
1690635600,Jul 29 2023 - 1:00pm,complete,N/A,Zlín,Sparta Praha,N/A,2,0.00,0.00,1.12,2.41,0,1,1,0,0,0,"","79",0,6,4,0,1,0,2,2,1,0,4,18,2,7,2,7,9,17,36,64,0.00,0.00,0.70,2.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,6.10,4.65,1.48,1.19,1.60,2.30,4.35,1.70,2.05,Stadion Letná (Zlín)
1690635600,Jul 29 2023 - 1:00pm,complete,N/A,Pardubice,Jablonec,N/A,2,0.00,0.00,1.11,0.76,0,0,0,0,0,0,"","",1,6,1,1,3,0,2,0,1,2,12,11,5,3,4,7,12,15,44,56,1.83,1.29,1.17,1.32,2.50,50,50,50,50,0,0,100,50,50,16.00,4.00,2.11,3.80,3.15,1.18,1.57,2.40,4.22,1.48,2.45,CFIG Arena (Pardubice)
1690646400,Jul 29 2023 - 4:00pm,complete,N/A,Baník Ostrava,Slovácko,Tomáš Klíma,2,0.00,0.00,1.35,1.22,0,0,0,0,0,0,"","",5,6,2,1,0,0,2,1,0,0,10,10,3,2,5,5,14,8,46,54,0.00,0.00,1.14,1.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.31,3.45,2.52,1.26,1.67,3.00,5.65,1.66,2.16,Městský stadion - Vítkovice Aréna (Ostrava)
1690722000,Jul 30 2023 - 1:00pm,complete,N/A,České Budějovice,Slavia Praha,N/A,2,0.00,0.00,1.41,2.24,1,3,4,1,0,1,"53","13,73,84",4,4,3,1,1,0,3,1,0,1,7,11,4,6,3,5,10,17,51,49,0.00,0.00,1.17,1.53,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,8.00,5.75,1.30,1.12,1.38,2.14,3.30,1.68,2.10,Fotbalový stadion Střelecký ostrov (Ceské Budejovice)
1690722000,Jul 30 2023 - 1:00pm,complete,N/A,Bohemians 1905,Teplice,Pavel Orel,2,0.00,0.00,1.17,1.00,1,2,3,1,0,1,"90'4","43,58",2,5,2,0,3,0,1,1,0,3,16,8,6,4,8,2,14,19,57,43,0.00,0.00,1.89,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.63,3.75,4.90,1.25,1.73,3.00,5.20,1.80,1.95,Stadion Ďolíček (Praha)
1690722000,Jul 30 2023 - 1:00pm,complete,N/A,Mladá Boleslav,Slovan Liberec,N/A,2,3.00,0.00,1.61,0.63,2,2,4,2,0,2,"78,88","8,42",6,0,6,1,4,0,4,3,1,3,17,9,6,5,4,2,19,10,60,40,1.39,0.00,1.62,1.19,2.00,50,50,50,50,0,0,50,50,50,6.00,1.00,1.83,3.65,3.75,1.22,1.66,2.85,4.50,1.66,2.15,Lokotrans Aréna (Mladá Boleslav)
1690732800,Jul 30 2023 - 4:00pm,complete,N/A,Viktoria Plzeň,Hradec Králové,Jan Machálek,2,0.00,0.00,2.17,1.00,1,1,2,0,0,0,"81","90'6",2,3,3,0,3,0,1,2,1,2,17,13,6,3,4,5,16,11,54,46,0.00,0.80,1.75,1.32,1.00,0,50,0,0,0,0,50,0,50,2.00,3.00,1.33,4.09,6.11,1.18,1.59,2.55,4.33,1.90,1.83,Doosan Aréna (Plzeň)
1691240400,Aug 05 2023 - 1:00pm,complete,N/A,Sparta Praha,Pardubice,Tomáš Klíma,3,3.00,0.00,2.56,1.18,5,2,7,3,3,0,"15,22,24,47,57","65,73",6,3,1,0,1,0,1,0,1,0,24,8,14,4,7,3,11,11,58,42,2.28,0.00,2.75,0.95,1.00,0,50,0,0,0,0,50,0,50,8.00,0.00,1.19,6.90,11.22,1.17,1.57,1.91,3.30,2.00,1.75,epet ARENA (Praha)
1691240400,Aug 05 2023 - 1:00pm,complete,N/A,Karviná,Mladá Boleslav,Jan Petřík,3,3.00,0.00,1.12,1.17,1,2,3,2,0,2,"70","6,19",2,3,1,0,5,0,0,1,2,3,16,13,3,7,11,4,20,22,55,45,2.09,0.00,1.80,1.59,2.50,50,50,50,50,50,50,50,50,50,3.00,0.00,2.99,3.56,2.24,1.22,1.75,2.85,5.10,1.60,2.25,Městský Stadión (Karviná)
