timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1691517600,Aug 08 2023 - 6:00pm,complete,N/A,Huddersfield Town,Middlesbrough,Oliver Langford,N/A,0.00,0.00,0.00,2.57,2,3,5,2,1,1,"4,90'4","20,63,82",3,13,1,1,2,0,1,1,1,1,10,17,6,7,3,4,6,12,42,58,0.00,0.00,1.20,1.88,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.85,3.50,2.35,1.28,1.90,3.25,6.00,1.70,2.05,John Smith's Stadium (Huddersfield- West Yorkshire)
1691519400,Aug 08 2023 - 6:30pm,complete,N/A,Mansfield Town,Grimsby Town,Scott Jackson,N/A,0.00,0.00,1.25,0.00,2,0,2,1,1,0,"28,55","",12,4,0,0,2,0,0,0,1,1,18,10,7,5,6,4,8,11,59,41,0.00,0.00,1.94,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.77,3.76,4.26,1.33,1.85,3.60,7.00,1.80,1.95,One Call Stadium (Mansfield- Nottinghamshire)
1691519400,Aug 08 2023 - 6:30pm,complete,N/A,Swansea City,Northampton Town,Peter Wright,N/A,0.00,0.00,1.50,0.00,3,0,3,1,1,0,"10,53,90'4","",12,0,0,0,1,0,0,0,0,1,23,5,9,2,4,3,8,6,63,37,0.00,0.00,1.83,0.58,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.53,4.20,5.75,1.22,1.67,2.80,5.00,1.80,1.95,Swansea.com Stadium (Swansea)
1691519400,Aug 08 2023 - 6:30pm,complete,N/A,Peterborough United,Swindon Town,Tom Nield,N/A,0.00,0.00,1.00,1.00,1,1,2,1,1,0,"7","49",3,9,1,0,1,0,1,0,1,0,13,25,7,10,4,7,13,10,52,48,0.00,0.00,1.52,2.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.62,4.05,4.99,1.20,1.57,2.60,4.75,1.70,2.05,Weston Homes Stadium (Peterborough)
1691519400,Aug 08 2023 - 6:30pm,complete,N/A,Newport County,Charlton Athletic,Scott Simpson,N/A,0.00,0.00,2.00,0.00,3,1,4,1,0,1,"63,76,80","43",7,5,3,0,1,0,1,2,1,0,13,19,6,6,4,8,11,3,56,44,0.00,0.00,1.31,1.73,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.75,3.55,2.19,1.25,1.85,3.00,5.50,1.62,2.20,Rodney Parade (Newport (Casnewydd))
1691520300,Aug 08 2023 - 6:45pm,complete,N/A,Port Vale,Fleetwood Town,Edward Duckworth,N/A,0.00,0.00,2.00,0.00,3,2,5,2,1,1,"18,58,72","5,47",8,12,4,0,2,0,2,2,1,1,13,15,8,6,2,2,17,11,56,44,0.00,0.00,1.51,1.38,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.45,3.37,2.77,1.29,1.94,3.65,7.50,1.75,2.00,Vale Park (Stoke-on-Trent- Staffordshire)
1691520300,Aug 08 2023 - 6:45pm,complete,N/A,Stoke City,West Bromwich Albion,Geoff Eltringham,N/A,0.00,0.00,2.00,0.00,2,1,3,1,1,0,"27,65","64",5,5,3,0,4,0,2,1,1,3,20,13,7,6,8,6,16,12,58,42,0.00,0.00,1.87,1.38,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.43,3.30,2.58,1.35,1.85,3.75,7.50,1.80,1.95,bet365 Stadium (Stoke-on-Trent- Staffordshire)
1691520300,Aug 08 2023 - 6:45pm,complete,N/A,Sheffield Wednesday,Stockport County,Lewis Smith,N/A,0.00,0.00,1.00,1.00,1,1,2,1,0,1,"90'7","16",5,4,3,0,3,0,2,1,2,1,18,9,5,2,10,3,11,6,45,55,0.00,0.00,1.67,0.82,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.57,4.00,5.50,1.26,1.67,3.35,6.75,1.91,1.91,Hillsborough (Sheffield)
1691520300,Aug 08 2023 - 6:45pm,complete,N/A,Rotherham United,Morecambe,Thomas Parsons,N/A,0.00,0.00,0.50,1.00,1,1,2,2,1,1,"37","22",6,2,1,0,1,0,0,1,0,1,9,8,4,3,4,4,10,12,54,46,0.00,0.00,1.28,0.91,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.49,4.53,5.82,1.20,1.59,2.30,4.75,1.80,1.95,AESSEAL New York Stadium (Rotherham- South Yorkshire)
1691520300,Aug 08 2023 - 6:45pm,complete,N/A,Harrogate Town,Carlisle United,Matthew Corlett,N/A,0.00,0.00,1.50,0.00,1,0,1,1,1,0,"23","",5,4,0,0,0,0,0,0,0,0,14,16,6,8,7,6,7,6,58,42,0.00,0.00,1.52,1.79,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.40,3.40,2.05,1.30,1.80,3.40,6.50,1.75,2.00,EnviroVent Stadium (Harrogate- North Yorkshire)
