timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1691780400,Aug 11 2023 - 7:00pm,complete,N/A,Nice,Lille,Benoît Bastien,1,0.00,0.00,1.82,1.29,1,1,2,1,1,0,"18","90'4",3,3,3,0,2,0,2,1,2,0,9,13,4,6,3,3,12,10,40,60,0.00,0.00,0.93,1.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.00,3.45,2.25,1.30,1.80,3.25,6.50,1.70,2.05,Allianz Riviera (Nice)
1691852400,Aug 12 2023 - 3:00pm,complete,N/A,Olympique Marseille,Reims,Eric Wattellier,1,0.00,0.00,2.12,1.18,2,1,3,2,1,1,"23,73","10",10,10,1,0,3,0,0,1,2,1,15,12,5,5,6,4,5,11,42,58,0.00,0.00,1.35,1.30,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.56,3.90,4.90,1.20,1.75,2.85,5.00,1.80,1.95,Stade Orange Vélodrome (Marseille)
1691866800,Aug 12 2023 - 7:00pm,complete,N/A,PSG,Lorient,Bastien Dechepy,1,0.00,0.00,1.94,0.76,0,0,0,0,0,0,"","",9,2,0,0,0,0,0,0,0,0,21,6,5,0,8,4,10,6,77,23,0.00,0.00,2.03,0.38,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.17,7.30,16.50,1.13,1.33,1.98,3.40,1.80,1.95,Parc des Princes (Paris)
1691924400,Aug 13 2023 - 11:00am,complete,N/A,Brest,Lens,Jérémie Pignard,1,0.00,0.00,1.82,1.18,3,2,5,3,1,2,"45'2,56,87","10,22",6,8,2,0,3,1,2,0,0,4,16,12,9,4,4,4,10,12,48,52,0.00,0.00,1.83,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.90,3.30,1.76,1.33,1.78,3.60,7.00,1.80,1.95,Stade Francis-Le Blé (Brest)
1691931600,Aug 13 2023 - 1:00pm,complete,N/A,Nantes,Toulouse,Willy Delajod,1,0.00,0.00,0.71,1.59,1,2,3,1,1,0,"13","62,90'1",7,5,2,0,2,0,2,0,0,2,10,10,5,6,3,2,15,12,43,57,0.00,0.00,1.12,1.25,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.10,2.85,1.26,1.81,3.15,6.50,1.70,2.05,Stade de la Beaujoire - Louis Fonteneau (Nantes)
1691931600,Aug 13 2023 - 1:00pm,complete,N/A,Montpellier,Le Havre,Clément Turpin,1,0.00,0.00,1.06,0.71,2,2,4,1,0,1,"58,60","5,90",4,2,1,0,2,0,0,1,0,2,16,13,6,5,6,7,9,11,58,42,0.00,0.00,1.54,1.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.05,3.30,1.36,2.06,3.75,7.50,1.95,1.80,Stade de la Mosson-Mondial 98 (Montpellier)
1691931600,Aug 13 2023 - 1:00pm,complete,N/A,Clermont,Monaco,François Letexier,1,0.00,0.00,0.82,2.00,2,4,6,3,1,2,"7,53","26,43,70,90'3",6,2,0,0,4,0,0,0,2,2,16,15,8,9,7,2,8,14,54,46,0.00,0.00,1.79,1.52,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.25,3.35,1.90,1.24,1.70,2.85,5.00,1.62,2.20,Stade Gabriel Montpied (Clermont-Ferrand)
1691939100,Aug 13 2023 - 3:05pm,complete,N/A,Rennes,Metz,Jeremy Stinat,1,0.00,0.00,1.47,1.00,5,1,6,2,1,1,"20,51,67,87,90'4","21",5,4,0,0,2,0,0,0,1,1,30,10,15,4,7,2,7,10,70,30,0.00,0.00,2.92,1.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.44,4.50,8.00,1.25,1.73,2.85,5.25,2.00,1.75,Roazhon Park (Rennes)
1691952300,Aug 13 2023 - 6:45pm,complete,N/A,Strasbourg,Olympique Lyonnais,Jérôme Brisard,1,0.00,0.00,1.41,1.65,2,1,3,0,0,0,"63,75","88",1,6,2,0,2,0,2,0,1,1,9,24,3,8,3,8,8,11,36,64,0.00,0.00,0.87,2.07,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.65,3.65,2.49,1.22,1.67,2.80,5.00,1.57,2.25,Stade de la Meinau (Strasbourg)
1692385200,Aug 18 2023 - 7:00pm,complete,N/A,Metz,Olympique Marseille,Jérôme Brisard,2,0.00,0.00,0.71,0.82,2,2,4,1,0,1,"65,71","14,82",4,9,3,1,2,0,1,3,0,2,11,23,6,6,3,12,16,8,43,57,0.00,0.00,1.32,2.05,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.50,4.20,1.70,1.22,1.75,2.62,4.75,1.68,2.05,Stade Saint-Symphorien (Longeville-lès-Metz)
1692464400,Aug 19 2023 - 5:00pm,complete,N/A,Olympique Lyonnais,Montpellier,Mathieu Vernice,2,0.00,0.00,1.47,1.41,1,4,5,2,0,2,"69","20,39,66,89",6,2,4,1,1,0,3,2,0,1,8,15,4,9,3,4,15,9,65,35,0.00,0.00,1.18,1.59,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.71,4.20,4.31,1.17,1.55,2.25,4.00,1.57,2.25,Groupama Stadium (Décines-Charpieu)
1692471600,Aug 19 2023 - 7:00pm,complete,N/A,Toulouse,PSG,Thomas Léonard,2,0.00,0.00,0.94,2.53,1,1,2,0,0,0,"87","62",5,5,0,0,3,0,0,0,1,2,9,18,3,4,4,7,7,8,24,76,0.00,0.00,0.87,1.46,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.66,4.20,1.66,1.20,1.58,1.95,4.00,1.58,2.20,Stadium de Toulouse (Toulouse)
1692529200,Aug 20 2023 - 11:00am,complete,N/A,Lille,Nantes,Pierre Gaillouste,2,0.00,0.00,2.18,1.24,2,0,2,0,0,0,"66,90'4","",7,5,0,1,2,0,0,1,1,1,19,16,9,6,4,2,9,13,64,36,0.00,0.00,1.95,1.22,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.45,4.75,6.60,1.22,1.65,2.62,4.50,1.89,1.89,Decathlon Arena – Stade Pierre-Mauroy (Villeneuve d'Ascq)
1692536400,Aug 20 2023 - 1:00pm,complete,N/A,Lorient,Nice,Hakim Ben El Hadj,2,0.00,0.00,0.94,1.41,1,1,2,0,0,0,"77","64",0,9,1,0,1,0,0,1,0,1,10,22,3,9,3,7,9,10,40,60,0.00,0.00,0.74,2.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.25,3.50,2.20,1.30,1.98,3.27,6.30,1.75,2.05,Stade Yves Allainmat - Le Moustoir (Lorient)
1692536400,Aug 20 2023 - 1:00pm,complete,N/A,Reims,Clermont,Romain Lissorgue,2,0.00,0.00,1.59,0.65,2,0,2,1,1,0,"17,84","",3,10,0,0,0,0,0,0,0,0,9,12,5,5,2,6,9,6,47,53,0.00,0.00,1.16,1.47,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.84,3.80,4.10,1.26,1.74,2.99,5.60,1.75,2.00,Stade Auguste-Delaune II (Reims)
1692536400,Aug 20 2023 - 1:00pm,complete,N/A,Le Havre,Brest,Florent Batta,2,0.00,0.00,1.18,1.76,1,2,3,1,0,1,"52","28,56",5,3,0,0,2,0,0,0,0,2,19,11,8,6,6,3,19,16,56,44,0.00,0.00,1.86,1.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.65,3.20,2.74,1.38,2.14,3.75,7.00,1.85,1.92,Stade Océane (Le Havre)
1692550800,Aug 20 2023 - 5:00pm,complete,N/A,Monaco,Strasbourg,Ruddy Buquet,2,0.00,0.00,1.94,0.88,3,0,3,2,2,0,"20,36,58","",4,3,2,0,1,0,1,1,0,1,10,5,5,2,4,2,19,16,57,43,0.00,0.00,1.26,0.66,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.72,3.69,4.04,1.18,1.73,2.55,4.80,1.61,2.25,Stade Louis II (Monaco)
1692557100,Aug 20 2023 - 6:45pm,complete,N/A,Lens,Rennes,Benoît Millot,2,0.00,0.00,1.82,1.24,1,1,2,1,1,0,"3","53",11,0,2,0,1,0,0,2,0,1,17,11,5,6,9,4,14,9,50,50,0.00,0.00,1.72,1.29,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.01,3.51,3.16,1.23,1.77,2.85,5.05,1.67,2.28,Stade Bollaert-Delelis (Lens)
1692990000,Aug 25 2023 - 7:00pm,complete,N/A,Nantes,Monaco,Jérémie Pignard,3,0.00,3.00,0.71,2.00,3,3,6,3,2,1,"5,15,48","27,58,85",1,10,2,0,2,0,1,1,1,1,4,28,4,11,0,11,8,6,41,59,1.12,1.52,0.71,2.62,4.50,100,100,100,50,50,50,100,100,100,9.00,6.00,3.05,3.45,2.11,1.22,1.62,2.75,5.00,1.62,2.20,Stade de la Beaujoire - Louis Fonteneau (Nantes)
1693069200,Aug 26 2023 - 5:00pm,complete,N/A,Olympique Marseille,Brest,Jeremy Stinat,3,3.00,3.00,2.12,1.76,2,0,2,1,1,0,"4,65","",3,10,0,0,1,0,0,0,0,1,16,19,7,8,5,5,6,9,44,56,1.35,1.27,1.55,1.87,3.00,100,100,100,0,0,50,100,50,100,13.00,3.00,1.53,4.40,6.00,1.22,1.61,2.80,5.00,1.91,1.91,Stade Orange Vélodrome (Marseille)
1693076400,Aug 26 2023 - 7:00pm,complete,N/A,PSG,Lens,François Letexier,3,1.00,0.00,1.94,1.18,3,1,4,1,1,0,"44,52,90","90'5",5,5,0,0,5,0,0,0,2,3,18,13,8,5,6,7,8,12,66,34,2.03,1.08,1.84,1.35,2.50,50,50,50,50,50,50,50,50,50,17.00,5.00,1.60,4.20,5.50,1.19,1.57,2.15,4.40,1.67,2.10,Parc des Princes (Paris)
1693134000,Aug 27 2023 - 11:00am,complete,N/A,Rennes,Le Havre,Eric Wattellier,3,3.00,1.00,1.47,0.71,2,2,4,3,2,1,"10,24","40,70",5,2,1,0,1,1,0,1,1,1,23,8,9,4,9,4,5,7,60,40,2.92,1.39,2.33,1.06,5.00,100,100,100,100,50,50,100,100,100,7.00,2.00,1.40,4.33,6.50,1.25,1.80,2.90,5.25,2.00,1.75,Roazhon Park (Rennes)
1693141200,Aug 27 2023 - 1:00pm,complete,N/A,Strasbourg,Toulouse,Benoît Bastien,3,3.00,3.00,1.41,1.59,2,0,2,0,0,0,"52,89","",3,3,1,0,3,0,1,0,0,3,12,8,4,2,6,3,16,17,39,61,0.87,1.25,1.20,0.74,3.00,100,100,100,0,0,0,50,100,100,6.00,4.00,1.91,3.70,3.50,1.22,1.78,2.85,5.40,1.62,2.20,Stade de la Meinau (Strasbourg)
1693141200,Aug 27 2023 - 1:00pm,complete,N/A,Clermont,Metz,Gaël Angoula,3,0.00,0.00,0.82,1.00,0,1,1,0,0,0,"","69",10,2,1,0,1,0,0,1,0,1,18,11,5,6,7,4,9,12,72,28,1.79,1.01,1.47,1.26,6.00,100,100,100,100,100,100,100,100,100,10.00,2.00,1.85,3.70,3.90,1.24,1.80,2.94,5.30,1.75,2.00,Stade Gabriel Montpied (Clermont-Ferrand)
1693141200,Aug 27 2023 - 1:00pm,complete,N/A,Montpellier,Reims,Marc Bollengier,3,1.00,0.00,1.06,1.18,1,3,4,3,1,2,"45'4","8,41,56",5,3,1,0,1,0,0,1,0,1,21,13,4,7,10,4,7,17,51,49,1.54,1.30,1.62,1.53,3.50,100,100,100,50,0,50,100,50,100,14.00,4.00,2.40,3.40,2.75,1.22,1.70,2.70,4.75,1.57,2.25,Stade de la Mosson-Mondial 98 (Montpellier)
1693148700,Aug 27 2023 - 3:05pm,complete,N/A,Lorient,Lille,Willy Delajod,3,1.00,1.00,0.94,1.29,4,1,5,2,2,0,"9,10,62,67","55",5,8,2,0,4,0,0,2,2,2,10,19,7,8,3,5,19,12,35,65,0.74,1.39,1.33,1.96,2.00,100,100,0,0,0,0,50,50,100,3.00,3.00,4.32,4.24,1.66,1.21,1.59,2.80,5.30,1.67,2.10,Stade Yves Allainmat - Le Moustoir (Lorient)
1693161900,Aug 27 2023 - 6:45pm,complete,N/A,Nice,Olympique Lyonnais,Bastien Dechepy,3,1.00,0.00,1.82,1.65,0,0,0,0,0,0,"","",7,2,1,0,3,0,1,0,0,3,22,7,5,2,10,4,6,12,58,42,0.93,2.07,1.68,0.73,2.50,100,100,50,0,0,0,50,50,100,9.00,5.00,2.47,3.81,2.87,1.18,1.59,2.50,4.33,1.53,2.38,Allianz Riviera (Nice)
1693594800,Sep 01 2023 - 7:00pm,complete,N/A,Nantes,Olympique Marseille,Ruddy Buquet,4,0.50,1.00,0.71,0.82,1,1,2,2,1,1,"39","4",2,7,0,1,2,0,1,0,1,1,11,27,3,10,2,12,8,14,36,64,0.92,2.05,0.73,2.75,4.25,100,100,100,75,25,25,100,100,100,13.00,4.00,4.10,3.85,1.83,1.25,1.69,2.95,5.50,1.70,2.05,Stade de la Beaujoire - Louis Fonteneau (Nantes)
1693666800,Sep 02 2023 - 3:00pm,complete,N/A,Brest,Rennes,Hakim Ben El Hadj,4,3.00,1.00,1.82,1.24,0,0,0,0,0,0,"","",7,5,3,0,1,0,1,2,0,1,14,7,3,4,6,1,7,8,51,49,1.83,1.29,1.15,0.88,3.50,100,100,50,50,50,50,100,50,100,6.00,3.00,3.20,3.50,2.15,1.28,1.65,3.10,6.00,1.67,2.10,Stade Francis-Le Blé (Brest)
1693681200,Sep 02 2023 - 7:00pm,complete,N/A,Monaco,Lens,Willy Delajod,4,3.00,0.00,1.94,1.18,3,0,3,2,2,0,"24,36,59","",5,2,4,0,2,0,1,3,1,1,14,13,7,2,2,6,21,16,56,44,1.26,1.21,1.34,0.96,3.75,50,100,100,50,25,75,100,50,100,10.50,7.00,2.34,3.85,3.05,1.19,1.60,2.40,4.50,1.53,2.38,Stade Louis II (Monaco)
1693738800,Sep 03 2023 - 11:00am,complete,N/A,Toulouse,Clermont,Florent Batta,4,1.00,0.00,0.94,0.65,2,2,4,3,2,1,"8,14","34,90'6",0,8,1,0,3,0,0,1,1,2,10,16,6,4,1,6,19,21,37,63,0.87,1.47,0.99,1.22,2.00,50,100,0,0,0,0,50,50,100,15.00,0.00,2.46,2.13,4.30,1.24,1.67,3.00,6.00,1.70,2.05,Stadium de Toulouse (Toulouse)
