timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1691769600,Aug 11 2023 - 4:00pm,complete,N/A,Sandhausen,Hannover 96,Deniz Aytekin,N/A,0.00,0.00,0.50,1.00,3,3,6,3,1,2,"45'3,77,86","27,43,82",10,7,3,0,2,0,1,2,2,0,18,11,7,7,11,4,14,20,48,52,0.00,0.00,2.17,1.70,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.10,3.60,2.20,1.25,1.70,3.00,5.00,1.57,2.25,BWT-Stadion am Hardtwald
1691769600,Aug 11 2023 - 4:00pm,complete,N/A,Bersenbrück,Borussia M'gladbach,Alexander Sather,N/A,0.00,0.00,0.00,2.25,0,7,7,4,0,4,"","21,26,32,34,56,77,89",4,6,2,0,1,0,2,0,1,0,7,23,3,11,4,12,9,8,41,59,0.00,0.00,1.05,2.73,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,51.00,23.00,1.01,1.02,1.08,1.15,1.37,5.00,1.17,Bremer Brücke
1691769600,Aug 11 2023 - 4:00pm,complete,N/A,Saarbrucken,Karlsruher SC,Aarne Aarnink,N/A,0.00,0.00,2.40,0.00,2,1,3,0,0,0,"47,90","65",4,4,0,0,0,0,0,0,0,0,10,9,7,6,3,3,18,9,48,52,0.00,0.00,1.51,1.40,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.40,3.80,2.00,1.20,1.53,2.55,4.75,1.50,2.50,Hermann-Neuberger-Stadion
1691779500,Aug 11 2023 - 6:45pm,complete,N/A,Eintracht Braunschweig,Schalke 04,Patrick Ittrich,N/A,0.00,0.00,0.00,1.50,1,3,4,3,1,2,"12","19,42,90'4",7,3,2,1,2,1,1,2,0,3,10,6,6,5,4,1,22,12,48,52,0.00,0.00,1.46,1.03,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.50,3.75,2.00,1.22,1.70,2.75,4.50,1.62,2.20,N/A
1691838000,Aug 12 2023 - 11:00am,complete,N/A,Carl Zeiss Jena,Hertha BSC,Florian Heft,N/A,0.00,0.00,0.00,1.75,0,5,5,1,0,1,"","6,47,49,52,59",4,7,2,0,1,0,1,1,0,1,8,19,3,14,5,5,5,11,43,57,0.00,0.00,0.98,2.59,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.75,4.50,1.53,1.17,1.53,2.25,3.80,1.62,2.20,Ernst-Abbe-Sportfeld
1691838000,Aug 12 2023 - 11:00am,complete,N/A,Balingen,Stuttgart,Robert Kampka,N/A,0.00,0.00,0.00,2.25,0,4,4,3,0,3,"","25,34,43,55",3,5,0,0,0,0,0,0,0,0,3,19,2,11,1,8,8,7,31,69,0.00,0.00,0.47,2.58,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,23.00,17.00,1.05,1.06,1.20,1.53,2.17,2.50,1.50,Stadion an der Kreuzeiche
1691847000,Aug 12 2023 - 1:30pm,complete,N/A,Atlas Delmenhorst,St. Pauli,Patrick Schwengers,N/A,0.00,0.00,0.00,2.50,0,5,5,1,0,1,"","24,58,68,70,88",1,12,2,1,0,0,1,2,0,0,7,21,5,9,2,12,5,4,31,69,0.00,0.00,0.97,2.73,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,67.00,21.00,1.02,1.03,1.11,1.35,1.60,3.75,1.25,Stadion an der Düsternortstraße
1691847000,Aug 12 2023 - 1:30pm,complete,N/A,Gütersloh,Holstein Kiel,Patrick Kessel,N/A,0.00,0.00,0.00,2.00,0,2,2,0,0,0,"","72,90'3",10,8,2,0,0,0,0,2,0,0,15,13,7,9,8,4,8,10,38,62,0.00,0.00,1.88,1.88,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,19.00,8.50,1.13,1.08,1.36,1.98,2.88,2.20,1.62,Heidewaldstadion
1691847000,Aug 12 2023 - 1:30pm,complete,N/A,Teutonia Hamburg,Bayer Leverkusen,N/A,N/A,0.00,0.00,0.00,3.00,0,8,8,3,0,3,"","16,42,45'1,59,67,74,81,90",3,10,1,0,1,0,1,0,0,1,6,18,2,12,4,6,9,12,34,66,0.00,0.00,0.82,2.51,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,34.00,17.00,1.04,1.03,1.17,1.62,2.05,2.50,1.50,N/A
1691847000,Aug 12 2023 - 1:30pm,complete,N/A,Viktoria Köln,Werder Bremen,Frank Willenborg,N/A,0.00,0.00,1.50,0.00,3,2,5,1,0,1,"72,79,90'4","43,77",7,2,1,0,2,1,0,1,1,2,16,10,11,6,5,4,12,4,62,38,0.00,0.00,2.31,1.31,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.25,5.00,1.53,1.15,1.48,2.20,4.00,1.57,2.25,Sportpark Höhenberg
