timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1689872400,Jul 20 2023 - 5:00pm,complete,N/A,Hapoel Be'er Sheva,Maccabi Tel Aviv,David Fuksman,N/A,0.00,0.00,0.00,2.33,1,6,7,2,0,2,"56","38,45'4,47,52,60,79",0,9,0,1,1,0,0,1,1,0,6,19,3,9,3,10,10,12,27,73,0.00,0.00,0.85,2.45,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.50,3.10,1.25,1.80,2.90,6.50,1.68,2.05,Yaakov Turner Toto Stadium (Be’ér Shéva (Beer Sheva) )
1690646400,Jul 29 2023 - 4:00pm,complete,N/A,Hapoel Haifa,Bnei Sakhnin,Dekel Tzino,1,0.00,0.00,1.00,1.80,0,1,1,1,0,1,"","33",7,8,3,0,3,0,2,1,1,2,9,8,3,3,6,5,10,16,53,47,0.00,0.00,1.46,1.24,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.00,3.60,1.41,2.35,4.08,7.65,2.00,1.72,Sammy Ofer Stadium (Haifa)
1690648200,Jul 29 2023 - 4:30pm,complete,N/A,Hapoel Katamon,Hapoel Tel Aviv,Orel Grinfeeld,1,0.00,0.00,2.00,0.60,1,1,2,1,0,1,"90'1","43",7,3,1,0,2,0,1,0,1,1,9,8,4,3,5,5,10,14,50,50,0.00,0.00,1.21,1.06,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.91,3.10,3.75,1.38,2.25,3.85,7.15,1.95,1.75,Teddi Malcha Stadium (Jerusalem)
1690651800,Jul 29 2023 - 5:30pm,complete,N/A,Maccabi Petah Tikva,Hapoel Petah Tikva,Roei Reinshreiber,1,0.00,0.00,1.60,1.00,0,0,0,0,0,0,"","",9,7,5,0,3,0,3,2,1,2,5,10,2,5,3,5,15,10,54,46,0.00,0.00,0.94,1.36,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,3.00,3.25,1.38,2.25,3.83,7.15,1.90,1.78,HaMoshava Stadium (Pétaḥ-Tiqva (Petach-Tikva))
1690736400,Jul 30 2023 - 5:00pm,complete,N/A,Maccabi Netanya,Hapoel Hadera,Gal Laibuvitz,1,0.00,0.00,2.00,1.00,3,1,4,0,0,0,"51,70,89","85",7,6,2,0,2,0,0,2,0,2,14,12,8,5,6,7,18,10,54,46,0.00,0.00,2.01,1.62,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.91,2.90,4.00,1.36,2.30,3.70,6.90,2.06,1.73,Netanya Stadium (Netanya)
1690908300,Aug 01 2023 - 4:45pm,complete,N/A,Ashdod,Maccabi Petah Tikva,Niv Steif,2,0.00,1.00,1.60,1.60,1,1,2,1,1,0,"22","84",3,2,1,0,0,0,0,1,0,0,14,15,3,5,8,9,13,13,54,46,0.00,0.94,1.50,1.68,0.00,0,0,0,0,0,0,0,0,0,9.00,5.00,1.95,3.20,3.50,1.36,2.20,3.92,7.70,1.91,1.85,Yud-Alef Stadium (Ašdod (Ashdod))
1690909200,Aug 01 2023 - 5:00pm,complete,N/A,Hapoel Petah Tikva,Hapoel Katamon,Erez Papir,2,1.00,1.00,1.00,2.00,1,5,6,2,0,2,"47","28,45'2,48,70,83",2,2,1,0,1,0,0,1,0,1,10,14,3,10,7,4,13,9,44,56,1.36,1.21,1.17,2.02,1.00,50,50,0,0,0,0,50,0,50,14.00,4.00,2.80,3.10,2.30,1.37,2.25,3.87,7.80,1.87,1.89,HaMoshava Stadium (Pétaḥ-Tiqva (Petach-Tikva))
1690994700,Aug 02 2023 - 4:45pm,complete,N/A,Hapoel Hadera,Hapoel Haifa,Gal Levi,2,0.00,0.00,1.00,1.00,2,1,3,0,0,0,"52,78","90'3",3,3,3,0,3,0,1,2,0,3,11,13,8,8,3,5,14,16,52,48,1.62,1.46,1.69,1.84,2.50,50,50,50,50,0,0,50,50,50,13.00,5.00,2.50,2.80,2.80,1.41,2.30,4.05,7.55,1.96,1.80,Netanya Stadium (Netanya)
1690995600,Aug 02 2023 - 5:00pm,complete,N/A,Maccabi Bnei Raina,Maccabi Netanya,Ohad Asulin,2,0.00,3.00,0.60,2.00,0,0,0,0,0,0,"","",3,5,2,0,2,0,1,1,0,2,8,7,2,4,6,3,7,16,42,58,0.00,2.01,0.87,1.04,2.00,50,50,50,50,0,0,0,50,50,7.00,2.00,3.60,3.20,1.91,1.35,2.10,3.75,6.90,2.00,1.77,Green Stadium (Nazareth Illit)
1691251200,Aug 05 2023 - 4:00pm,complete,N/A,Hapoel Haifa,Maccabi Bnei Raina,Yoav Mizrahi,3,0.00,1.00,1.00,0.60,1,1,2,0,0,0,"66","90'5",6,5,3,0,3,0,1,2,1,2,14,6,7,4,7,2,14,14,53,47,1.65,0.87,2.00,1.09,1.00,25,25,25,0,0,0,25,25,25,8.00,5.00,2.10,3.10,3.20,1.40,2.25,4.00,6.90,1.95,1.75,Sammy Ofer Stadium (Haifa)
