timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1689955200,Jul 21 2023 - 4:00pm,complete,3274,Warta Poznań,Pogoń Szczecin,Damian Sylwestrzak,1,0.00,0.00,1.18,1.53,0,1,1,1,0,1,"","36",6,5,1,0,0,0,0,1,0,0,11,13,2,4,4,6,12,9,29,71,0.00,0.00,0.95,1.46,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.05,3.58,1.89,1.33,2.05,3.60,7.00,1.91,1.91,Stadion Groclinu Dyskobolii (Grodzisk Wielkopolski)
1689964200,Jul 21 2023 - 6:30pm,complete,26584,Legia Warszawa,ŁKS Łódź,N/A,1,0.00,0.00,1.76,0.24,3,0,3,1,1,0,"25,56,68","",8,4,0,0,0,0,0,0,0,0,19,8,10,2,6,4,8,16,59,41,0.00,0.00,2.24,0.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.39,4.75,7.50,1.17,1.68,2.80,5.00,2.00,1.75,Stadion Miejski Legii Warszawa im. Marszałka Józefa Piłsudskiego (Warszawa)
1690030800,Jul 22 2023 - 1:00pm,complete,N/A,Stal Mielec,Cracovia Kraków,Bartosz Frankowski,1,0.00,0.00,1.76,1.00,2,2,4,2,2,0,"24,36","54,61",4,8,2,0,2,0,1,1,1,1,10,22,5,10,5,6,13,12,49,51,0.00,0.00,1.30,2.20,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.78,3.19,2.70,1.40,2.15,4.00,7.80,1.95,1.80,Stadion Miejski w Mielcu (Mielec)
1690039800,Jul 22 2023 - 3:30pm,complete,N/A,Raków Częstochowa,Jagiellonia Białystok,Paweł Raczkowski,1,0.00,0.00,2.06,1.41,3,0,3,1,1,0,"45'2,63,65","",8,4,0,0,4,0,0,0,3,1,12,7,7,2,3,4,9,10,57,43,0.00,0.00,1.63,0.82,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.29,5.20,9.40,1.19,1.65,2.80,5.30,2.05,1.70,Miejski Stadion Piłkarski Raków (Częstochowa)
1690048800,Jul 22 2023 - 6:00pm,complete,5784,Piast Gliwice,Lech Poznań,Szymon Marciniak,1,0.00,0.00,1.65,1.29,1,2,3,1,1,0,"43","46,54",4,1,1,0,4,0,1,0,1,3,16,8,6,3,7,2,10,19,50,50,0.00,0.00,1.80,0.93,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.71,3.15,2.43,1.50,2.15,3.95,8.00,1.95,1.80,Stadion Miejski (Gliwice)
1690117200,Jul 23 2023 - 1:00pm,complete,16543,Górnik Zabrze,Radomiak Radom,Tomasz Musial,1,0.00,0.00,1.88,1.24,0,2,2,0,0,0,"","60,65",2,9,2,0,0,0,1,1,0,0,5,21,0,5,4,13,20,18,51,49,0.00,0.00,0.55,2.04,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.35,3.50,1.30,1.91,3.50,7.00,1.80,1.95,Stadion im. Ernesta Pohla (Zabrze)
1690126200,Jul 23 2023 - 3:30pm,complete,8763,Zagłębie Lubin,Ruch Chorzów,Jarosław Przybył,1,0.00,0.00,1.53,0.76,2,1,3,1,0,1,"71,81","28",4,1,1,0,3,0,0,1,2,1,18,7,5,2,6,5,13,13,63,37,0.00,0.00,1.73,0.97,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.73,3.70,4.22,1.28,1.80,3.13,5.95,1.80,1.95,Stadion Zagłębia Lubin (Lubin)
1690135200,Jul 23 2023 - 6:00pm,complete,N/A,Widzew Łódź,Puszcza Niepołomice,Piotr Lasyk,1,0.00,0.00,1.65,0.65,3,2,5,2,1,1,"35,55,90'3","8,90'9",5,1,3,0,0,0,1,2,0,0,14,15,7,5,4,4,17,11,58,42,0.00,0.00,1.68,1.40,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.59,3.85,5.20,1.24,1.88,3.30,6.20,1.80,1.95,Stadion Miejski Widzewa Łódź (Łódź)
1690218000,Jul 24 2023 - 5:00pm,complete,12266,Korona Kielce,Śląsk Wrocław,Damian Kos,1,0.00,0.00,1.53,1.88,1,1,2,0,0,0,"83","48",2,3,3,0,3,0,1,2,1,2,12,6,6,3,4,1,12,8,58,42,0.00,0.00,1.57,0.96,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.42,3.35,2.80,1.30,1.97,3.30,6.00,1.75,2.00,Suzuki Arena (Kielce)
1690569000,Jul 28 2023 - 6:30pm,complete,9736,Ruch Chorzów,ŁKS Łódź,Damian Sylwestrzak,2,0.00,0.00,1.12,0.24,2,0,2,1,1,0,"14,75","",4,9,3,0,2,1,1,2,1,2,15,18,6,3,6,7,18,15,39,61,0.00,0.80,1.69,1.40,1.50,0,50,50,0,0,0,50,50,50,4.00,0.00,2.40,3.20,3.10,1.39,2.33,4.02,8.10,1.88,1.82,Stadion Miejski (Gliwice)
