timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1691781300,Aug 11 2023 - 7:15pm,complete,N/A,Sporting Braga,Famalicão,Fábio José Costa Veríssimo,1,0.00,0.00,1.94,1.06,1,2,3,1,1,0,"9","67,90'5",3,4,4,0,4,0,0,4,1,3,13,15,4,5,3,8,17,12,60,40,0.00,0.00,1.07,1.50,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.36,4.60,7.00,1.20,1.65,2.50,4.40,1.80,1.95,Estádio Municipal de Braga (Braga)
1691850600,Aug 12 2023 - 2:30pm,complete,4606,Gil Vicente,Portimonense,Cláudio Filipe Ruivo Pereira,1,0.00,0.00,1.47,1.00,5,0,5,2,2,0,"9,45'5,58,72,90'5","",1,1,0,0,0,0,0,0,0,0,11,10,6,4,3,3,10,13,57,43,0.00,0.00,1.30,0.96,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.20,3.35,1.29,2.10,3.43,6.54,1.80,1.95,Estádio Cidade de Barcelos (Barcelos)
1691859600,Aug 12 2023 - 5:00pm,complete,N/A,Farense,Casa Pia,Bruno Vieira,1,0.00,0.00,1.29,1.41,0,3,3,1,0,1,"","15,64,90",5,6,2,0,4,0,0,2,1,3,13,17,5,8,4,4,14,13,56,44,0.00,0.00,1.29,1.65,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.65,3.00,2.71,1.46,2.25,4.50,9.50,1.95,1.80,Estádio de São Lúis (Faro)
1691868600,Aug 12 2023 - 7:30pm,complete,N/A,Sporting CP,FC Vizela,Fábio Oliveira Melo,1,0.00,0.00,3.00,0.71,3,2,5,2,2,0,"14,15,90'9","75,77",8,3,4,0,0,0,0,4,0,0,26,11,8,5,10,3,16,9,61,39,0.00,0.00,2.31,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.22,6.00,13.00,1.14,1.62,2.27,3.98,2.20,1.62,Estádio José Alvalade (Lisboa)
1691937000,Aug 13 2023 - 2:30pm,complete,N/A,Rio Ave FC,GD Chaves,Ricardo Baixinho,1,0.00,0.00,1.53,0.59,2,0,2,0,0,0,"64,90'8","",14,3,3,0,3,1,1,2,3,1,26,7,11,2,11,4,12,20,75,25,0.00,0.00,2.87,0.72,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.41,3.10,2.97,1.41,2.25,4.14,8.45,1.95,1.80,Estádio do Rio Ave Futebol Clube (Vila do Conde)
1691946000,Aug 13 2023 - 5:00pm,complete,N/A,Estrela Amadora,Vitória Guimarães,Manuel Antonio Rodrigues Oliveira,1,0.00,0.00,1.24,1.65,0,1,1,1,0,1,"","24",3,10,3,1,3,0,1,3,1,2,6,12,0,5,4,3,14,17,49,51,0.00,0.00,0.57,1.22,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.46,3.22,2.92,1.38,2.18,3.75,7.50,1.95,1.80,Estádio José Gomes (Amadora)
1691955000,Aug 13 2023 - 7:30pm,complete,N/A,FC Arouca,GD Estoril Praia,N/A,1,0.00,0.00,1.41,0.47,4,3,7,2,1,1,"20,57,73,90'6","10,49,70",2,6,4,1,2,0,4,1,1,1,11,12,5,8,5,2,12,16,38,62,0.00,0.00,1.12,1.61,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.13,3.30,3.60,1.40,2.20,4.00,8.25,2.00,1.75,Estádio Municipal de Arouca (Arouca)
1692035100,Aug 14 2023 - 5:45pm,complete,N/A,Moreirense FC,Porto,Hélder Miguel Azevedo Malheiro,1,0.00,0.00,1.65,2.06,1,2,3,0,0,0,"51","67,74",5,10,4,0,6,1,0,4,1,6,10,17,2,8,5,4,22,15,38,62,0.00,0.00,0.89,1.67,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,7.25,4.30,1.35,1.16,1.61,2.40,4.20,1.80,1.95,Parque Desportivo Comendador Joaquim de Almeida Freitas (Moreira de Cónegos)
1692042300,Aug 14 2023 - 7:45pm,complete,N/A,Boavista FC,Benfica,António Emanuel Carvalho Nobre,1,0.00,0.00,1.18,1.94,3,2,5,1,0,1,"55,90,90'13","22,75",3,3,6,1,4,1,3,4,0,5,12,17,5,6,2,5,18,15,48,52,0.00,0.00,1.10,1.63,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,9.00,5.50,1.30,1.17,1.52,2.30,3.90,1.95,1.80,Estádio do Bessa Século XXI (Porto)
1692386100,Aug 18 2023 - 7:15pm,complete,N/A,Casa Pia,Sporting CP,Nuno Miguel Serrano Almeida,2,0.00,0.00,0.82,2.29,1,2,3,1,0,1,"58","3,61",4,5,4,0,1,0,1,3,0,1,13,18,4,6,4,9,14,11,44,56,0.00,0.00,1.09,1.67,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,7.40,4.75,1.42,1.22,1.76,2.60,4.60,1.95,1.75,Estádio Municipal de Rio Maior (Rio Maior)
1692455400,Aug 19 2023 - 2:30pm,complete,N/A,Vitória Guimarães,Gil Vicente,André Filipe Domingues Narciso,2,0.00,0.00,2.06,0.65,2,1,3,0,0,0,"62,82","55",6,4,3,0,3,0,0,3,2,1,16,11,5,7,9,2,14,14,47,53,0.00,0.00,1.56,1.33,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,3.25,3.44,1.36,2.06,3.50,6.50,1.85,1.91,Estádio Dom Afonso Henriques (Guimarães)
1692464400,Aug 19 2023 - 5:00pm,complete,N/A,GD Chaves,Sporting Braga,João António Ferreira Gonçalves,2,0.00,0.00,0.76,2.06,2,4,6,2,1,1,"43,53","16,58,81,90'6",5,6,2,1,2,0,1,2,1,1,18,17,6,8,10,4,12,11,44,56,0.00,0.00,1.73,1.70,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.33,4.20,1.54,1.25,1.70,2.75,4.75,1.83,1.98,Estádio Municipal Eng. Manuel Branco Teixeira (Chaves)
1692473400,Aug 19 2023 - 7:30pm,complete,N/A,Portimonense,Boavista FC,João Pedro Silva Pinheiro,2,0.00,0.00,0.88,0.71,1,4,5,3,0,3,"90'1","6,9,22,90'5",11,2,3,0,2,0,3,0,0,2,13,11,6,7,4,2,20,13,56,44,0.00,0.00,1.40,1.30,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.71,3.20,2.50,1.40,2.09,3.75,7.00,1.98,1.83,Estádio Municipal de Portimão (Portimão)
1692473400,Aug 19 2023 - 7:30pm,complete,58479,Benfica,Estrela Amadora,Gustavo Fernandes Correia,2,0.00,0.00,2.76,0.71,2,0,2,0,0,0,"79,90'3","",9,4,3,0,3,0,2,1,1,2,31,9,10,3,11,4,8,14,68,32,0.00,0.00,2.74,0.85,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.08,9.60,19.00,1.10,1.33,1.88,2.75,1.98,1.83,Estádio do Sport Lisboa e Benfica (da Luz) (Lisboa)
1692541800,Aug 20 2023 - 2:30pm,complete,N/A,GD Estoril Praia,Rio Ave FC,Iancu Ioan Vasilica,2,0.00,0.00,1.47,0.65,2,0,2,0,0,0,"55,90'8","",4,3,4,0,2,0,1,3,1,1,8,11,5,3,3,7,14,15,39,61,0.00,0.00,1.12,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.19,3.30,3.47,1.37,2.25,4.00,8.00,1.85,1.85,Estádio António Coimbra da Mota (Estoril)
1692550800,Aug 20 2023 - 5:00pm,complete,N/A,Porto,Farense,Cláudio Filipe Ruivo Pereira,2,0.00,0.00,2.18,0.88,2,1,3,2,1,1,"13,90'10","45'1",17,3,2,0,3,0,1,1,0,3,34,9,9,4,18,4,10,10,69,31,0.00,0.00,3.01,0.97,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.14,6.40,14.39,1.14,1.45,2.25,3.60,2.20,1.62,Estádio Do Dragão (Porto)
1692559800,Aug 20 2023 - 7:30pm,complete,N/A,FC Vizela,FC Arouca,Hélder Miguel Azevedo Malheiro,2,0.00,0.00,0.82,1.29,2,2,4,2,1,1,"9,88","39,64",6,3,7,1,6,1,4,4,5,2,17,11,8,3,4,4,23,13,52,48,0.00,0.00,1.83,0.88,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.16,3.30,3.15,1.33,2.12,3.50,6.50,1.85,1.85,Estádio Do Vizela (Caldas de Vizela)
1692645300,Aug 21 2023 - 7:15pm,complete,N/A,Famalicão,Moreirense FC,António Emanuel Carvalho Nobre,2,0.00,0.00,1.41,1.59,0,0,0,0,0,0,"","",3,6,3,1,3,0,3,1,1,2,7,19,3,5,2,6,16,13,34,66,0.00,0.00,0.69,1.62,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.07,3.15,3.35,1.30,2.15,3.40,6.50,1.80,1.95,Estádio Municipal 22 de Junho (Vila Nova de Famalicão)
1692990900,Aug 25 2023 - 7:15pm,complete,N/A,Estrela Amadora,GD Estoril Praia,N/A,3,0.00,0.00,1.24,0.47,2,1,3,0,0,0,"47,90'10","67",8,8,1,0,1,0,0,1,0,1,15,12,4,5,6,6,9,6,56,44,0.57,1.61,1.34,1.38,4.00,50,50,50,50,50,50,100,50,50,9.00,7.00,2.25,3.20,3.30,1.36,2.10,3.75,7.50,1.85,1.90,Estádio José Gomes (Amadora)
1693060200,Aug 26 2023 - 2:30pm,complete,N/A,FC Arouca,Portimonense,Carlos André Fernandes Macedo,3,3.00,0.00,1.41,1.00,1,1,2,1,0,1,"84","5",16,2,1,0,2,0,0,1,1,1,22,6,6,3,9,1,12,19,64,36,1.12,0.96,2.01,0.69,6.00,50,100,100,100,100,100,100,100,100,3.00,6.00,1.65,3.85,5.25,1.33,1.88,3.60,7.00,1.95,1.83,Estádio Municipal de Arouca (Arouca)
1693069200,Aug 26 2023 - 5:00pm,complete,N/A,Farense,GD Chaves,Luis Miguel Branco Godinho,3,0.00,0.00,1.29,0.59,5,0,5,4,4,0,"10,17,20,22,49","",7,4,2,0,1,0,0,2,0,1,19,20,10,7,4,5,24,15,46,54,1.29,0.72,1.93,1.54,2.50,0,100,50,0,0,0,50,100,100,8.00,6.00,2.30,3.25,3.20,1.33,2.35,3.60,7.00,1.83,1.95,Estádio de São Lúis (Faro)
1693078200,Aug 26 2023 - 7:30pm,complete,N/A,Gil Vicente,Benfica,João Pedro Silva Pinheiro,3,3.00,0.00,1.47,1.94,2,3,5,1,0,1,"74,90'8","19,53,90'4",1,5,3,0,3,0,2,1,1,2,14,15,8,8,5,3,16,14,50,50,1.30,1.63,1.71,1.68,5.00,50,100,100,100,100,50,100,100,100,4.00,6.00,9.75,6.00,1.25,1.14,1.52,2.17,3.75,1.85,1.90,Estádio Cidade de Barcelos (Barcelos)
