timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1694188800,Sep 08 2023 - 4:00pm,complete,N/A,Os Limianos,Varzim,N/A,N/A,0.00,0.00,0.50,1.00,2,2,4,3,2,1,"23,39","30,80",2,12,-1,-1,-1,-1,-1,-1,-1,-1,13,16,7,11,6,5,-1,-1,44,56,0.00,0.00,1.74,2.45,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,6.00,3.80,1.45,1.36,2.20,3.82,7.40,2.50,1.50,Estádio do Cruzeiro
1694253600,Sep 09 2023 - 10:00am,complete,N/A,União Lamas,Paredes,N/A,N/A,0.00,0.00,1.00,1.75,2,2,4,1,0,1,"75,93","41,110",8,10,-1,-1,-1,-1,-1,-1,-1,-1,15,26,4,11,11,15,-1,-1,40,60,0.00,0.00,1.73,3.29,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.20,3.60,1.67,1.29,2.00,3.25,6.20,1.91,1.80,Stade René Gaillard
1694268000,Sep 09 2023 - 2:00pm,complete,N/A,Peniche,Marinhense,N/A,N/A,0.00,0.00,1.00,1.00,1,1,2,0,0,0,"92","120'1",10,6,-1,-1,-1,-1,-1,-1,-1,-1,18,18,5,7,13,11,-1,-1,44,56,0.00,0.00,2.11,2.51,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.75,3.30,1.83,1.39,2.25,4.10,8.00,2.10,1.67,Estádio do Peniche
1694269800,Sep 09 2023 - 2:30pm,complete,N/A,Flamengos,Fontinhas,N/A,N/A,0.00,0.00,0.00,1.50,0,2,2,1,0,1,"","4,47",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1694277000,Sep 09 2023 - 4:30pm,complete,N/A,Associação Académica de Coimbra OAF,União de Coimbra,N/A,N/A,0.00,0.00,2.00,0.00,3,0,3,0,0,0,"92,105'1,112","",12,4,-1,-1,-1,-1,-1,-1,-1,-1,36,11,15,4,21,7,-1,-1,66,34,0.00,0.00,4.14,1.28,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.29,4.50,8.50,1.35,2.15,3.60,7.25,3.00,1.36,Estádio EFAPEL
1694343600,Sep 10 2023 - 11:00am,complete,N/A,Guadalupe,Fabril Barreiro,N/A,N/A,0.00,0.00,0.00,1.50,0,1,1,0,0,0,"","86",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Campo de Jogos de Guadalupe
1694350800,Sep 10 2023 - 1:00pm,complete,N/A,Fafe,Felgueiras 1932,N/A,N/A,0.00,0.00,0.00,2.00,1,2,3,0,0,0,"48","71,108",4,17,-1,-1,-1,-1,-1,-1,-1,-1,10,19,5,6,5,13,-1,-1,37,63,0.00,0.00,1.35,2.37,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.00,3.40,2.05,1.35,2.20,3.72,7.40,2.00,1.73,Parque Municipal dos Desportos
1694354400,Sep 10 2023 - 2:00pm,complete,N/A,Amora,Vitória do Pico,N/A,N/A,0.00,0.00,1.50,0.00,8,0,8,2,2,0,"2,9,47,52,55,77,83,87","",18,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estádio da Medideira
1694354400,Sep 10 2023 - 2:00pm,complete,N/A,Amiense,Benfica Castelo Branco,N/A,N/A,0.00,0.00,0.00,2.00,0,7,7,4,0,4,"","25,27,37,45,57,72,80",2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1694354400,Sep 10 2023 - 2:00pm,complete,N/A,União Santarém,Proença-a-Nova,N/A,N/A,0.00,0.00,1.50,0.00,6,0,6,0,0,0,"","",13,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
