timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1689348600,Jul 14 2023 - 3:30pm,complete,N/A,Oţelul Galaţi,UTA Arad,Andrei Florin Chivulete,1,0.00,0.00,1.38,1.00,1,1,2,1,0,1,"62","45'5",3,3,2,0,2,0,0,2,0,2,13,10,6,5,6,3,19,15,44,56,0.00,0.00,1.66,1.25,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.05,3.00,2.26,1.56,2.55,4.50,9.00,2.00,1.73,Stadionul Oţelul (Galaţi)
1689359400,Jul 14 2023 - 6:30pm,complete,N/A,Rapid Bucureşti,Sepsi,N/A,1,0.00,0.00,1.75,1.15,0,0,0,0,0,0,"","",5,0,2,0,6,0,1,1,2,4,19,11,8,3,7,8,14,17,66,34,0.00,0.00,1.95,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.89,2.97,3.80,1.51,2.08,4.20,7.00,1.91,1.80,Superbet Arena-Giulești (București)
1689435000,Jul 15 2023 - 3:30pm,complete,N/A,Hermannstadt,SSC Farul,Istvan Kovacs,1,0.00,0.00,1.90,1.40,0,1,1,0,0,0,"","57",6,2,3,0,6,0,1,2,2,4,17,11,10,4,4,6,14,13,47,53,0.00,0.00,1.97,1.25,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.18,3.18,2.35,1.49,2.55,4.75,9.00,2.10,1.67,Stadionul Municipal (Sibiu)
1689445800,Jul 15 2023 - 6:30pm,complete,N/A,CFR Cluj,CSM Iaşi,Adrian Viorel Cojocaru,1,0.00,0.00,2.15,0.85,2,0,2,1,1,0,"12,49","",3,4,2,0,4,0,1,1,2,2,13,13,5,5,3,6,15,15,34,66,0.00,0.00,1.15,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.30,4.50,11.00,1.49,2.16,3.72,7.30,2.75,1.40,Stadionul Dr. Constantin Rădulescu (Cluj-Napoca)
1689521400,Jul 16 2023 - 3:30pm,complete,N/A,Petrolul 52,Universitatea Cluj,Marcel Bîrsan,1,0.00,0.00,1.40,1.48,1,1,2,2,1,1,"30","14",5,7,0,0,2,0,0,0,0,2,12,11,7,5,3,2,12,12,53,47,0.00,0.00,1.61,1.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.42,2.96,2.71,1.54,2.32,4.80,10.00,2.00,1.73,Stadionul Ilie Oană (Ploieşti)
1689532200,Jul 16 2023 - 6:30pm,complete,N/A,U Craiova 1948,FCSB,Radu Petrescu,1,0.00,0.00,1.26,1.90,1,3,4,2,0,2,"74","8,17,60",6,4,1,0,2,0,0,1,0,2,11,10,4,8,3,2,12,11,54,46,0.00,0.00,1.24,1.50,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.00,3.40,1.87,1.40,2.15,4.35,9.50,2.00,1.73,Stadionul Municipal Constantina Diță (Târgu Jiu)
1689607800,Jul 17 2023 - 3:30pm,complete,N/A,Voluntari,Botoşani,Cătălin Ion Busi,1,0.00,0.00,1.00,0.55,2,1,3,0,0,0,"54,59","89",6,3,2,0,2,0,0,2,1,1,15,10,4,5,3,4,17,12,43,57,0.00,0.00,1.18,1.24,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.29,2.91,2.86,1.49,2.44,4.50,8.00,2.10,1.67,Stadionul Anghel Iordănescu (Voluntari)
1689618600,Jul 17 2023 - 6:30pm,complete,N/A,Dinamo Bucureşti,CS U Craiova,Horațiu Mircea Fesnic,1,0.00,0.00,1.37,1.65,0,2,2,0,0,0,"","54,90'6",4,1,4,0,4,0,1,3,0,4,14,13,4,8,8,5,23,20,53,47,0.00,0.00,1.44,1.74,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.45,3.64,1.67,1.32,2.06,3.90,6.20,2.10,1.67,Stadionul Arcul de Triumf (București)
1689953400,Jul 21 2023 - 3:30pm,complete,N/A,Sepsi,U Craiova 1948,Adrian Viorel Cojocaru,2,0.00,0.00,1.60,0.65,1,0,1,0,0,0,"89","",7,2,1,1,2,1,1,1,2,1,22,8,4,2,10,3,16,11,53,47,0.00,0.00,1.77,0.74,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.72,3.74,4.80,1.33,1.96,3.75,6.90,1.90,1.83,Arena Sepsi OSK (Sfântu Gheorghe)
1689964200,Jul 21 2023 - 6:30pm,complete,N/A,UTA Arad,CFR Cluj,George Cătălin Găman,2,0.00,0.00,1.90,1.45,1,3,4,3,1,2,"27","29,40,85",5,7,3,0,2,0,2,1,1,1,8,18,4,6,3,6,12,14,44,56,0.00,0.00,1.05,1.68,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.10,3.00,2.25,1.38,2.23,4.00,8.50,1.91,1.80,Stadionul Francisc von Neuman (Arad)
1690038900,Jul 22 2023 - 3:15pm,complete,N/A,SSC Farul,Voluntari,Ionuţ Coza,2,0.00,0.00,1.45,0.95,4,1,5,2,1,1,"29,55,65,90'6","9",7,3,1,0,1,0,0,1,0,1,25,12,11,5,9,4,9,11,66,34,0.00,0.00,2.87,1.31,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.78,3.50,3.65,1.30,1.96,3.30,6.75,1.72,2.05,Stadionul Central (Ovidiu)
1690050600,Jul 22 2023 - 6:30pm,complete,N/A,FCSB,Dinamo Bucureşti,N/A,2,0.00,0.00,2.15,0.65,2,1,3,2,2,0,"30,35","83",9,1,3,0,2,0,1,2,2,0,22,9,7,3,8,6,19,14,50,50,0.00,0.00,2.11,1.07,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.62,3.98,5.36,1.18,1.92,2.48,4.50,1.82,1.88,Stadionul Arcul de Triumf (București)
