timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1689955200,Jul 21 2023 - 4:00pm,complete,N/A,Dinamo Moskva,Krasnodar,Kirill Levnikov,1,0.00,0.00,2.13,1.40,1,3,4,2,0,2,"61","27,35,53",4,3,1,0,1,0,0,1,0,1,13,12,5,7,7,3,10,14,54,46,0.00,0.00,1.57,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.34,3.66,2.84,1.19,1.79,2.60,4.65,1.57,2.25,VTB Arena (Moskva)
1690020000,Jul 22 2023 - 10:00am,complete,N/A,Ural,CSKA Moskva,Aleksey Amelin,1,0.00,0.00,1.27,1.27,2,1,3,1,1,0,"21,54","62",5,3,2,0,2,0,1,1,0,2,11,9,4,4,5,2,11,8,34,66,0.00,0.00,1.10,1.07,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.40,3.43,2.19,1.38,1.83,4.05,7.80,2.01,1.77,Ekaterinburg Arena (Ekaterinburg)
1690028100,Jul 22 2023 - 12:15pm,complete,N/A,Olimpiyets,Zenit,Sergey Ivanov,1,0.00,0.00,1.60,1.87,0,2,2,0,0,0,"","57,83",1,6,2,1,1,0,1,2,0,1,6,12,3,3,3,6,16,6,22,78,0.00,0.00,0.77,1.26,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,7.40,5.10,1.38,1.19,1.72,2.79,4.75,1.87,1.90,Stadion Nizhny Novgorod (Nizhniy Novgorod)
1690036200,Jul 22 2023 - 2:30pm,complete,6720,Lokomotiv Moskva,Rubin Kazan,Vladislav Bezborodov,1,0.00,0.00,1.87,1.40,2,2,4,2,1,1,"23,87","3,58",8,3,1,0,1,0,1,0,0,1,14,20,6,8,6,10,13,12,53,47,0.00,0.00,1.57,2.05,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.72,3.92,4.62,1.22,1.78,2.83,5.15,1.77,2.02,RZD Arena (Moskva)
1690045200,Jul 22 2023 - 5:00pm,complete,N/A,Akhmat Grozny,Krylya Sovetov,Sergey Karasev,1,0.00,0.00,1.20,0.93,1,2,3,1,0,1,"90'5","13,85",4,8,2,0,2,0,0,2,0,2,22,11,3,6,9,3,15,8,56,44,0.00,0.00,1.37,1.26,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.70,3.95,1.24,1.90,2.88,5.35,1.67,2.17,Akhmat Arena (Groznyi)
1690122600,Jul 23 2023 - 2:30pm,complete,N/A,Spartak Moskva,Orenburg,Artem Chistyakov,1,0.00,0.00,2.20,0.60,3,2,5,1,1,0,"45,76,90'1","50,67",13,2,2,0,4,0,0,2,1,3,25,8,8,5,6,3,12,10,55,45,0.00,0.00,1.80,1.21,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.50,4.50,5.10,1.18,1.45,2.22,4.45,1.74,2.02,Otkritie Bank Arena (Moskva)
1690131600,Jul 23 2023 - 5:00pm,complete,N/A,Rostov,Fakel,Pavel Shadykhanov,1,0.00,0.00,2.07,0.87,2,1,3,2,1,1,"39,56","17",4,4,2,0,4,0,1,1,2,2,18,18,7,6,6,7,15,9,59,41,0.00,0.00,1.65,1.52,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.63,3.85,5.00,1.24,1.94,2.93,5.40,1.96,1.85,Rostov Arena (Rostov-na-Donu)
1690131600,Jul 23 2023 - 5:00pm,complete,N/A,FK Sochi,Baltika,Rafael Shafeev,1,0.00,0.00,1.13,0.33,2,0,2,1,1,0,"6,82","",5,3,1,0,1,0,0,1,0,1,13,10,4,4,4,6,12,10,45,55,0.00,0.00,1.06,1.31,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.68,3.90,4.50,1.26,1.75,3.02,5.70,1.83,1.91,Olimpiyskiy Stadion Fisht (Sochi)
1690632000,Jul 29 2023 - 12:00pm,complete,N/A,Krylya Sovetov,Dinamo Moskva,Artem Lyubimov,2,0.00,0.00,1.80,1.60,3,3,6,4,1,3,"35,74,90'1","8,30,39",3,3,3,0,2,0,1,2,2,0,18,10,8,6,7,2,9,15,53,47,0.00,0.00,1.94,1.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.41,3.32,2.41,1.22,1.82,2.79,5.10,1.62,2.21,Solidarnost Arena (Samara)
1690641000,Jul 29 2023 - 2:30pm,complete,N/A,Ural,Olimpiyets,Artem Chistyakov,2,3.00,0.00,1.27,0.40,0,0,0,0,0,0,"","",3,3,0,0,0,0,0,0,0,0,8,9,2,4,5,4,16,9,54,46,1.10,0.00,0.99,1.12,1.50,50,50,50,0,0,0,50,50,50,5.00,2.00,1.98,3.10,3.74,1.29,2.29,3.26,6.20,1.79,1.96,Ekaterinburg Arena (Ekaterinburg)
1690650000,Jul 29 2023 - 5:00pm,complete,16339,Rostov,Zenit,Evgeny Kukulyak,2,3.00,3.00,2.07,1.87,1,1,2,1,0,1,"90'3","43",6,8,4,0,1,0,0,4,0,1,14,7,5,2,7,5,11,12,51,49,1.65,1.26,1.45,0.79,2.50,50,100,50,0,0,50,50,50,100,10.00,3.00,4.90,3.80,1.63,1.24,1.82,2.93,5.50,1.81,1.89,Rostov Arena (Rostov-na-Donu)
1690718400,Jul 30 2023 - 12:00pm,complete,N/A,Rubin Kazan,Orenburg,Vitaly Meshkov,2,0.00,0.00,1.40,0.60,1,1,2,1,1,0,"35","81",4,6,1,0,3,0,0,1,1,2,10,18,5,5,3,7,18,11,41,59,0.00,1.21,1.17,1.53,2.50,50,50,50,50,50,0,50,50,50,2.00,4.00,2.40,3.71,3.04,1.21,1.65,2.71,4.90,1.61,2.23,Ak Bars Arena (Kazan')
1690727400,Jul 30 2023 - 2:30pm,complete,13085,Fakel,Lokomotiv Moskva,Vasiliy Kazartsev,2,0.00,0.00,1.27,1.67,1,4,5,2,1,1,"33","12,60,67,89",6,6,3,0,3,0,1,2,1,2,19,16,7,6,7,8,12,14,52,48,0.00,0.00,1.88,1.74,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.87,3.32,2.08,1.23,1.75,2.88,5.30,1.65,2.16,Central'nyi Stadion Profsoyuzov (Voronezh)
1690736400,Jul 30 2023 - 5:00pm,complete,N/A,Krasnodar,FK Sochi,Vladimir Moskalev,2,0.00,0.00,2.33,0.47,2,0,2,1,1,0,"45,90'4","",7,7,1,0,0,0,0,1,0,0,16,14,6,6,6,3,6,11,54,46,0.00,0.00,1.46,1.34,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.60,3.95,4.80,1.19,1.71,2.64,4.70,1.72,2.05,Stadion FK Krasnodar (Krasnodar)
1690736400,Jul 30 2023 - 5:00pm,complete,N/A,Akhmat Grozny,CSKA Moskva,Vladislav Bezborodov,2,0.00,0.00,1.20,1.27,2,3,5,4,2,2,"27,45'11","13,45'1,79",6,2,3,2,1,1,1,4,2,0,15,12,6,7,5,3,21,12,43,57,1.37,1.07,1.41,1.47,3.00,100,100,100,0,0,0,100,100,100,7.00,4.00,3.15,3.50,2.05,1.23,1.94,2.88,5.30,1.68,2.11,Akhmat Arena (Groznyi)
1690821000,Jul 31 2023 - 4:30pm,complete,N/A,Spartak Moskva,Baltika,Pavel Kukuyan,2,3.00,0.00,2.20,0.33,2,1,3,1,1,0,"43,84","90",5,2,2,0,1,0,0,2,0,1,18,15,6,8,8,5,12,12,64,36,1.80,1.31,1.63,1.85,3.50,50,100,50,50,50,0,100,50,100,16.00,3.00,1.41,4.40,6.20,1.18,1.65,2.54,4.50,1.85,1.89,Otkritie Bank Arena (Moskva)
1691168400,Aug 04 2023 - 5:00pm,complete,12217,Krasnodar,Olimpiyets,Artem Lyubimov,3,3.00,1.00,2.33,0.40,1,0,1,1,1,0,"30","",11,1,1,0,0,0,0,1,0,0,8,10,2,2,2,5,12,14,69,31,1.46,1.12,0.69,0.84,1.00,0,50,0,0,0,0,50,0,50,10.00,1.00,1.67,3.80,5.00,1.27,2.07,3.14,5.90,1.95,1.80,Stadion FK Krasnodar (Krasnodar)
1691236800,Aug 05 2023 - 12:00pm,complete,N/A,Krylya Sovetov,Rostov,Sergey Karasev,3,1.00,0.00,1.80,0.80,5,1,6,4,3,1,"4,10,35,73,90'6","22",1,13,1,0,4,0,0,1,2,2,12,16,8,6,3,5,7,12,41,59,1.94,0.00,1.51,1.51,3.00,50,50,50,50,50,50,50,50,50,3.00,3.00,2.32,3.40,2.70,1.30,1.95,3.32,6.40,1.80,1.95,Solidarnost Arena (Samara)
