timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1691235000,Aug 05 2023 - 11:30am,complete,N/A,Celtic,Ross County,Nick Walsh,1,0.00,0.00,2.53,0.47,4,2,6,3,3,0,"17,26,42,73","60,90'5",4,8,0,0,4,0,0,0,2,2,19,8,13,3,3,4,6,14,75,25,0.00,0.00,2.29,0.99,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.11,10.65,18.83,1.06,1.30,1.71,2.84,2.00,1.75,Celtic Park (Glasgow)
1691244000,Aug 05 2023 - 2:00pm,complete,N/A,Dundee,Motherwell,David Dickinson,1,0.00,0.00,1.26,1.16,1,1,2,1,0,1,"68","45",7,12,0,0,2,0,0,0,0,2,18,14,3,4,6,6,12,12,41,59,0.00,0.00,1.05,1.38,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.80,3.35,2.40,1.30,1.87,3.40,6.50,1.70,2.05,Kilmac Stadium at Dens Park (Dundee)
1691244000,Aug 05 2023 - 2:00pm,complete,N/A,Livingston,Aberdeen,John Beaton,1,0.00,0.00,1.00,1.05,0,0,0,0,0,0,"","",7,7,3,0,4,0,1,2,2,2,13,12,3,0,7,5,22,13,47,53,0.00,0.00,1.25,0.72,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.88,3.30,2.35,1.33,1.78,3.60,7.00,1.75,2.00,Tony Macaroni Arena (Livingston)
1691244000,Aug 05 2023 - 2:00pm,complete,N/A,St. Johnstone,Hearts,Steven McLean,1,0.00,0.00,1.00,1.68,0,2,2,0,0,0,"","75,90'6",6,9,2,0,3,0,2,0,1,2,11,17,4,10,3,7,15,13,32,68,0.00,0.00,1.04,2.16,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.00,3.40,2.25,1.28,1.78,3.25,6.00,1.70,2.05,McDiarmid Park (Perth)
1691252100,Aug 05 2023 - 4:15pm,complete,N/A,Kilmarnock,Rangers,William Collum,1,0.00,0.00,1.84,2.05,1,0,1,0,0,0,"65","",2,8,0,0,0,0,0,0,0,0,12,19,4,5,6,11,7,10,32,68,0.00,0.00,1.21,1.88,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,6.50,5.25,1.35,1.17,1.40,2.14,4.00,1.70,2.05,The BBSP Stadium Rugby Park (Kilmarnock)
1691330400,Aug 06 2023 - 2:00pm,complete,N/A,Hibernian,St. Mirren,Euan Anderson,1,0.00,0.00,1.32,1.00,2,3,5,2,0,2,"72,82","15,17,89",2,7,2,0,2,0,1,1,1,1,16,9,8,5,5,2,14,7,59,41,0.00,0.00,1.85,1.10,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.30,3.75,1.30,1.78,3.50,6.50,1.75,2.00,Easter Road Stadium (Edinburgh)
1691848800,Aug 12 2023 - 2:00pm,complete,N/A,Rangers,Livingston,Don Robertson,2,0.00,0.00,2.42,0.32,4,0,4,1,1,0,"10,78,84,90","",5,4,1,0,1,0,0,1,0,1,23,7,10,3,7,4,9,9,69,31,0.00,0.00,2.12,0.87,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.22,5.40,8.75,1.15,1.50,2.30,3.75,2.00,1.68,Ibrox Stadium (Glasgow)
1691848800,Aug 12 2023 - 2:00pm,complete,N/A,Ross County,St. Johnstone,William Collum,2,0.00,0.00,1.37,0.84,2,0,2,1,1,0,"40,51","",6,7,2,0,2,0,0,2,1,1,20,13,9,4,6,6,11,14,44,56,0.00,0.00,1.92,1.21,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.03,3.25,3.15,1.40,2.15,4.00,7.50,1.95,1.73,Global Energy Stadium (Dingwall)
1691848800,Aug 12 2023 - 2:00pm,complete,N/A,St. Mirren,Dundee,Colin Steven,2,0.00,0.00,1.47,0.95,2,1,3,2,2,0,"7,45'4","63",4,3,2,0,3,0,1,1,0,3,16,8,3,5,7,2,8,8,48,52,0.00,0.00,1.24,1.23,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.91,3.26,3.16,1.33,1.96,3.40,6.50,1.80,1.91,The SMISA Stadium (Paisley)
1691924400,Aug 13 2023 - 11:00am,complete,N/A,Aberdeen,Celtic,Kevin Clancy,2,0.00,0.00,1.47,2.37,1,3,4,3,1,2,"25","11,29,84",9,9,0,0,2,0,0,0,1,1,12,17,3,11,6,4,12,11,33,67,0.00,0.00,1.08,2.11,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,6.00,4.55,1.38,1.14,1.47,2.00,3.75,1.67,2.10,Pittodrie Stadium (Aberdeen)
1691935200,Aug 13 2023 - 2:00pm,complete,N/A,Hearts,Kilmarnock,David Dickinson,2,0.00,0.00,1.89,1.11,0,0,0,0,0,0,"","",6,5,3,0,4,0,2,1,0,4,9,16,2,6,5,5,12,16,64,36,0.00,0.00,1.00,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.45,4.00,1.25,1.91,2.90,5.25,1.70,2.00,Tynecastle Park (Edinburgh)
1691935200,Aug 13 2023 - 2:00pm,complete,N/A,Motherwell,Hibernian,Matthew McDermid,2,0.00,0.00,1.11,1.11,2,1,3,0,0,0,"66,85","90'4",5,2,1,0,4,0,0,1,1,3,11,5,4,2,4,2,14,16,49,51,0.00,0.00,1.15,0.74,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.65,3.40,2.63,1.31,1.96,3.25,6.25,1.75,1.95,Fir Park (Motherwell)
1693049400,Aug 26 2023 - 11:30am,complete,N/A,Ross County,Rangers,David Munro,3,3.00,0.00,1.37,2.05,0,2,2,2,0,2,"","22,26",4,8,3,0,1,0,1,2,0,1,9,25,3,10,4,6,10,12,34,66,1.92,1.88,0.96,2.22,1.50,0,50,0,0,0,0,50,0,100,14.00,2.00,7.80,5.40,1.24,1.18,1.54,2.50,4.33,1.95,1.80,Global Energy Stadium (Dingwall)
1693058400,Aug 26 2023 - 2:00pm,complete,N/A,Celtic,St. Johnstone,Matthew McDermid,3,3.00,0.00,2.53,0.84,0,0,0,0,0,0,"","",19,1,1,0,3,0,0,1,1,2,20,6,6,3,10,3,9,12,75,25,2.29,1.21,2.26,0.74,4.00,50,100,50,50,50,50,100,50,100,11.00,2.00,1.07,13.00,33.00,1.05,1.30,1.73,2.57,3.00,1.36,Celtic Park (Glasgow)
1693058400,Aug 26 2023 - 2:00pm,complete,N/A,Hibernian,Livingston,Craig Napier,3,0.00,0.00,1.32,0.32,2,3,5,1,0,1,"61,86","8,63,75",9,3,2,0,4,0,2,0,2,2,14,9,4,5,2,2,12,10,67,33,1.85,0.87,1.37,0.97,4.50,50,100,100,100,50,50,100,100,100,6.00,3.00,1.72,3.55,3.90,1.26,1.99,3.08,5.80,1.91,1.91,Easter Road Stadium (Edinburgh)
1693058400,Aug 26 2023 - 2:00pm,complete,N/A,Motherwell,Kilmarnock,Chris Graham,3,3.00,1.00,1.11,1.11,2,1,3,1,0,1,"59,90'8","12",1,6,6,0,3,0,1,5,1,2,14,13,8,4,5,5,15,19,51,49,1.15,1.43,1.68,1.37,1.50,50,50,50,0,0,0,0,50,50,10.00,5.00,2.45,3.25,2.95,1.33,2.10,3.55,6.90,1.80,1.95,Fir Park (Motherwell)
1693144800,Aug 27 2023 - 2:00pm,complete,N/A,Dundee,Hearts,Alan James Muir,3,1.00,3.00,1.26,1.68,1,0,1,0,0,0,"63","",3,8,1,0,1,0,1,0,1,0,13,13,5,6,5,3,16,10,35,65,1.05,2.16,1.23,1.49,2.00,50,100,0,0,0,0,50,50,100,16.00,3.00,2.90,3.35,2.45,1.30,1.98,3.50,6.50,1.70,2.05,Kilmac Stadium at Dens Park (Dundee)
1693144800,Aug 27 2023 - 2:00pm,complete,N/A,St. Mirren,Aberdeen,John Beaton,3,3.00,1.00,1.47,1.05,2,2,4,1,0,1,"59,76","42,90'10",4,3,2,0,2,0,1,1,0,2,14,5,7,3,3,1,9,14,47,53,1.24,0.72,1.55,0.77,1.50,50,50,50,0,0,50,50,0,50,11.00,6.00,2.45,3.10,3.10,1.33,2.26,3.60,7.00,1.75,2.00,The SMISA Stadium (Paisley)
1693663200,Sep 02 2023 - 2:00pm,complete,N/A,Kilmarnock,Ross County,Kevin Clancy,4,3.00,0.00,1.84,0.47,0,1,1,0,0,0,"","53",14,2,0,0,5,0,0,0,2,3,16,10,5,5,5,3,9,17,61,39,1.21,0.99,1.40,1.18,3.50,50,50,50,50,50,50,50,50,100,10.00,4.00,1.96,3.30,2.97,1.36,2.10,3.75,7.50,1.91,1.91,The BBSP Stadium Rugby Park (Kilmarnock)
