timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1690569000,Jul 28 2023 - 6:30pm,complete,N/A,Dukla Banská Bystrica,Podbrezová,Ivan Kružliak,1,0.00,0.00,1.38,0.81,1,4,5,3,1,2,"29","34,41,90'2,90'5",6,6,3,0,3,0,1,2,1,2,17,20,4,10,6,6,19,14,47,53,0.00,0.00,1.27,2.11,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,3.45,2.68,1.19,1.65,2.52,4.43,1.53,2.38,Štadión SNP Štiavničky (Banská Bystrica)
1690646400,Jul 29 2023 - 4:00pm,complete,N/A,Skalica,Zlaté Moravce,Petár Kralovic,1,0.00,0.00,1.56,0.31,2,0,2,0,0,0,"58,83","",4,6,1,0,0,0,0,1,0,0,10,8,4,2,5,5,20,12,38,62,0.00,0.00,1.38,1.28,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.73,3.30,3.75,1.30,1.90,3.50,6.50,2.00,1.73,Mestský štadión (Skalica)
1690646400,Jul 29 2023 - 4:00pm,complete,N/A,Zemplín Michalovce,DAC,Erik Gemzický,1,0.00,0.00,1.06,1.50,0,0,0,0,0,0,"","",2,7,0,0,2,0,0,0,0,2,5,14,2,4,2,5,13,12,24,76,0.00,0.00,0.55,1.23,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.25,3.30,1.85,1.28,1.85,3.10,5.75,1.80,1.91,Futbalový štadión MFK Zemplín (Michalovce)
1690655400,Jul 29 2023 - 6:30pm,complete,N/A,FK Košice,Slovan Bratislava,Michal Ocenas,1,0.00,0.00,1.00,2.31,0,0,0,0,0,0,"","",5,7,3,0,2,0,0,3,1,1,7,18,3,6,2,10,11,14,38,62,0.00,0.00,0.90,1.96,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.60,3.70,1.58,1.19,1.68,2.45,4.43,1.67,2.10,Košická futbalová aréna (Košice)
1690732800,Jul 30 2023 - 4:00pm,complete,N/A,Žilina,Ružomberok,Boris Marhefka,1,0.00,0.00,2.00,1.00,3,1,4,1,1,0,"38,70,83","58",5,4,1,0,2,0,0,1,1,1,18,7,13,4,5,3,8,15,60,40,0.00,0.00,2.42,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.19,2.55,1.25,1.67,2.90,5.00,1.62,2.20,Štadión Pod Dubňom (Žilina)
1690732800,Jul 30 2023 - 4:00pm,complete,N/A,Spartak Trnava,Trenčín,Michal Smolak,1,0.00,0.00,1.94,1.25,1,2,3,1,0,1,"59","36,90'6",5,7,1,0,2,0,0,1,1,1,8,10,4,6,4,4,5,9,41,59,0.00,0.00,1.28,1.48,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.38,3.63,5.88,1.22,1.66,2.75,4.65,1.83,1.83,CITY ARENA – Štadión Antona Malatinského (Trnava)
1691173800,Aug 04 2023 - 6:30pm,complete,N/A,Ružomberok,Skalica,Peter Ziemba,2,0.00,0.00,1.94,0.94,2,1,3,1,0,1,"55,71","11",2,6,1,0,3,0,0,1,0,3,13,8,8,4,3,3,10,15,46,54,0.00,0.00,1.66,1.06,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.90,3.35,3.70,1.36,2.01,4.00,7.00,1.90,1.83,Futbalový štadión MFK Ružomberok (Ružomberok)
1691251200,Aug 05 2023 - 4:00pm,complete,N/A,Slovan Bratislava,Dukla Banská Bystrica,N/A,2,0.00,0.00,2.25,1.81,2,2,4,2,1,1,"37,50","11,87",8,6,0,0,2,0,0,0,0,2,13,12,7,4,3,2,7,20,60,40,0.00,0.00,1.72,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.25,5.10,7.50,1.15,1.53,2.23,3.50,2.10,1.67,Štadión Tehelné pole (Bratislava)
1691251200,Aug 05 2023 - 4:00pm,complete,N/A,Trenčín,Zemplín Michalovce,Bálint Kišš,2,0.00,0.00,1.81,0.63,2,0,2,1,1,0,"35,81","",8,4,3,0,2,0,0,3,1,1,11,12,7,2,3,7,8,7,66,34,0.00,0.00,1.62,1.03,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.64,3.60,4.20,1.25,1.75,3.00,5.00,1.75,2.00,Mestský futbalový štadión Na Sihoti (Trenčín)
1691251200,Aug 05 2023 - 4:00pm,complete,N/A,DAC,FK Košice,Marián Ruc,2,0.00,0.00,2.13,0.69,5,2,7,3,3,0,"9,26,38,61,82","79,83",6,2,1,0,4,0,1,0,3,1,22,18,10,7,6,5,11,18,64,36,0.00,0.00,2.22,1.65,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.40,4.36,5.03,1.18,1.60,2.50,4.33,1.75,2.00,MOL Aréna (Dunajská Streda)
