timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1690039800,Jul 22 2023 - 3:30pm,complete,N/A,Mura,Domžale,Alen Bubek,1,0.00,0.00,1.00,1.22,2,3,5,3,2,1,"11,24","30,78,90'4",2,4,4,0,2,0,0,4,1,1,14,7,7,4,3,2,14,16,43,57,0.00,0.00,1.56,1.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.04,3.40,3.40,1.28,1.82,3.10,5.90,1.72,2.05,Mestni Štadion Fazanerija (Murska Sobota)
1690039800,Jul 22 2023 - 3:30pm,complete,N/A,Bravo,Rogaška,Mihael Antič,1,0.00,0.00,1.56,1.06,2,0,2,1,1,0,"1,72","",4,6,1,0,2,0,1,0,1,1,14,19,6,7,6,7,10,17,45,55,0.00,0.00,1.40,1.67,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.81,3.50,4.10,1.30,1.92,3.30,5.75,1.83,1.90,Športni Park Šiška (Ljubljana)
1690049700,Jul 22 2023 - 6:15pm,complete,N/A,Koper,Olimpija,Alen Borošak,1,0.00,0.00,1.44,1.94,2,1,3,0,0,0,"58,88","90'1",3,5,3,0,3,0,1,2,1,2,7,11,4,5,2,5,14,14,41,59,0.00,0.00,0.99,1.61,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.69,3.15,2.30,1.29,1.86,3.23,5.95,1.72,2.00,ŠRC Bonifika (Koper)
1690126200,Jul 23 2023 - 3:30pm,complete,N/A,Radomlje,Maribor,David Smajc,1,0.00,0.00,0.78,1.33,0,4,4,2,0,2,"","28,36,62,88",10,6,1,0,0,0,0,1,0,0,10,15,3,10,6,3,6,6,51,49,0.00,0.00,1.18,1.97,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.86,3.60,1.76,1.26,1.79,2.97,5.35,1.75,2.00,Športni Park (Domžale)
1690136100,Jul 23 2023 - 6:15pm,complete,N/A,Aluminij,Celje,N/A,1,0.00,0.00,0.72,2.11,2,2,4,1,1,0,"3,80","59,89",1,5,0,0,0,0,0,0,0,0,14,13,6,5,5,5,14,9,36,64,0.00,0.00,1.50,1.55,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.90,3.40,2.08,1.28,1.86,3.30,5.25,1.70,2.05,Športni Park Aluminij (Kidričevo)
1690644600,Jul 29 2023 - 3:30pm,complete,N/A,Koper,Radomlje,N/A,2,3.00,0.00,1.44,1.06,1,0,1,1,1,0,"38","",5,2,1,0,0,0,0,1,0,0,13,8,3,2,9,6,13,12,52,48,0.99,0.00,1.55,1.09,1.50,50,50,50,0,0,0,0,50,50,3.00,3.00,1.70,3.45,4.15,1.33,2.01,3.50,6.50,1.91,1.80,ŠRC Bonifika (Koper)
1690654500,Jul 29 2023 - 6:15pm,complete,N/A,Olimpija,Rogaška,Slavko Vinčić,2,0.00,0.00,1.61,1.06,5,0,5,2,2,0,"8,45'2,80,85,88","",12,2,1,0,2,0,0,1,0,2,21,8,11,3,6,3,10,14,69,31,0.00,1.67,2.57,0.89,1.00,0,50,0,0,0,0,50,0,50,6.00,2.00,1.29,4.85,7.10,1.22,1.60,2.62,4.50,1.94,1.77,Stadion Stožice (Ljubljana)
1690731000,Jul 30 2023 - 3:30pm,complete,N/A,Domžale,Bravo,Dejan Balažič,2,0.00,0.00,1.17,1.22,1,1,2,1,0,1,"48","44",6,2,1,0,2,0,0,1,1,1,14,11,5,4,8,4,15,11,56,44,0.00,0.00,1.74,1.16,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,2.98,2.87,1.38,2.09,4.00,7.00,1.87,1.83,Športni Park (Domžale)
1690731000,Jul 30 2023 - 3:30pm,complete,N/A,Maribor,Aluminij,Rade Obrenović,2,0.00,0.00,2.56,1.00,1,0,1,0,0,0,"65","",6,4,2,1,1,0,1,2,0,1,12,11,6,5,3,4,9,11,57,43,0.00,0.00,1.51,1.36,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.31,4.05,6.58,1.20,1.68,2.65,4.50,1.90,1.83,Ljudski vrt (Maribor)
1690740900,Jul 30 2023 - 6:15pm,complete,N/A,Celje,Mura,Matej Jug,2,0.00,0.00,2.28,1.22,5,0,5,2,2,0,"26,45,55,75,87","",9,4,1,0,1,0,1,0,1,0,18,8,11,3,7,4,15,10,55,45,0.00,0.00,2.34,1.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.77,3.55,3.60,1.28,1.85,3.20,5.50,1.85,1.85,Stadion Z'dežele (Celje)
