timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1690628400,Jul 29 2023 - 11:00am,complete,N/A,Olimpiya Savyntsi,Kudrivka,N/A,N/A,0.00,0.00,0.00,2.33,0,1,1,1,0,1,"","8",-1,-1,3,0,4,0,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Tsentralnyi miskyi Stadion
1690639200,Jul 29 2023 - 2:00pm,complete,N/A,Shturm Ivankiv,UCSA,N/A,N/A,0.00,0.00,1.00,1.33,1,1,2,0,0,0,"70","82",-1,-1,6,0,7,0,0,6,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NTB Dynamo
1690639200,Jul 29 2023 - 2:00pm,complete,N/A,Mykolaiv,Fazenda Chernivtsi,N/A,N/A,0.00,0.00,1.33,0.00,6,1,7,2,2,0,"22,40,49,58,65,80","90'1",-1,-1,2,0,2,0,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1690927200,Aug 01 2023 - 10:00pm,canceled,N/A,Trostianets,Real Pharm,N/A,N/A,0.00,0.00,0.00,0.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1690966800,Aug 02 2023 - 9:00am,complete,N/A,Chernihiv,Livyi Bereh,N/A,N/A,0.00,0.00,0.00,2.00,1,2,3,2,1,1,"19","34,50",-1,-1,1,0,2,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Yunist'
1690970400,Aug 02 2023 - 10:00am,complete,N/A,Yarud Mariupol,VAST,N/A,N/A,0.00,0.00,1.25,0.00,5,2,7,3,3,0,"5,28,33,82,89","56,79",-1,-1,1,0,1,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Kolos
1690974000,Aug 02 2023 - 11:00am,complete,N/A,Druzhba,Viktoriya Mykolaivka,N/A,N/A,0.00,0.00,0.00,2.40,1,2,3,1,1,0,"19","70,80",-1,-1,2,0,4,1,0,2,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1690977600,Aug 02 2023 - 12:00pm,complete,N/A,Prykarpattia,Karpaty,N/A,N/A,0.00,0.00,1.50,0.00,2,1,3,1,1,0,"25,73","82",-1,-1,1,0,2,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.60,3.90,1.53,1.29,1.79,3.34,6.40,2.33,1.57,Miskyi Tsentral'nyi Stadion Rukh
1690977600,Aug 02 2023 - 12:00pm,complete,N/A,Zvyahel,Chayka,N/A,N/A,0.00,0.00,2.00,0.00,5,0,5,1,1,0,"8,67,71,90'1,90'2","",-1,-1,2,0,3,0,0,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Avanhard
1690981200,Aug 02 2023 - 1:00pm,complete,N/A,Skala 1911 Stryi,Khust City,N/A,N/A,0.00,0.00,2.00,0.00,5,2,7,3,3,0,"2,23,37,47,85","57,90'3",-1,-1,2,0,4,0,0,2,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1690981200,Aug 02 2023 - 1:00pm,complete,N/A,Nyva Vinnytsya,Ahrobiznes Volochysk,N/A,N/A,0.00,0.00,0.00,2.00,0,1,1,0,0,0,"","105",-1,-1,5,0,3,0,0,5,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.90,3.25,2.10,0.00,1.85,0.00,0.00,0.00,0.00,Tsentralnyi miskyi Stadion
1690981200,Aug 02 2023 - 1:00pm,complete,N/A,Hirnyk-Sport,SK Poltava,N/A,N/A,0.00,0.00,2.00,0.00,1,0,1,0,0,0,"110","",-1,-1,3,0,3,0,1,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.21,3.43,1.50,1.22,1.77,2.79,5.05,2.01,1.68,N/A
1690981200,Aug 02 2023 - 1:00pm,complete,N/A,UCSA,Nyva Buzova,N/A,N/A,1.00,0.00,1.33,0.00,2,1,3,0,0,0,"","",-1,-1,3,0,6,0,1,2,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,1.00,50,50,0,0,0,0,0,50,50,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1690984800,Aug 02 2023 - 2:00pm,complete,N/A,Mykolaiv,Bukovyna,N/A,N/A,3.00,0.00,1.33,1.00,0,0,0,0,0,0,"","",-1,-1,0,0,2,0,0,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,3.50,50,50,50,50,50,50,50,50,50,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Tsentralnyi miskyi Stadion
1690984800,Aug 02 2023 - 2:00pm,complete,N/A,Inhulets,Metalurh Zaporizhya B,Vadim Zaprutnyak,N/A,0.00,0.00,1.50,0.00,4,3,7,5,3,2,"8,30,31,69","41,45,80",-1,-1,2,0,2,0,0,2,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.13,5.50,12.00,1.21,1.68,2.71,4.95,2.41,1.54,Stadion Zirka
1690984800,Aug 02 2023 - 2:00pm,complete,N/A,Podillya Khmelnytskyi,Nyva Ternopil,N/A,N/A,0.00,0.00,1.00,0.50,0,0,0,0,0,0,"","",-1,-1,4,0,4,0,1,3,0,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.00,3.00,2.10,1.34,2.15,3.65,7.20,1.85,1.91,Stadion Podillya
1690984800,Aug 02 2023 - 2:00pm,complete,N/A,Metal Kharkiv,Epitsentr Dunayivtsi,Oleksandr Tytov,N/A,0.00,0.00,0.00,2.00,1,2,3,0,0,0,"58","49,71",-1,-1,2,0,1,0,0,2,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion Avanhard
1690988400,Aug 02 2023 - 3:00pm,complete,N/A,Kudrivka,Kremin,N/A,N/A,3.00,0.00,2.33,0.00,3,0,3,1,1,0,"16,63,88","",-1,-1,2,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.50,0,0,0,0,0,0,50,0,0,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion im. Yuriya Haharina
1691067600,Aug 03 2023 - 1:00pm,complete,N/A,Lokomotiv Kyiv,Dinaz Vyshhorod,N/A,N/A,0.00,0.00,1.50,0.00,1,0,1,0,0,0,"57","",-1,-1,2,0,1,0,2,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.03,3.50,1.65,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1692093600,Aug 15 2023 - 10:00am,complete,N/A,Kudrivka,Yarud Mariupol,N/A,N/A,3.00,3.00,2.33,1.25,2,2,4,1,1,0,"4,74","49,83",-1,-1,2,0,1,0,0,2,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,4.50,50,75,75,50,50,50,100,75,75,0.00,4.00,4.11,5.03,1.57,1.37,1.48,1.73,2.60,1.38,2.80,N/A
1692100800,Aug 15 2023 - 12:00pm,complete,N/A,Trostianets,Hirnyk-Sport,N/A,N/A,0.00,3.00,0.00,2.00,1,2,3,0,0,0,"63","52,90'3",-1,-1,2,0,1,0,0,2,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.50,0,0,0,0,0,0,0,0,50,0.00,3.00,5.26,3.50,1.67,1.49,2.48,0.00,0.00,2.39,1.51,N/A
1692100800,Aug 15 2023 - 12:00pm,complete,N/A,Prykarpattia,Epitsentr Dunayivtsi,N/A,N/A,3.00,3.00,1.50,2.00,1,2,3,1,0,1,"88","22,76",-1,-1,3,0,2,0,0,3,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,3.00,100,100,100,0,0,0,50,100,100,0.00,2.00,3.69,2.75,2.25,1.47,2.44,0.00,0.00,1.97,1.75,Miskyi Tsentral'nyi Stadion Rukh
1692100800,Aug 15 2023 - 12:00pm,complete,N/A,Zvyahel,UCSA,N/A,N/A,3.00,2.00,2.00,1.33,4,0,4,3,3,0,"4,25,27,78","",-1,-1,4,0,2,0,1,3,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,3.75,50,100,75,50,50,0,50,75,75,0.00,7.00,1.30,5.25,8.65,0.00,1.87,0.00,0.00,2.12,1.64,Stadion Avanhard
1692107100,Aug 15 2023 - 1:45pm,complete,N/A,Lokomotiv Kyiv,Livyi Bereh,Dmitriy Kubryak,N/A,3.00,3.00,1.50,2.00,0,2,2,1,0,1,"","7,70",-1,-1,5,1,1,0,2,4,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,2.00,50,50,50,0,0,50,50,0,100,0.00,4.00,8.35,6.50,1.25,0.00,1.44,1.61,2.35,1.52,2.37,N/A
1692108000,Aug 15 2023 - 2:00pm,complete,N/A,Mykolaiv,Ahrobiznes Volochysk,N/A,N/A,2.00,3.00,1.33,2.00,1,3,4,1,0,1,"50","9,104,120",-1,-1,6,0,4,0,1,5,0,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,2.25,25,25,25,25,25,25,25,25,75,0.00,4.00,16.00,6.30,1.17,0.00,1.82,0.00,0.00,3.15,1.31,Tsentralnyi miskyi Stadion
1692108600,Aug 15 2023 - 2:10pm,complete,N/A,Inhulets,Viktoriya Mykolaivka,N/A,N/A,3.00,3.00,1.50,2.40,0,1,1,1,0,1,"","18",-1,-1,2,0,5,0,1,1,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,5.00,100,100,100,50,50,50,100,100,100,0.00,8.00,1.29,5.10,9.65,0.00,1.81,2.85,0.00,2.33,1.53,Stadion Zirka
1692190800,Aug 16 2023 - 1:00pm,complete,N/A,Skala 1911 Stryi,Nyva Ternopil,Vadim Zaprutnyak,N/A,3.00,1.00,2.00,0.50,2,1,3,0,0,0,"90'1,120","58",-1,-1,2,0,5,0,1,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,3.50,50,50,50,50,50,50,50,50,50,0.00,6.00,3.50,3.22,1.81,1.33,2.00,3.50,0.00,1.89,1.87,N/A
1692784800,Aug 23 2023 - 10:00am,complete,N/A,Livyi Bereh,Chornomorets,N/A,N/A,3.00,0.00,2.00,2.25,1,2,3,2,1,1,"37","13,114",-1,-1,4,0,5,0,1,3,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,1.25,25,50,25,0,0,25,50,0,50,0.00,1.50,4.47,3.42,1.58,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1692788400,Aug 23 2023 - 11:00am,complete,N/A,Ahrobiznes Volochysk,Polessya,N/A,N/A,3.00,0.00,2.00,1.25,0,2,2,1,0,1,"","38,82",-1,-1,2,0,4,0,0,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,1.25,25,25,25,25,0,0,25,25,50,0.00,3.50,7.00,4.30,1.43,1.23,1.85,2.85,5.20,2.14,1.67,Stadion Yunist'
