league_name,2009/2010,2010,2010/2011,2011,2011/2012,2012,2012/2013,2013,2013/2014,2014,2014/2015,2015,2015/2016,2016,2016/2017,2017,2017/2018,2018,2018/2019,2019,2019/2020,2020,2020/2021,2021,2021/2022,2022,2022/2023,2023,2023/2024,2024,2024/2025,2025,2026
Africa - Africa Cup of Nations,,,,,,,,45.83,,,,62.5,,,,50.0,,,,22.22,,,,36.11,,,,47.22,,,,,
Africa - CAF Champions League,,,,,,,,27.66,,38.46,,30.0,,28.57,,45.65,,36.54,40.38,,39.66,,37.5,,33.33,,30.86,,37.84,,30.59,,
Africa - CAF Super Cup,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,0.0,,0.0,,100.0,,,
Africa - World Cup Qualification,,,,,,,,,,45.45,,,,,,,,42.31,,,,,,,,42.86,,,,,,,43.27
Albania - Play-off,,,,,,,,,,,,,,,,,,,,,100.0,,100.0,,25.0,,75.0,,50.0,,,,
Albania - Super Liga,,,50.51,,48.9,,43.96,,42.42,,29.44,,37.78,,32.22,,49.71,,35.75,,48.89,,41.11,,45.0,,45.56,,45.0,,52.67,,
Algeria - Division 1,,,39.17,,48.75,,37.5,,42.5,,42.5,,45.42,,43.33,,46.67,,37.92,,43.68,,46.32,,39.54,,40.0,,44.58,,38.12,,
Andorra - Play-off,,,,,,,,,,,,,,,,,,,,,100.0,,50.0,,50.0,,0.0,,0.0,,,,
Andorra - Primera Division,,,,,,,55.36,,35.71,,35.71,,32.14,,57.14,,41.67,,48.81,,45.24,,42.86,,55.95,,46.43,,42.22,,43.0,,
Angola - Girabola,,,,,,,,45.42,,45.42,,48.52,,34.58,,39.17,,34.76,42.92,,36.47,,30.0,,44.17,,39.05,,35.71,,41.92,,
Argentina - Copa Liga Profesional,,,,,,,,,,,,,,,,,,,,,,,41.67,47.34,,56.12,,43.88,,41.84,,,
Argentina - Liga Profesional,50.53,,46.84,,43.68,,44.74,,44.74,,47.37,48.22,,46.67,44.67,,42.33,,44.31,,43.12,,,,48.0,47.09,,38.62,,41.53,,33.78,
Argentina - Primera Nacional,44.21,,43.16,,41.05,,38.16,,43.07,36.82,,43.29,,47.19,42.69,,39.33,,43.67,,44.44,,41.07,43.77,,42.34,45.68,,,33.8,,35.19,
Armenia - Premier League,,,,44.64,,47.62,,,49.11,,46.43,,43.75,,36.67,,48.31,,42.36,,55.56,,37.5,,45.83,,39.44,,51.67,,41.44,,
Asia - AFC Champions League,,,,,,,,66.67,,40.0,,100.0,,100.0,,0.0,,100.0,,100.0,,75.0,,0.0,,57.14,,,46.15,,66.67,,
Asia - Asian Cup,,,,45.83,,,,,,,,37.5,,,,,,,,33.33,,,,,,,,44.44,,,,,
Asia - World Cup Qualification,,,,,,,,,,50.0,,,,,,,,33.33,,,,,,,,33.33,,,,,,,30.0
Australia - A-League,,,50.3,,58.52,,55.56,,56.3,,60.0,,61.48,,59.26,,60.74,,60.74,,62.94,,58.97,,57.05,,63.46,,62.35,,59.85,,
Austria - 2. Liga,,,58.33,,58.33,,53.33,,52.22,,46.67,,56.11,,58.33,,52.22,,56.25,,67.08,,54.58,,55.83,,52.92,,54.58,,50.62,,
Austria - Bundesliga,51.11,,43.33,,47.22,,52.22,,57.78,,50.0,,51.67,,51.11,,52.78,,52.27,,56.06,,56.06,,58.33,,58.33,,42.42,,59.09,,
Austria - Play-off,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
Austria - Regionalliga Mitte,,,,,,,,,52.5,,53.33,,61.67,,53.75,,52.5,,62.5,,66.18,,60.4,,55.15,,57.92,,57.92,,54.86,,
Austria - Regionalliga Ost,,,,,,,,,60.83,,57.08,,56.67,,55.24,,55.83,,57.08,,54.17,,48.08,,52.75,,53.33,,57.08,,59.15,,
Austria - Regionalliga Salzburg,,,,,,,,,,,,,,,,,,,,,60.0,,57.58,,48.89,,56.82,,,,,,
Austria - Regionalliga Tirol,,,,,,,,,,,,,,,,,,,,,68.89,,65.79,,63.64,,56.82,,,,,,
Austria - Regionalliga Vorarlberg,,,,,,,,,57.08,,51.25,,55.0,,52.5,,58.33,,54.58,,78.89,,73.53,,57.27,,65.91,,,,,,
Austria - Regionalliga West,,,,,,,,,,,,,,,,,,,,,,,,,63.33,,70.0,,58.33,,50.0,,
Azerbaijan - Premier League,,,,,,,47.73,,46.67,,46.1,,40.0,,42.86,,50.0,,49.11,,47.5,,46.43,,41.07,,47.22,,47.22,,41.48,,
Belarus - Pershaya Liga,,,,,,,,,,,,,,,,,,,,,,50.55,,54.55,,51.28,,55.51,,47.06,,,
Belarus - Play-off,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,100.0,,0.0,,50.0,,,
Belarus - Vysshaya Liga,,42.42,,45.96,,40.0,,46.21,,35.61,,39.56,,44.17,,37.92,,36.25,,42.92,,54.39,,43.33,,47.08,,49.05,,42.5,,50.0,
Belgium - Challenger Pro League,,,60.78,,52.61,,49.35,,49.67,,51.63,,53.68,,62.5,,48.21,,57.14,,46.43,,56.25,,56.25,,62.12,,57.5,,57.69,,
Belgium - Derde Klasse - Group A,,,,,,,,,56.54,,51.31,,56.54,,,,,,,,,,,,,,,,,,,,
Belgium - Derde Klasse - Group B,,,,,,,,,51.63,,55.56,,51.75,,,,,,,,,,,,,,,,,,,,
Belgium - Jupiler Pro League,56.19,,49.58,,57.5,,56.67,,48.33,,50.83,,58.75,,52.5,,55.42,,63.75,,54.31,,61.11,,52.94,,55.37,,54.58,,52.92,,
Belgium - National Division 1,,,,,,,,,,,,,,,50.0,,52.5,,52.92,,54.17,,53.85,,47.62,,52.63,,51.96,,,,
Belgium - National Division 1 - ACFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.03,,
Belgium - National Division 1 - VV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.5,,
Belgium - Play-off,,,,,,,,,,,,,,,,,,,,,,,100.0,,66.67,,33.33,,62.5,,,,
Bolivia - Primera Division,,,,51.52,52.78,,56.06,,54.55,,46.97,,62.88,,50.0,,,53.06,,61.54,,53.85,,50.83,,56.25,,50.0,,62.5,,,
Bosnia-Herzegovina - Premier Liga,,,43.75,,41.67,,47.92,,39.58,,39.58,,39.17,,40.15,,38.64,,40.91,,43.18,,41.92,,44.95,,43.94,,46.46,,40.46,,
Brazil - Serie A,,53.68,,55.0,,51.05,,50.26,,42.89,,44.47,,45.65,,48.68,,42.63,,46.84,,52.63,,44.74,,49.74,,48.16,,53.16,,,
Brazil - Serie B,,56.05,,55.26,,53.16,,49.47,,47.37,,52.37,,51.32,,44.21,,48.42,,44.21,,45.79,,45.26,,43.68,,40.53,,43.95,,,
Brazil - Serie C,,,,,,,,,,,,,,,,,,,,,,62.5,,41.67,,50.0,,45.79,,48.95,,,
Brazil - Serie C - Group A,,,,,,,,42.73,,45.56,,53.33,,44.44,,51.11,,40.0,,51.11,,43.33,,45.56,,,,,,,,,
Brazil - Serie C - Group B,,,,,,,,43.33,,40.0,,53.33,,42.22,,44.44,,44.44,,40.0,,50.0,,44.44,,,,,,,,,
Bulgaria - Parva liga,37.5,,40.42,,43.33,,40.42,,42.86,,35.61,,40.97,,43.41,,40.66,,40.66,,45.36,,42.86,,46.15,,40.83,,39.58,,42.5,,
Bulgaria - Play-off,,,,,,,,,,,,,,,,,,,,,50.0,,0.0,,100.0,,0.0,,100.0,,,,
Burundi - Primus League,,,,,,,,,,,,,,,,,,,,,55.83,,45.42,,42.5,,47.08,,43.75,,48.91,,
Cameroon - Elite One,,,,,,,,38.46,,38.6,,36.27,,36.72,,36.27,,37.91,,41.18,41.11,,40.5,,,46.88,46.36,,43.83,,39.17,,
Canada - Canadian Premier League,,,,,,,,,,,,,,,,,,,,42.86,,53.57,,53.57,,47.32,,55.36,,56.25,40.0,,
Canada - Canadian Soccer League,,55.13,,56.91,,53.98,,59.09,,61.11,,60.61,,59.52,,55.36,,54.17,,63.33,,70.0,,,,,,,,,,,
Chile - Primera Division,,58.82,,66.67,,56.86,,61.44,49.67,,53.59,,60.0,,58.33,,45.83,55.42,,55.36,59.04,54.9,,52.21,,50.83,,58.75,,50.83,,51.35,
China - Super League,,52.92,,45.83,,57.5,,53.33,,55.42,,58.75,,52.92,,62.92,,59.58,,62.08,,55.36,,52.68,,47.39,,57.92,,56.25,,62.5,
Colombia - Primera Division,,,,54.32,,54.32,,54.94,,56.17,,51.0,,52.5,,41.5,,38.95,,49.0,,54.23,,45.61,,45.5,,53.5,,41.58,,37.21,
Costa Rica - Primera Division,,,55.21,,57.27,,53.03,,60.61,,52.27,,46.97,,50.0,,59.85,,61.36,,59.09,,50.0,,51.52,,61.46,,51.52,,54.55,,
Croatia - HNL,46.25,,39.58,,42.5,,48.48,,56.11,,50.56,,41.11,,39.44,,53.89,,50.56,,43.89,,45.56,,54.44,,48.33,,43.89,,46.92,,
Croatia - Play-off,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,50.0,,100.0,,,,
Croatia - Prva NL,,,,,,,,,,,47.27,,44.44,,45.45,,42.93,,45.6,,46.71,,58.17,,48.75,,47.47,,47.47,,43.18,,
Cyprus - Division 1,,,53.3,,35.16,,49.45,,49.45,,45.45,,49.45,,49.45,,48.35,,44.7,,46.97,,47.25,,46.97,,40.66,,47.25,,42.86,,
Czech Republic - 1. Liga,44.17,,46.25,,44.17,,49.17,,51.25,,47.08,,54.58,,46.25,,46.25,,47.08,,41.67,,50.98,,53.33,,59.58,,55.83,,47.34,,
Czech Republic - 2. Liga,50.42,,52.08,,44.58,,49.58,,42.08,,48.75,,49.52,,49.17,,53.75,,48.75,,60.0,,51.1,,54.17,,53.75,,56.25,,56.29,,
Czech Republic - Play-off,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,0.0,,50.0,,,,
Denmark - 1. Division,,,59.58,,53.85,,48.99,,53.03,,48.99,,45.96,,51.52,,52.79,,58.08,,57.58,,50.76,,55.3,,51.52,,56.06,,50.0,,
Denmark - 2. Division,,,,,,,,,,,,,,,,,,,,,52.78,,,,53.79,,48.48,,59.85,,48.15,,
Denmark - 2. Division - Group 1,,,,,,,,,62.08,,55.0,,58.93,,57.14,,60.71,,56.06,,52.94,,54.95,,,,,,,,,,
Denmark - 2. Division - Group 2,,,,,,,,,65.42,,62.92,,54.55,,62.5,,57.14,,53.03,,54.9,,52.2,,,,,,,,,,
Denmark - 2. Division - Group 3,,,,,,,,,,,,,69.64,,71.43,,60.71,,,,,,,,,,,,,,,,
Denmark - Superliga,48.48,,55.56,,57.07,,52.02,,58.59,,46.97,,51.01,,48.9,,56.59,,54.95,,57.69,,58.33,,53.79,,56.82,,53.03,,64.39,,
Ecuador - Liga Pro,,,,50.0,,44.7,,56.06,,45.45,,54.55,,49.24,,52.27,,56.82,,52.5,,65.0,,51.67,,50.83,,55.0,,45.83,,50.0,
Egypt - Premier League,51.05,,51.25,,52.82,,44.53,,41.82,,49.74,,42.09,,44.77,,49.02,,52.7,,45.42,,57.84,,42.48,,44.44,,49.67,,38.56,,
England - Championship,51.99,,53.62,,51.09,,57.43,,52.17,,52.36,,51.81,,52.72,,50.0,,53.99,,53.08,,45.29,,48.37,,48.37,,52.36,,49.78,,
England - EFL Cup,,,,,,,,,60.0,,48.57,,63.89,,60.0,,65.71,,62.86,,52.94,,54.29,,50.0,,40.0,,61.11,,53.76,,
England - FA Community Shield,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,100.0,,,100.0,,
England - FA Cup,,,,,,,,,65.16,,62.67,,58.53,,60.36,,62.9,,59.64,,66.36,,57.39,,56.98,,56.21,,56.15,,53.54,,
England - Football League Trophy,,,,,,,,,56.25,,37.5,,50.0,,,,,,,,,,,,,,,,,,,,
England - Isthmian League Premier Division,,,,,,,,,,,,,,,,,,,,,56.9,,61.29,,55.84,,55.63,,61.26,,57.55,,
England - League One,52.17,,52.54,,54.89,,51.09,,53.8,,52.36,,51.09,,52.72,,51.81,,53.8,,51.5,,49.46,,52.72,,47.46,,51.09,,50.23,,
England - League Two,51.45,,55.8,,51.63,,50.0,,48.91,,48.19,,55.07,,53.99,,53.99,,49.64,,52.95,,47.83,,49.46,,48.37,,59.06,,49.66,,
England - National League,45.85,,55.07,,55.43,,57.97,,51.09,,53.44,,53.44,,50.91,,52.54,,47.64,,55.43,,48.7,,50.2,,56.16,,59.24,,54.14,,
England - National League North,,,,,,,57.79,,59.09,,56.93,,53.46,,58.01,,53.68,,57.14,,51.94,,56.36,,49.13,,49.82,,47.1,,47.83,,
England - National League South,,,,,,,60.39,,52.16,,55.95,,56.71,,53.68,,58.23,,55.41,,58.6,,56.36,,56.9,,56.16,,57.61,,55.67,,
England - Northern Premier League Premier Division,,,,,,,,,,,,,,,,,,,,,61.16,,55.17,,47.4,,52.81,,59.05,,58.85,,
England - Southern League Premier Central,,,,,,,,,,,,,,,,,,,,,54.73,,71.08,,56.67,,59.74,,54.29,,56.69,,
England - Southern League Premier South,,,,,,,,,,,,,,,,,,,,,59.53,,60.0,,56.93,,59.31,,62.55,,59.16,,
Estonia - Meistriliiga,,45.0,,39.44,,41.11,,41.67,,43.89,,49.44,,46.67,,55.0,,54.44,,46.11,,47.14,,53.85,,50.56,,46.67,,50.0,,46.67,
Europe - European Championship,,,,,,41.25,,,,,,,,38.08,,,,,,,,42.0,,,,,,,,40.87,,,
Europe - UEFA Champions League,,,41.67,,46.88,,50.0,,50.0,,50.0,,75.0,,37.5,,50.0,,34.38,,56.25,,18.75,,0.0,,66.67,,33.33,,48.89,,
Europe - UEFA Europa Conference League,,,,,,,,,,,,,,,,,,,,,,,,,45.74,,41.61,,57.61,,43.36,,
Europe - UEFA Europa League,,,50.0,,61.11,,45.16,,42.11,,42.31,,42.16,,42.11,,29.0,,42.5,,44.68,,44.68,,55.56,,47.06,,70.59,,41.25,,
Europe - UEFA Nations League - League A,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,52.08,,,,58.33,,
Europe - UEFA Nations League - League B,,,,,,,,,,,,,,,,,,,,,,,45.83,,,,52.38,,,,43.75,,
Europe - UEFA Nations League - League C,,,,,,,,,,,,,,,,,,,,,,,39.58,,,,41.67,,,,37.5,,
Europe - UEFA Nations League - League D,,,,,,,,,,,,,,,,,,,,,,,38.89,,,,38.89,,,,25.0,,
Europe - UEFA Super Cup,,,,,,,,,,,,,,,,,,,,,,100.0,,100.0,,0.0,,,100.0,,0.0,,
Europe - World Cup Qualification,,,,,,,,,,42.69,,,,,,,,37.41,,,,,,,,42.4,,,,,,,0.0
Faroe Islands - Premier League,,,,,,,,62.96,,54.07,,67.41,,54.07,,60.0,,51.11,,49.63,,54.07,,51.85,,49.63,,48.15,,48.15,,77.78,
Finland - Play-off,,,,,,,,,,,,,,,,,,,,,,50.0,,50.0,,75.0,,50.0,,,,,
