league_name,2009/2010,2010,2010/2011,2011,2011/2012,2012,2012/2013,2013,2013/2014,2014,2014/2015,2015,2015/2016,2016,2016/2017,2017,2017/2018,2018,2018/2019,2019,2019/2020,2020,2020/2021,2021,2021/2022,2022,2022/2023,2023,2023/2024,2024,2024/2025,2025,2026
Africa - Africa Cup of Nations,,,,,,,,54.17,,,,54.17,,,,41.67,,,,27.78,,,,27.78,,,,41.67,,,,,
Africa - CAF Champions League,,,,,,,,23.4,,17.31,,24.0,,14.29,,23.91,,25.0,19.23,,31.03,,32.5,,24.0,,17.28,,28.38,,25.88,,
Africa - CAF Super Cup,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,0.0,,0.0,,100.0,,,
Africa - World Cup Qualification,,,,,,,,,,22.73,,,,,,,,26.92,,,,,,,,32.14,,,,,,,25.0
Albania - Play-off,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,25.0,,50.0,,,,
Albania - Super Liga,,,20.2,,23.08,,24.18,,24.24,,16.67,,26.11,,32.78,,25.14,,24.02,,25.56,,30.56,,29.44,,27.78,,28.89,,38.67,,
Algeria - Division 1,,,27.92,,27.92,,29.58,,25.83,,28.75,,34.58,,29.58,,30.42,,31.67,,26.44,,27.89,,28.1,,26.67,,25.42,,33.13,,
Andorra - Play-off,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,
Andorra - Primera Division,,,,,,,17.86,,10.71,,10.71,,12.5,,19.05,,17.86,,22.62,,20.24,,26.79,,25.0,,26.79,,15.56,,24.0,,
Angola - Girabola,,,,,,,,30.42,,30.83,,32.49,,26.25,,27.08,,35.24,33.75,,25.88,,27.08,,30.0,,24.76,,29.05,,34.13,,
Argentina - Copa Liga Profesional,,,,,,,,,,,,,,,,,,,,,,,26.39,27.81,,30.1,,35.2,,29.08,,,
Argentina - Liga Profesional,26.32,,28.95,,35.26,,33.68,,31.05,,23.68,31.33,,29.17,26.44,,27.78,,31.38,,27.54,,,,29.54,30.42,,32.01,,33.6,,30.41,
Argentina - Primera Nacional,28.68,,31.05,,31.32,,30.53,,33.98,30.0,,31.82,,28.14,32.61,,35.0,,31.67,,32.13,,33.93,33.91,,36.49,29.17,,,33.38,,34.26,
Armenia - Premier League,,,,26.79,,22.62,,,28.57,,24.11,,28.57,,20.0,,28.09,,27.78,,20.0,,25.0,,25.0,,19.44,,18.89,,14.41,,
Asia - AFC Champions League,,,,,,,,66.67,,0.0,,50.0,,0.0,,0.0,,50.0,,0.0,,0.0,,0.0,,42.86,,,0.0,,33.33,,
Asia - Asian Cup,,,,16.67,,,,,,,,0.0,,,,,,,,13.89,,,,,,,,27.78,,,,,
Asia - World Cup Qualification,,,,,,,,,,18.75,,,,,,,,25.0,,,,,,,,8.33,,,,,,,25.0
Australia - A-League,,,28.48,,27.41,,18.52,,24.44,,24.44,,22.22,,26.67,,20.0,,21.48,,19.58,,23.72,,24.36,,25.0,,24.69,,26.52,,
Austria - 2. Liga,,,22.22,,26.67,,23.89,,23.33,,26.67,,20.56,,26.11,,26.11,,24.58,,25.42,,20.83,,23.33,,22.5,,20.0,,23.13,,
Austria - Bundesliga,24.44,,28.33,,35.0,,22.78,,27.22,,24.44,,25.0,,18.89,,20.56,,27.27,,25.0,,21.97,,31.06,,21.21,,29.55,,25.76,,
Austria - Play-off,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
Austria - Regionalliga Mitte,,,,,,,,,17.92,,20.83,,19.58,,23.33,,20.0,,19.58,,18.38,,20.79,,23.16,,22.08,,20.0,,18.06,,
Austria - Regionalliga Ost,,,,,,,,,18.33,,28.33,,27.92,,28.57,,19.17,,21.67,,21.53,,9.62,,24.18,,19.58,,27.92,,29.58,,
Austria - Regionalliga Salzburg,,,,,,,,,,,,,,,,,,,,,18.89,,18.18,,17.78,,21.21,,,,,,
Austria - Regionalliga Tirol,,,,,,,,,,,,,,,,,,,,,24.44,,18.42,,17.42,,17.42,,,,,,
Austria - Regionalliga Vorarlberg,,,,,,,,,20.42,,21.67,,20.42,,22.92,,27.5,,18.33,,25.56,,17.65,,25.45,,21.21,,,,,,
Austria - Regionalliga West,,,,,,,,,,,,,,,,,,,,,,,,,23.33,,30.0,,20.83,,21.64,,
Azerbaijan - Premier League,,,,,,,30.3,,27.78,,26.62,,26.11,,27.68,,21.43,,23.21,,27.5,,33.93,,22.32,,25.56,,22.78,,26.67,,
Belarus - Pershaya Liga,,,,,,,,,,,,,,,,,,,,,,21.98,,24.75,,23.72,,18.01,,19.93,,,
Belarus - Play-off,,,,,,,,,,,,,,,,,,,,,,50.0,,50.0,,0.0,,50.0,,0.0,,,
Belarus - Vysshaya Liga,,25.76,,33.33,,24.85,,27.27,,25.76,,23.08,,28.75,,25.83,,24.58,,21.67,,21.76,,25.42,,29.58,,21.9,,27.5,,37.5,
Belgium - Challenger Pro League,,,23.53,,25.49,,25.16,,24.84,,26.14,,26.1,,26.79,,28.57,,21.43,,19.64,,22.32,,25.89,,21.97,,21.25,,25.27,,
Belgium - Derde Klasse - Group A,,,,,,,,,25.16,,23.86,,26.8,,,,,,,,,,,,,,,,,,,,
Belgium - Derde Klasse - Group B,,,,,,,,,21.57,,20.26,,21.64,,,,,,,,,,,,,,,,,,,,
Belgium - Jupiler Pro League,24.29,,25.83,,26.67,,24.58,,23.75,,25.0,,24.58,,25.0,,27.5,,24.58,,21.55,,22.88,,22.22,,22.15,,27.08,,28.75,,
Belgium - National Division 1,,,,,,,,,,,,,,,17.92,,21.67,,25.42,,27.6,,15.38,,27.62,,21.84,,20.59,,,,
Belgium - National Division 1 - ACFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.24,,
Belgium - National Division 1 - VV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,,
Belgium - Play-off,,,,,,,,,,,,,,,,,,,,,,,50.0,,33.33,,0.0,,25.0,,,,
Bolivia - Primera Division,,,,17.42,23.61,,26.52,,24.24,,21.97,,22.73,,21.97,,,27.55,,21.43,,15.93,,17.92,,25.78,,24.63,,21.88,,,
Bosnia-Herzegovina - Premier Liga,,,17.08,,20.83,,26.25,,27.08,,28.33,,21.67,,28.79,,19.7,,28.79,,26.52,,23.23,,33.84,,23.23,,19.19,,19.08,,
Brazil - Serie A,,31.32,,27.63,,27.63,,28.42,,24.21,,23.95,,24.8,,27.11,,28.95,,25.79,,28.42,,29.74,,28.42,,25.79,,26.58,,,
Brazil - Serie B,,22.89,,27.11,,22.37,,22.89,,23.68,,27.11,,28.16,,28.68,,31.32,,33.42,,28.16,,30.0,,31.84,,29.21,,25.26,,,
Brazil - Serie C,,,,,,,,,,,,,,,,,,,,,,29.17,,33.33,,25.79,,32.11,,29.47,,,
Brazil - Serie C - Group A,,,,,,,,20.0,,33.33,,25.56,,36.67,,34.44,,34.44,,26.67,,32.22,,42.22,,,,,,,,,
Brazil - Serie C - Group B,,,,,,,,33.33,,32.22,,38.89,,25.56,,37.78,,18.89,,43.33,,34.44,,22.22,,,,,,,,,
Bulgaria - Parva liga,22.5,,22.08,,21.25,,20.0,,18.68,,18.18,,25.69,,21.98,,26.37,,18.13,,25.68,,27.47,,25.27,,22.92,,21.25,,23.5,,
Bulgaria - Play-off,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,100.0,,,,
Burundi - Primus League,,,,,,,,,,,,,,,,,,,,,27.08,,22.5,,27.92,,28.33,,22.5,,23.91,,
Cameroon - Elite One,,,,,,,,35.16,,24.56,,33.33,,34.1,,36.6,,34.64,,37.5,30.04,,34.0,,,29.86,30.0,,32.1,,26.67,,
Canada - Canadian Premier League,,,,,,,,,,,,,,,,,,,,17.14,,32.14,,27.68,,24.11,,25.0,,29.46,20.0,,
Canada - Canadian Soccer League,,27.56,,18.23,,19.32,,11.36,,20.0,,15.91,,23.81,,19.64,,15.28,,12.22,,15.0,,,,,,,,,,,
Chile - Primera Division,,27.45,,24.18,,24.18,,22.22,23.53,,18.95,,19.17,,25.83,,29.17,27.92,,27.68,30.12,29.08,,26.84,,28.33,,24.58,,21.67,,27.03,
China - Super League,,32.92,,29.58,,30.42,,27.92,,28.33,,28.75,,26.67,,25.42,,22.92,,22.08,,24.11,,26.79,,20.26,,27.92,,22.92,,37.5,
Colombia - Primera Division,,,,24.69,,35.19,,36.42,,26.54,,32.0,,29.0,,29.5,,25.26,,35.0,,34.33,,33.92,,27.0,,35.0,,26.32,,32.56,
Costa Rica - Primera Division,,,23.96,,30.91,,25.0,,30.3,,19.7,,25.76,,25.76,,30.3,,21.97,,25.76,,25.0,,28.03,,22.92,,21.21,,26.52,,
Croatia - HNL,25.0,,26.67,,25.83,,25.76,,23.89,,25.56,,30.56,,23.89,,25.0,,23.33,,23.89,,23.33,,23.89,,28.89,,23.33,,30.77,,
Croatia - Play-off,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,
Croatia - Prva NL,,,,,,,,,,,32.73,,24.75,,28.28,,22.73,,27.47,,25.0,,27.45,,23.33,,28.79,,26.26,,33.33,,
Cyprus - Division 1,,,25.82,,23.08,,23.63,,20.88,,25.76,,25.82,,24.18,,21.98,,22.73,,26.52,,25.27,,27.27,,20.33,,21.98,,22.53,,
Czech Republic - 1. Liga,26.25,,24.17,,22.92,,27.92,,25.0,,24.17,,24.58,,28.75,,28.33,,19.58,,25.0,,26.47,,25.42,,24.58,,26.25,,23.19,,
Czech Republic - 2. Liga,27.5,,22.5,,25.0,,25.0,,21.25,,22.92,,32.86,,24.58,,25.42,,23.33,,22.5,,25.82,,25.42,,27.08,,25.42,,31.79,,
Czech Republic - Play-off,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,50.0,,25.0,,,,
Denmark - 1. Division,,,27.08,,25.82,,28.79,,18.69,,35.86,,21.21,,26.26,,27.92,,26.77,,28.28,,19.7,,24.24,,18.94,,24.24,,20.45,,
