btts_rate,draws_rate,league_name,overs_rate,season
58.48,24.91,England - Premier League,58.48,2024/2025
58.48,21.58,England - Premier League,64.74,2023/2024
58.48,22.89,England - Premier League,52.63,2022/2023
58.48,23.16,England - Premier League,53.95,2021/2022
58.48,21.84,England - Premier League,50,2020/2021
58.48,24.21,England - Premier League,52.11,2019/2020
58.48,18.68,England - Premier League,53.68,2018/2019
58.48,26.05,England - Premier League,51.05,2017/2018
58.48,22.11,England - Premier League,54.21,2016/2017
58.48,28.16,England - Premier League,52.89,2015/2016
58.48,24.47,England - Premier League,48.42,2014/2015
58.48,20.53,England - Premier League,51.58,2013/2014
58.48,28.42,England - Premier League,55.79,2012/2013
58.48,24.47,England - Premier League,53.68,2011/2012
58.48,29.21,England - Premier League,54.21,2010/2011
58.48,25.26,England - Premier League,52.63,2009/2010
