league_name,2009/2010,2010,2010/2011,2011,2011/2012,2012,2012/2013,2013,2013/2014,2014,2014/2015,2015,2015/2016,2016,2016/2017,2017,2017/2018,2018,2018/2019,2019,2019/2020,2020,2020/2021,2021,2021/2022,2022,2022/2023,2023,2023/2024,2024,2024/2025,2025,2026
Africa - Africa Cup of Nations,,,,,,,,33.33,,,,20.83,,,,33.33,,,,22.22,,,,27.78,,,,41.67,,,,,
Africa - CAF Champions League,,,,,,,,46.81,,53.85,,36.0,,42.86,,47.83,,42.31,42.31,,37.93,,27.5,,33.33,,43.21,,39.19,,34.12,,
Africa - CAF Super Cup,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,
Africa - World Cup Qualification,,,,,,,,,,59.09,,,,,,,,46.15,,,,,,,,32.14,,,,,,,42.31
Albania - Play-off,,,,,,,,,,,,,,,,,,,,,100.0,,100.0,,25.0,,50.0,,50.0,,,,
Albania - Super Liga,,,51.52,,43.41,,42.31,,41.41,,32.22,,37.22,,29.44,,48.57,,35.2,,47.22,,35.0,,37.22,,38.33,,38.89,,42.0,,
Algeria - Division 1,,,35.42,,41.25,,30.83,,36.25,,35.0,,37.92,,37.08,,37.5,,31.67,,41.95,,42.11,,37.58,,37.5,,41.67,,32.5,,
Andorra - Play-off,,,,,,,,,,,,,,,,,,,,,100.0,,50.0,,100.0,,0.0,,0.0,,,,
Andorra - Primera Division,,,,,,,62.5,,76.79,,62.5,,57.14,,59.52,,51.19,,51.19,,45.24,,51.79,,52.38,,55.36,,56.3,,62.0,,
Angola - Girabola,,,,,,,,37.08,,36.25,,38.4,,34.58,,35.0,,29.52,35.42,,32.94,,39.17,,42.5,,35.24,,33.33,,35.93,,
Argentina - Copa Liga Profesional,,,,,,,,,,,,,,,,,,,,,,,37.5,43.2,,50.51,,36.22,,38.78,,,
Argentina - Liga Profesional,45.26,,41.05,,35.79,,41.05,,36.32,,47.37,40.67,,45.0,41.33,,38.89,,39.08,,36.96,,,,44.62,39.15,,33.07,,29.89,,31.08,
Argentina - Primera Nacional,41.05,,35.79,,36.84,,32.37,,35.93,34.55,,34.42,,40.26,34.98,,29.0,,32.33,,34.83,,35.71,35.64,,33.03,35.96,,,29.09,,19.44,
Armenia - Premier League,,,,41.07,,45.24,,,45.54,,50.0,,51.79,,44.44,,48.31,,41.67,,56.67,,43.27,,40.28,,46.67,,50.56,,58.56,,
Asia - AFC Champions League,,,,,,,,33.33,,60.0,,50.0,,100.0,,0.0,,50.0,,100.0,,75.0,,0.0,,42.86,,,61.54,,33.33,,
Asia - Asian Cup,,,,54.17,,,,,,,,45.83,,,,,,,,47.22,,,,,,,,47.22,,,,,
Asia - World Cup Qualification,,,,,,,,,,62.5,,,,,,,,33.33,,,,,,,,50.0,,,,,,,45.0
Australia - A-League,,,47.88,,50.37,,50.37,,56.3,,57.78,,62.96,,60.0,,63.7,,57.04,,59.44,,56.41,,58.97,,61.54,,62.35,,60.61,,
Austria - 2. Liga,,,63.33,,53.89,,60.0,,57.78,,48.33,,56.11,,58.33,,53.89,,55.83,,63.75,,59.58,,60.0,,55.83,,57.5,,55.63,,
Austria - Bundesliga,54.44,,45.0,,41.67,,57.78,,62.78,,53.33,,48.33,,52.78,,56.11,,52.27,,66.67,,60.61,,54.55,,59.85,,43.94,,59.09,,
Austria - Play-off,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,
Austria - Regionalliga Mitte,,,,,,,,,63.75,,54.58,,63.75,,59.17,,60.0,,68.75,,69.12,,64.36,,61.4,,63.75,,65.0,,62.5,,
Austria - Regionalliga Ost,,,,,,,,,65.42,,60.83,,57.08,,56.19,,61.67,,66.67,,58.33,,65.38,,57.69,,60.83,,59.17,,58.45,,
Austria - Regionalliga Salzburg,,,,,,,,,,,,,,,,,,,,,71.11,,60.61,,63.33,,68.94,,,,,,
Austria - Regionalliga Tirol,,,,,,,,,,,,,,,,,,,,,76.67,,72.37,,71.21,,65.91,,,,,,
